,0,1,2,3,4
0,Region,Type sample,Medium t-As,Technique,References
1,,,mg kg-1,,
2,Brazil,White,0.098,ICP-MS,Batista et al.2010
3,,Others,0.126,,
4,Brazil,White,0.137,ICP-MS,Batista et al.
5,,,,,(2011
6,,Others,0.313,,
7,Brazil,White,0.169,ICP-MS,Poletti et al.
8,,,,,(2013)
9,,Others,0.293,,
10,Brazil,White,0.130,ICP-MS,Mataveli et al.
11,,,,,(2016)
12,,Others,0.148,,
13,Brazil,White,0.137,ICP-MS,Segura et al.
14,,,,,(2016)
15,,Others,0.218,,
16,Brazil,Note,0.212,ICP-MS,Ciminelli et al.
17,,specification,,,(2017)
18,Brazil,Note,0.260,ICP-MS,Fao et al.(2019
19,,specification,,,
20,Brazil,Others,0.174,ICP-MS,Kato et al.2019
21,Brazil,Others,0.176,ICP-MS,Segura et al.
22,,,,,(2020)
23,Brazil,White,0.097,ICP-MS,This Study
24,,Others,0.145,,
25,Korea,White,0.088,ICP-MS,Lee et al.2018
26,,Others,0.160,,
27,Argentina,White,0.21,HG AAS,Schlotthauer et al.
28,,,,,(2020)
29,,Others,0.31,,
30,Spain,White,0.14,ICP-MS,Gonzalez et al.
31,,,,,(2020)
32,,Others,0.20,,
