Samples,GPX*,SeMB,SeCA,SELENOP,Sum of species
HBM 1,30.7,4.8,7,12.1,54.6
HBM 2,24.2,9.8,11.6,19.9,65.5
HBM 3,25.2,8,10.8,21.1,65.1
HBM 4,18.3,7.6,12.4,18.5,56.8
HBM 5,25,5.8,10.2,11.5,52.6
HBM 6,34.4,5.8,11.1,28.7,80
HBM 7,29.2,0,3.5,21.1,53.8
HBM 8,20.5,4.7,10.7,25.5,61.4
HBM 9,30.9,0,12.4,20,63.3
HBM 10,10,6.7,10.2,13,39.9
HBM 11,32.7,0,13.9,12.1,58.8
HBM 12,25.7,0,7,20.1,52.8
HBM 13,28.1,5.4,12,27.4,72.9
HBM 14,31.2,8.1,10.6,16.3,66.2
HBM 15,27.6,0,9.2,13.2,50
HBM 16,24.5,1.2,10.9,16.5,53.1
HBM 17,17.7,5.2,2,21.4,46.3
HBM 18,23.1,9.6,11.8,17.9,62.4
HBM 19,33.5,2.5,13.2,23.7,72.9
HBM 20,18.5,2.75,12.1,15.4,48.8
Mean,25.6,4.4,10.1,18.8,58.9
SD,6.3,3.4,3.2,5.1,9.9
