file,col,URI
KNSR2532_2,0,http://www.wikidata.org/entity/Q8066
KNSR2532_2,1,http://www.wikidata.org/entity/Q787401
KNSR2532_2,2,http://www.wikidata.org/entity/Q877536
KNSR2532_2,3,http://www.wikidata.org/entity/Q49984
KNSR2532_2,4,http://www.wikidata.org/entity/Q787401
KNSR2532_2,5,http://www.wikidata.org/entity/Q877536
KNSR2532_2,6,http://www.wikidata.org/entity/Q49984
KNSR2532_2,7,http://www.wikidata.org/entity/Q787401
KNSR2532_2,8,http://www.wikidata.org/entity/Q877536
KNSR2532_2,9,http://www.wikidata.org/entity/Q49984
KNSR2532_4,0,http://www.wikidata.org/entity/Q11344
KNSR2532_4,1,http://www.wikidata.org/entity/Q787401
KNSR2532_4,2,http://www.wikidata.org/entity/Q877536
KNSR2532_4,3,http://www.wikidata.org/entity/Q49984
KNSR2532_5,0,http://www.wikidata.org/entity/Q11173
KNSR2532_5,1,NIL
KNSR2532_5,2,NIL
KNSR2532_5,3,NIL
KNSR2532_5,4,NIL
KNSR2532_5,5,NIL
KNSR2532_5,6,NIL
KNSR2532_5,7,NIL
KNSR2532_5,8,NIL
KNSR2532_5,9,NIL
KNSR2532_5,10,http://www.wikidata.org/entity/Q49984
KNSR2533_1,0,http://www.wikidata.org/entity/Q6256
KNSR2533_1,1,http://www.wikidata.org/entity/Q77753356
KNSR2533_1,2,http://www.wikidata.org/entity/Q42961238
KNSR2533_1,3,NIL
KNSR2533_1,4,http://www.wikidata.org/entity/Q62289784
KNSR2533_1,5,http://www.wikidata.org/entity/Q77753356
KNSR2533_1,6,http://www.wikidata.org/entity/Q42961238
KNSR2533_1,7,NIL
KNSR2533_1,8,http://www.wikidata.org/entity/Q62289784
KNSR2533_2,0,http://www.wikidata.org/entity/Q11173
KNSR2533_2,1,NIL
KNSR2533_2,2,NIL
KNSR2533_2,3,NIL
KNSR2534_1,0,http://www.wikidata.org/entity/Q16521
KNSR2534_1,1,NIL
KNSR2534_1,2,NIL
KNSR2534_1,3,NIL
KNSR2534_1,4,http://www.wikidata.org/entity/Q928
KNSR2534_1,5,NIL
KNSR2534_1,6,NIL
KNSR2534_1,7,NIL
KNSR2534_1,8,NIL
KNSR2534_1,9,NIL
KNSR2534_2,0,http://www.wikidata.org/entity/Q16521
KNSR2534_2,1,http://www.wikidata.org/entity/Q3352038
KNSR2534_2,2,http://www.wikidata.org/entity/Q2061135
KNSR2534_2,3,http://www.wikidata.org/entity/Q25235
KNSR2534_2,4,http://www.wikidata.org/entity/Q4548110
KNSR2534_2,5,NIL
KNSR2534_2,6,http://www.wikidata.org/entity/Q3352038
KNSR2534_2,7,http://www.wikidata.org/entity/Q2061135
KNSR2534_2,8,http://www.wikidata.org/entity/Q25235
KNSR2534_2,9,NIL
KNSR2534_2,10,NIL
KNSR2534_3,0,http://www.wikidata.org/entity/Q16521
KNSR2534_3,1,NIL
KNSR2534_3,2,NIL
KNSR2534_3,3,NIL
KNSR2534_3,4,http://www.wikidata.org/entity/Q928
KNSR2534_3,5,NIL
KNSR2534_3,6,NIL
KNSR2534_3,7,NIL
KNSR2534_3,8,NIL
KNSR2534_3,9,NIL
KNSR2534_4,0,http://www.wikidata.org/entity/Q28640
KNSR2534_4,1,http://www.wikidata.org/entity/Q13442814
KNSR2534_4,2,http://www.wikidata.org/entity/Q11427
KNSR2534_4,3,http://www.wikidata.org/entity/Q13442814
KNSR2534_4,4,http://www.wikidata.org/entity/Q263865
KNSR2534_4,5,http://www.wikidata.org/entity/Q263865
KNSR2534_4,6,http://www.wikidata.org/entity/Q13442814
KNSR2534_4,7,http://www.wikidata.org/entity/Q13442814
KNSR2534_4,8,http://www.wikidata.org/entity/Q1131951
KNSR2534_4,9,NIL
KNSR2534_4,10,NIL
KNSR2534_4,11,http://www.wikidata.org/entity/Q34770
KNSR2535_1,0,http://www.wikidata.org/entity/Q11173
KNSR2535_1,1,NIL
KNSR2535_1,2,http://www.wikidata.org/entity/Q2724976
KNSR2535_1,3,http://www.wikidata.org/entity/Q209727
KNSR2535_1,4,http://www.wikidata.org/entity/Q412366
KNSR2535_1,5,http://www.wikidata.org/entity/Q82224737
KNSR2535_1,6,http://www.wikidata.org/entity/Q27145121
KNSR2535_1,7,http://www.wikidata.org/entity/Q209685
KNSR2535_1,8,http://www.wikidata.org/entity/Q207688
KNSR2535_1,9,http://www.wikidata.org/entity/Q407426
KNSR2535_1,10,NIL
KNSR2535_2,0,http://www.wikidata.org/entity/Q11173
KNSR2535_2,1,http://www.wikidata.org/entity/Q27159255
KNSR2535_2,2,http://www.wikidata.org/entity/Q425004
KNSR2535_2,3,NIL
KNSR2535_2,4,http://www.wikidata.org/entity/Q104253515
KNSR2535_2,5,NIL
KNSR2535_2,6,NIL
KNSR2535_2,7,NIL
KNSR2535_2,8,http://www.wikidata.org/entity/Q105161505
KNSR2535_2,9,NIL
KNSR2535_3,0,http://www.wikidata.org/entity/Q11173
KNSR2535_3,1,NIL
KNSR2535_3,2,NIL
KNSR2535_3,3,NIL
KNSR2535_3,4,NIL
KNSR2535_3,5,http://www.wikidata.org/entity/Q1128537
KNSR2535_3,6,http://www.wikidata.org/entity/Q202
KNSR2535_3,7,http://www.wikidata.org/entity/Q11660
KNSR2535_3,8,http://www.wikidata.org/entity/Q716
KNSR2535_4,0,http://www.wikidata.org/entity/Q11173
KNSR2535_4,1,NIL
KNSR2535_4,2,http://www.wikidata.org/entity/Q186521
KNSR2535_4,3,NIL
KNSR2535_4,4,http://www.wikidata.org/entity/Q483752
KNSR2535_4,5,http://www.wikidata.org/entity/Q180341
KNSR2535_4,6,http://www.wikidata.org/entity/Q484940
KNSR2535_4,7,http://www.wikidata.org/entity/Q483745
KNSR2535_4,8,http://www.wikidata.org/entity/Q170545
KNSR2535_4,9,http://www.wikidata.org/entity/Q178430
KNSR2535_4,10,http://www.wikidata.org/entity/Q181003
