author,url,doi,issn,year,pages,journal,title,ENTRYTYPE,ID,
Yasmine Probst and Vivienne Guan and Katherine Kent,https://www.sciencedirect.com/science/article/pii/S0308814616318349,https://doi.org/10.1016/j.foodchem.2016.11.010,0308-8146,2018,146-152,Food Chemistry,A systematic review of food composition tools used for determining dietary polyphenol intake in estimated intake studies,article,PROBST2018146,
Susanne Westenbrink and Kommer Brunt and Jan-Willem {van der Kamp},https://www.sciencedirect.com/science/article/pii/S0308814612014318,https://doi.org/10.1016/j.foodchem.2012.09.029,0308-8146,2013,562-567,Food Chemistry,Dietary fibre: Challenges in production and use of food composition data,article,WESTENBRINK2013562,
Karl Presser and David Weber and Moira Norrie,https://www.sciencedirect.com/science/article/pii/S0308814616315199,https://doi.org/10.1016/j.foodchem.2016.09.124,0308-8146,2018,166-172,Food Chemistry,"FoodCASE: A system to manage food composition, consumption and TDS data",article,PRESSER2018166,
Norma Samman and Maria Teresa Oyarzun and Saturnino {de Pablo},https://www.sciencedirect.com/science/article/pii/S0308814608012247,https://doi.org/10.1016/j.foodchem.2008.10.032,0308-8146,2009,795-798,Food Chemistry,"LATINFOODS, the Latin American network on food composition",article,SAMMAN2009795,
S. Panebianco and P. Mazzoleni and G. Barone and A. Musumarra and M.G. Pellegriti and A. Pulvirenti and A. Scordino and G. Cirvilleri,https://www.sciencedirect.com/science/article/pii/S0308814622003260,https://doi.org/10.1016/j.foodchem.2022.132364,0308-8146,2022,132364,Food Chemistry,Feasibility study of tomato fruit characterization by fast XRF analysis for quality assessment and food traceability,article,PANEBIANCO2022132364,
Suzanne P. Murphy and U. Ruth Charrondiere and Barbara Burlingame,https://www.sciencedirect.com/science/article/pii/S0308814614018263,https://doi.org/10.1016/j.foodchem.2014.11.097,0308-8146,2016,2-5,Food Chemistry,Thirty years of progress in harmonizing and compiling food data as a result of the establishment of INFOODS,article,MURPHY20162,
Hettie C. Schönfeldt and Nicolette Hall,https://www.sciencedirect.com/science/article/pii/S0308814613001179,https://doi.org/10.1016/j.foodchem.2013.01.082,0308-8146,2013,513-519,Food Chemistry,Capacity building in food composition for Africa,article,SCHONFELDT2013513,
Doris Rittenschober and Verena Nowak and U. Ruth Charrondiere,https://www.sciencedirect.com/science/article/pii/S030881461300928X,https://doi.org/10.1016/j.foodchem.2013.07.007,0308-8146,2013,4303-4310,Food Chemistry,Review of availability of food composition data for fish and shellfish,article,RITTENSCHOBER20134303,
Blaž Ferjančič and Mihaela Skrt and Mojca Korošec and Jasna Bertoncelj,https://www.sciencedirect.com/science/article/pii/S0308814622017150,https://doi.org/10.1016/j.foodchem.2022.133753,0308-8146,2022,133753,Food Chemistry,Comparative analysis of dietary fibre determination by AOAC 991.43 and AOAC 2011.25 for frequently consumed foods in Slovenia,article,FERJANCIC2022133753,
F. Chamorro and M. Carpena and M. Fraga-Corral and J. Echave and Muhammad Shahid {Riaz Rajoka} and Francisco J. Barba and Hui Cao and Jianbo Xiao and M.A. Prieto and J. Simal-Gandara,https://www.sciencedirect.com/science/article/pii/S0308814621023219,https://doi.org/10.1016/j.foodchem.2021.131315,0308-8146,2022,131315,Food Chemistry,Valorization of kiwi agricultural waste and industry by-products by recovering bioactive compounds and applications as food additives: A circular economy model,article,CHAMORRO2022131315,
Ian Unwin and Martine {Jansen-van der Vliet} and Susanne Westenbrink and Karl Presser and Esther Infanger and Janka Porubska and Mark Roe and Paul Finglas,https://www.sciencedirect.com/science/article/pii/S0308814614016008,https://doi.org/10.1016/j.foodchem.2014.10.038,0308-8146,2016,90-96,Food Chemistry,Implementing the EuroFIR Document and Data Repositories as accessible resources of food composition information,article,UNWIN201690,
Pedram Shoa and Seyed Ahmad Mireei and Abbas Hemmat and Sara W. Erasmus and Saskia M. {Van Ruth},https://www.sciencedirect.com/science/article/pii/S0308814621002922,https://doi.org/10.1016/j.foodchem.2021.129287,0308-8146,2021,129287,Food Chemistry,Broadband acoustic resonance dissolution spectroscopy as a rapid tool for the compositional analysis of food powders: A case study of edible salts,article,SHOA2021129287,
Fernanda C.O.L. Martins and Gabriela M.R.N. Alcantara and Anna Flavia S. Silva and Wanessa R. Melchert and Fábio R.P. Rocha,https://www.sciencedirect.com/science/article/pii/S0308814622015011,https://doi.org/10.1016/j.foodchem.2022.133539,0308-8146,2022,133539,Food Chemistry,The role of 5-hydroxymethylfurfural in food and recent advances in analytical methods,article,MARTINS2022133539,
Sahrah Fischer and Thomas Hilger and Hans-Peter Piepho and Irmgard Jordan and Georg Cadisch,https://www.sciencedirect.com/science/article/pii/S0308814620325851,https://doi.org/10.1016/j.foodchem.2020.128723,0308-8146,2021,128723,Food Chemistry,Missing association between nutrient concentrations in leaves and edible parts of food crops – A neglected food security issue,article,FISCHER2021128723,
Megan C.Y. Ooi and Xiaojie Zhang and Christopher M. Beaudry and Juyun Lim and Michael H. Penner,https://www.sciencedirect.com/science/article/pii/S0308814621025486,https://doi.org/10.1016/j.foodchem.2021.131542,0308-8146,2022,131542,Food Chemistry,Chromatographic preparation of food-grade prebiotic oligosaccharides with defined degree of polymerization,article,OOI2022131542,
Michele Utpott and Eliseu Rodrigues and Alessandro de Oliveira Rios and Giovana Domeneghini Mercali and Simone Hickmann Flôres,https://www.sciencedirect.com/science/article/pii/S0308814621016915,https://doi.org/10.1016/j.foodchem.2021.130685,0308-8146,2022,130685,Food Chemistry,Metabolomics: An analytical technique for food processing evaluation,article,UTPOTT2022130685,
Subathira Sivakumaran and Lee Huffman and Sivalingam Sivakumaran,https://www.sciencedirect.com/science/article/pii/S030881461632088X,https://doi.org/10.1016/j.foodchem.2016.12.066,0308-8146,2018,101-110,Food Chemistry,The New Zealand Food Composition Database: A useful tool for assessing New Zealanders’ nutrient intake,article,SIVAKUMARAN2018101,
U. Ruth Charrondiere and Doris Rittenschober and Verena Nowak and Barbara Stadlmayr and Ramani Wijesinha-Bettoni and David Haytowitz,https://www.sciencedirect.com/science/article/pii/S0308814614017841,https://doi.org/10.1016/j.foodchem.2014.11.055,0308-8146,2016,75-81,Food Chemistry,"Improving food composition data quality: Three new FAO/INFOODS guidelines on conversions, data evaluation and food matching",article,CHARRONDIERE201675,
Mojca Korošec and Terezija Golob and Jasna Bertoncelj and Vekoslava Stibilj and Barbara Koroušić Seljak,https://www.sciencedirect.com/science/article/pii/S0308814613000071,https://doi.org/10.1016/j.foodchem.2013.01.005,0308-8146,2013,495-499,Food Chemistry,The Slovenian food composition database,article,KOROSEC2013495,
Gary R. Beecher,https://www.sciencedirect.com/science/article/pii/0308814696890364,https://doi.org/10.1016/0308-8146(96)89036-4,0308-8146,1996,121,Food Chemistry,New components included in future food composition tables,article,BEECHER1996121,
Ammar Al-Farga and Hui Zhang and Azhari Siddeeg and Muhammad Shamoon and Moses {V.M. Chamba} and Nabil Al-Hajj,https://www.sciencedirect.com/science/article/pii/S0308814616306926,https://doi.org/10.1016/j.foodchem.2016.05.016,0308-8146,2016,268-273,Food Chemistry,"Proximate composition, functional properties, amino acid, mineral and vitamin contents of a novel food: Alhydwan (Boerhavia elegana Choisy) seed flour",article,ALFARGA2016268,
