,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Group/,Baseline,C,,,,H,,,,P,,,
1,Day,,4,7,9,15,4,7,9,15,4,7,9,15
2,TRP,0.00,0.00,0.03ab,0.48,0.51,0.02,0.07b,0.31,0.72f ,0.01,0.13,0.46,0.73f 
3,,0.00,0.00,0.01,0.02,0.01,0.01,0.01,0.04,0.05,0.01,0.01,0.03,0.02
4,PUTR,0.78,1.04ab,1.45,1.77de,2.30f,1.13b,1.60cde,1.77de,1.90,1.54 cd,1.89,1.72cde,1.79de
5,,0.01,0.03,0.07,0.03,0.07,0.08,0.05, 0.02,0.02,0.14,0.10,0.03,0.02
6,CADAW,0.03,0.08b,0.14 cd,0.17,0.33g ,0.08b,0.18,0.27ef ,0.39g,0.11bc,0.27ef,0.24,0.28ef 
7,,0.00,0.01,0.01,0.01,0.02,0.00,0.00,0.02,0.01,0.01,0.02,0.01,0.01
8,HISTA,0.86,1.76bc,2.67cde,2.82efg,3.588,1.80bcd,2.47def ,2.94fg,4.20 h,1.30b,3.03fg,5.34hi ,6.11
9,,0.03,0.13,1.01,0.22,0.12,0.08,0.11,0.19,0.14,0.07,0.15,0.17,0.12
10,TYRA,0.29,0.29,0.31ab ,0.55de,1.28,0.38bc,0.58,1.00f,1.28f,0.29a,0.45 cd,0.67,1.02f
11,,0.02,0.02,0.01,0.01,0.06,0.02,0.02,0.08,0.02,0.03,0.04,0.03,0.02
12,SPD,0.78,1.35 cd,1.78ef,2.12efg,1.20bc,1.00b,1.78,4.58,2.66g,1.69de,2.15efg,1.94efg,1.80ef
13,,0.02,0.11,0.06,0.03,0.04,0.04,0.06,1.83,0.08,0.11, 0.10,0.02,0.02
14,SPR,0.44,0.61,0.78,0.82cd,1.00,0.73bc,0.71bc,0.72bc,0.91,0.85 cd,1.27 ,1.49 ,1.75
15,,0.02,0.07,0.04,0.02,0.04,0.05,0.03,0.02,0.03,0.05,0.05,0.04,0.04
