,0,1,2,3,4,5,6,7,8,9,10,11
0,Peak,R(min,Mass,Mass,Molecular,Error,UV,MS/MS (m/z),Tentative identification,U,B,DW
1,,,found,calculated,formula,(ppm),max,,,,,
2,,,,,,,,"285.0417(49),283.0214(19),",,,,
3,,,,,,,,165.0186(6),,,,
4,34,42.1-42.3,449.1099,450.1162,C21H22O11,5.12,283,"287.0561100,151.0024(63",Eriodictyol hexoside 2,x,X,x
5,,,,,,,,135.0443(46),,,,
6,35,43.2,223.0573,224.0685,CHO5,11.65,323,"208.0344(68),193.0107(100),",Dimethoxy p-coumaric acid,-,x,-
7,,,,,,,,"163.0366(21),149.0224(46),",(sinapic acid),,,
8,,,,,,,,"109.0272(5), 93.0338(34)",,,,
9,36,44.0,193.0475,194.0579,C1oH1oO4,9.32,"289,","178.0242(43),134.0355(100)",Ferulic acid,,,x
10,,,,,,,323 sh,,,,,
11,37,44.8,537.0851,538.0900,C3oH1gO10,6.88,281,"537.0741(100),525.2036(17)",Amentoflavone,x,-,X
12,,,,,,,,"447.0679(77),385.0641(11),",,,,
13,,,,,,,,"377.1664(17),365.0804(6),",,,,
14,,,,,,,,"285.0399(53),255.0335(10)",,,,
15,38,45.0,573.1022,574.1111,C3H22O12,0.52,280,"573.0995(100),447.0695(85),",(epi)-catechin - Luteolin or,,-,X
16,,,,,,,,"325.0375(22),289.0714(3),",Kaempferol dimer,,,
17,,,,,,,,283.0429(56),,,,
18,39,45.8,303.0509,304.0583,C15H12O7,3.96,282,"285.0387(61),178.9980(24),",Taxifolin,x,-,x
19,,,,,,,,125.0243(100),,,,
20,40,46.0,359.1484,360.1573,C2oH24O6,0.83,279,"344.1248 (68),313.0146 (60),",Isolariciresinol,x,,
21,,,,,,,,241.0469 (100),,,,
22,41,48.3,551.0987,552.1056,C3H20O10,3.08,279,"551.0651100),459.0786(6)",Bilobetin,x,,X
23,,,,,,,,"443.1733(12), 389.0960(22),",,,,
24,,,,,,,,"360.1567(9),329.1376(77),",,,,
25,,,,,,,,"311.0870(65), 297.0792(8),",,,,
26,,,,,,,,119.0475(8),,,,
27,42,51.9,573.1042,574.1111,C3oH22O12,2.96,280,"573.1035(100),447.0726(75),",(epi)-catechin - Luteolin or,,-,X
28,,,,,,,,"325.0358(28), 283.0413(68),",Kaempferol dimer,,,
29,,,,,,,,177.0200(21),,,,
30,43,53.1,565.1095,566.1213,C32H22O10,5.65,279,"565.0754(100), 532.0723(71),",Ginkgetin,,-,X
31,44,53.2,361.1661,362.1729,C2oH26O6,4.98,279,"346.1435 (29),209.0757 (25),",Secoisolariciresinol,X,-,
32,,,,,,,,"165.0531 (20),121.0279 (50)",,,,
33,45,57.3,359.1490,360.1573,C2oH24O6,0.83,280,"329.1378 (100),109.0304 (19)",Lariciresinol,X,-,X
34,46,66.0,287.0556,288.0634,C15H12O6,2.78,283,"161.0233(5),151.0034(26),",Eriodictyol,,-,x
35,,,,,,,,"135.0451(100,106.0379(5)",,,,
36,47,67.4,301.0345,301.0350,C1sH1oO7,1.66,369,"301.0347(100,179.0002(61",Quercetin*,x,x,x
37,,,,,,,,"151.0053(82),121.0299(30)",,,,
