,0,1,2,3,4,5,6,7,8
0,Product,Primary,Moisture,Fat,Vitamin Db,25OHD3b,Vitamin Dab,25,Total vitamin D
1,,samples,g/100g,(g/100 g),(g/100 g),g/100 g,g/100g,(OH),g/100g
2,,n,,,,,,D2b,
3,,,,,,,,(g/,
4,,,,,,,,100 g),
5,Camel (Camelus dromedarius),,,,,,,,
6,"Meat fillet,mincedicedeye",6,76.0  1.1,1.5  0.7,ND,1.07  0.73,ND,ND-Tr,1.07-5.33
7,"fillet,rump,knuckle",,(74.8-77.3),0.6-2.6),,(0.40-2.46),,,
8,Hump,4,11.35.5,79.8  7.3,Tr,2.13  2.04,ND,Tr,2.19-10.95
9,,,(5.717.8),(73.490.2),,(0.955.17),,Tr,
10,Crocodile (Crocodylus porosus),,,,,,,,
11,"Lower-fat cuts (tail fillet,",4,77.2  0.5,2.3  1.6,0.48  0.07,Tr,ND,ND,0.48
12,"mince striploin,sweet cut",,(76.8-77.8),(0.5-4.2),(0.390.65),,,,
13,(cheek)),,,,,,,,
14,Body trime,4,63.3  5.7,17.2  4.8,1.62  0.63,0.11  0.01,ND,ND,1.73-2.16
15,,,(59.8-71.9),(10.3-21.1,(0.832.20),(0.100.13),,,
16,Emu (Dromaius novaehollandiae),,,,,,,,
17,"Meat (fan fillet, flat fillet,",6,74.1  1.2,1.7  1.0,0.88  0.18,Tr,0.13  0.03 (Tr,ND,1.01
18,"mince""",,(72.2-75.7),0.5-3.2,(0.70  1.11),,0.16),,
19,Heart,4,69.7 1.2,13.0 2.8,4.050.71,0.14  0.05,0.16  0.07,ND,4.34-4.90
20,,,(68.771.3),(9.5-16.4),(3.355.00),(0.100.20),(0.100.24),,
21,Eggs,8,69.2,16.0,2.95,0.20,0.20,ND,3.35-4.15
22,Oil,6,0.3,100.0,14.50,0.15,1.30,ND,15.95-16.55
23,Kangaroo (Macropus giganteus,,,,,,,,
24,and Macropus rufus,,,,,,,,
25,"Meat (fillet, rump, minced",8,75.5  1.6,0.4  0.6,ND,ND,Tr,Tr,-
26,"striploin, tail butt, tail)",,(73.178.1),0.01.9),,,,,
