,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Food,Portion (g),Vitamins,,,,,,,,,,Minerals,,,,,
1,,,Retinol,-carotene,Thiamin,B6,B12,Riboflavin,Niacin,Folate,c,D,Fe,Ca,Na,K,Mg,Zn
2,,,(g),(ug),(g),(mg),(ug),(mg),(mg),(g),(mg),(g),(mg),(mg),(mg),(mg),(mg),(mg)
3,Preschool children (n = 80),Preschool children (n = 80),,,,,,,,,,,,,,,16,
4,Chapatti,44 (7-110)a,0,0,0.1,0.1,0.08,0.02,1.3,6,0,0,0.9,26,53,66,16,0.4
5,Chicken curry,4415-120,NA,102.9,0.02,0.06,NA,0.09,NA,6,NA,N,0.4,28,156,102,15,0.4
6,Channa dhal,50 (2090),NA,30,0.02,Tr,NA,0.04,NA,6,1,0,0.8,28,156,102,15,0.4
7,Mixed,45 (1590),NA,356.4,0.04,0,NA,0.04,0.1,3,2.7,0,0.4,18,168,170,11,0.1
8,vegetables,49 (30-90),,38.2,0.02,0.05,0.64,,1.2,,,,,18,233,154,,
9,White rice,49 (30-90),NA,38.2,0.02,0.05,0.64,0.14,1.2,7,0.5,N,1.5,18,233,21,12,1.1
10,White rice,38 (20-80),0,0,0,0.03,0,Tr.,0.6,NA,0,0,0.1,1,0,21,4,0.3
11,Ghee,5 (1.2-10,39,26.5,0.03,0,NA,NA,0.3,NA,0,0.05,0.9,14,0,112,12,0.4
12,Tarka dhal,50 (20-110),NA,26.5,0.03,NA,NA,0.04,0.3,8,0,NA,0.9,14,160,112,12,0.4
13,School children (n = 111),School children (n = 111),,,,,,,,,,,,,,,,
14,Chapatti,64 (14-165),0,224.6,0.01,0.13,0.2,0.03,1.9,13,0,0,1.3,38,319,96,24,0.6
15,Chicken curry,96 (40-200),NA,224.6,0.01,0.13,NA,0.20,4.8,13,NA,N,1,62,319,323,24,0.8
16,Channa dhal,108 (50-250),NA,66,0.04,Tr,NA,0.08,0.3,14,2.2,0,0.9,62,336,362,32,0.9
17,Mixed,96 (20400),NA,760.3,0.08,0,NA,0.09,0.3,6,5.8,0,0.9,38,359,362,23,0.3
18,vegetables,,,69.4,,,NA,,2.2,,,,,32,423,,,
19,Lamb balti,89 (50-150),NA,69.4,0.04,0.10,1.16,0.26,5,13,0.9,N,2.7,32,423,280,21,2
20,Paratha,121 (70210),185,117,0.01,0.09,Tr,0.06,1.9,9,Tr,0.12,2.4,22,120,196,14,1.5
21,White rice,7(5-10),0,0,0.01,0.09,0,Tr,NA,9,0,0.07,0.2,22,1,68,14,0
22,Ghee,7(5-10),55,130.4,NA,0,NA,NA,NA,NA,NA,0.07,0,0,0,0,0,0
23,Adults (n=100),,,,,,,,,13,,,,,,,,
24,Chapatti,90 (65-150),0,0,0.21,0.20,0.16,0.04,2.7,13,0,,1.9,54,108,135,33,0.9
25,Chicken curry,156 (130-,NA,365,0.02,0.22,0.33,0.33,7.8,22,NA,N,1.6,41,518,524,39,1.2
26,,270),,,,,,,,,,,,,,,,
27,Channa dhal,200(130-,NA,122,0.08,Tr,NA,0.14,NA,26,4,0,3.2,114,622,406,60.,1.6
28,,375),,122,,,,,,,,,,,,,60.,
29,Mixed,356 (200-,NA,2820,0.28,0,NA,0.32,1.1,21,21.4,0,3.2,142,1331,1342,85,1.1
30,vegetables,400),,,,,,,3.9,,1.6,,,56,741,491,,
31,Lamb balti,156 (100-,NA,122,0.06,0.17,2.03,0.45,3.9,23,1.6,N,4.7,56,741,491,37,3.6
32,,350,,122,,,,,,,,0.10,,56,,,37,
33,Paratha,100 (80-150),153,97,0.18,0.14,Tr,0.05,4.1,16,Tr,0.10,2,85,99,160,51,1.2
