,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,,,0,0,,,,,,,,,,,,1.15,,,
1,,q88'IZ F 8Z'L0Z,,p96'II F60'69I,,,,,qTL'O F 09'IS,,,,,q98'S F Iv'SS,,q88'Z F O0'ZZ,,q008,,,,JZO'IZ F 8t'88I,,,,1.1114
2,,,,p96'II F60'69I,,,,,,,p'u,,,q98'S F Iv'SS,,q88'Z F O0'ZZ,'p'u,,,,,JZO'IZ F 8t'88I,,,,1.1114
3,SKH/HC,,,p8t'6 F ZT'9ZI,,e08'S F l,,,,,,q8I'O F,,,,,,,,,2.022,,1111,,,
4,,,,,0,,0,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,00,,,,
6,PWC,p'u,,,,,,,,,,,,,,,,,,,,1.2,,,,
7,,,,,,,,,,,,,,,,,,,,,,pbI'O F,q00,pLO'OF,q00F,
8,,,,,,,,,,,,,,,,,,,,,,,,,,6
9,%R,,,,0.2,,,30,0000000000000t,,,,,,,,,,30000,30000,30000,200,200,200,,
10,,,q6S'0 F,,,,,,,,,,,,,,,,,,,,,,,
11,,'p'u,640,128,8'91,,,,,,,,,,,,,,09'6,,,,"""p'u","""p'u",,
12,,,qLL'O F 8I'ZI,q6L'0+,,qZ8'OF44'0I,,,,,,,,,,,,,,,,qZb'T F SL'ZI,,qI8,,
13,SEC,'p'u,qLL'O F 8I'ZI,10.14,227,qZ8'OF44'0I,p'u,104,,,,,,,,,,,,,,qZb'T F SL'ZI,p',1215,,
14,,,,,,,,,,,,,,,,,,,,1001019,,,,,,
15,,,,,,,,,,,C,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,tpe,,Ype,,,,,,,,,,,
