,0,1,2,3,4,5,6
0,Anthocyanin,Solvent system,,MW,Amax,Molar absorptivity,References
1,,,,(g/mol),(nm),(E),
2,,,,,,Lmol-1cm-1,
3,Del-3-glu,1% HCl in methanol,,518.5,543,29000*,"Asen,Stuart et al.1959)"
4,,pH 1 buffer (0.2 M KCl)/0.1 M HCl,,x,514,13000*,"Cabrita,Fossen et al.2000"
5,,pH 2.4 to 4.0 buffer (0.1 M KH Phthalate+0.1 M HCl,,X,521-528,3600-10900*,"Cabrita,Fossen et al.2000"
6,,pH 5.0-8.1 buffer(0.1 M KHPO4+0.1 M NaOH),,X,530-577,1300-6200*,"Cabrita, Fossen et al. (2000"
7,,pH 8.6-9.0 buffer (0.025 M Borax+0.1 M HCl),,x,542-543,5400-7800*,"Cabrita,Fossen et al.2000"
8,,pH 9.5 buffer0.025 M Borax+0.1 M NaOH,,X,546,2800*,"Cabrita, Fossen et al. (2000)"
9,,1% HCl in methanol,,465.2,543,795***,Wrolstad (1993)
10,,"0.5% tartaric acid, 10% ethanol (pH 1.5)",,x,520,23700**,"Heredia, Francia-Aricha et al. (1998)"
11,,0.1 N HCI,0.1 N HCI,465(m/z),517^,27500*,"Matsumoto,Hanamura et al.(2001"
12,ya-3-glu,0.01% HCl in methanol,,445.2,528,29600***,Blundstone (1966); Wrolstad (1993)
13,,pH 1.0 buffer (0.2 M KCl in 0.2 M HCl),,x,510,24825*,"Lo Scalzo,Genna et al.2008"
14,,pH 1 buffer (0.2 M KCl)/0.1 M HCl,,x,510,20000*,"Cabrita,Fossen et al.2000"
15,,,B,,,,
16,,pH 2.4 to 4.0 buffer 0.1 M KH Phthalate+0.1 M HCl),,X,512520,6800-18400*,"Cabrita,Fossen et al.2000"
17,,pH 5.0-8.1 buffer (0.1 M KHPO4+0.1 M NaOH),,X,523-571,1600-12500*,"Cabrita, Fossen et al. (2000)"
18,,pH 8.6-9.0 buffer (0.025 M Borax+0.1 M HCl),,X,539-540,10100-10500*,"Cabrita,Fossen et al.(2000)"
19,,pH 9.510.6 buffer (0.025 M Borax + 0.1 M NaOH),,x,541-569,7100-11900*,"Cabrita, Fossen et al. (2000)"
20,,"Methanol/HCl(99.99:0.01,v/v)",,x,529,19180**,"Cao,Liu et al.2009"
21,,pH 1.0 buffer (0.2 N KCI) or in methanol/HCl,,X,510,20020**,"Cao, Liu et al. (2009)"
22,,"(99.99:0.01,v/v)",,,,,
23,,pH 1.0 buffer (0.2 M KCl+0.2 M HCl),,X,510,20000*,"Fossen, Cabrita et al. (1998)"
24,,pH 2.4-5.0(0.1 M KH phthalate+0.1 M HCl),,x,512-523,1700-18400*,"Fossen, Cabrita et al. (1998)"
25,,pH 6.0-5.8.1(0.1 M KHPO4+0.1 M HCl),,X,528-570,2000-12500*,"Fossen,Cabrita et al.1998"
26,,pH 8.6-9.0(0.025 M borax+0.1 M HCl,,X,539-540,10100-10500*,"Fossen, Cabrita et al. (1998)"
27,,1% HCl in methanol and pH 1.0 buffer (0.2 N KCl),,x,510,26900**,"Giusti, Rodriguez-Saona et al. (1999)"
28,,"0.5% tartaric acid,10% methanol (pH 1.5",,X,512,18800**,"Heredia,Francia-Aricha et al.1998"
29,,pH 1 buffer (0.2 M KCl)/0.2 M HCl,,484.83,510,20000*,"Jordheim, Aaby et al. (2007)"
30,,0.1 N HCl,0.1 N HCl,449 (m/,510,26300*,"Matsumoto,Hanamura et al.2001"
31,,,,z),,,
32,,0.1 N HCI,0.1 N HCI,449,520,25740**,McClure(1968)
33,,0.1 M HCl in water (5%)-ethanol (v/v),,X,530,32518*,Rapisarda Fanella & Maccarone (2000)
34,,0.1 M HCl in water (20.8%)-ethanol (v/v),,,530,32678*,Rapisarda Fanella & Maccarone (2000)
35,,0.1 M HCl in water (32.8%)-ethanol (v/v),,Y,530,29322*,Rapisarda Fanella & Maccarone (2000)
36,,0.1 M HCl in water (42%)-ethanol (v/v),,x,530,28924*,Rapisarda Fanella& Maccarone (2000)
37,,0.1 M HCl in water 53%-ethanol (v/v),,x,530,27876*,Rapisarda Fanella & Maccarone (2000)
38,,Buffer pH 1.0 (2 M KCl+0.2 M HCl),,484.82,510,24800*,Rapisarda Fanella & Maccarone (2000)
39,,1% HCl in methanol,,502.5,530,34300*,Siegelman and Hendricks (1958
40,,pH 1.1 buffer (0.2 M KCl + 0.0 M HCl),,X,x,16520**,Torskangerpoll and Andersen (2005)
41,,pH 3.0-4.1 buffer (0.2 M KCHCgO4H4+0.1 M HCl),,X,X,592012240**,Torskangerpoll and Andersen (2005)
42,,pH 5.1 buffer (0.2 M KCHCgO4H4+0.1 M NaOH),,x,x,3540**,Torskangerpoll and Andersen (2005)
43,,pH 6.0-7.3 buffer(0.1 M NaOH+0.1 M KHPO4),,x,x,8120-9180**,Torskangerpoll and Andersen (2005)
44,,pH 8.0-8.9 buffer (0.1 M HCl+0.025 M borax),,x,x,8020-8340**,Torskangerpoll and Andersen (2005)
45,,pH 9.9 buffer (0.1 M NaOH+0.025 M borax),,x,x,8240**,Torskangerpoll and Andersen (2005)
46,el-3-glu,pH 10.5 buffer (0.1 M NaOH+0.05 M NaHPO4),,X,X,14380**,Torskangerpoll and Andersen (2005)
47,el-3-glu,0.1% HCI in water,,486.5,496,27300*,Jorgensen and Geissman (1955)
48,,Not given,Not given,433,X,36600*,
