,0,1,2,3,4,5,6,7
0,Preparations,Physical chemical composition (g/100 g),Physical chemical composition (g/100 g),Physical chemical composition (g/100 g),,Caloric value,,
1,,Moisture**,Ashes**,Lipids**,Proteins**,TDFa,Carbohydrates**,kcal/100 g**
2,Milled rice*,49.750.01,1.53  0.01,4.620.16,3.660.01,1.240.04,39.20  0.15,2131
3,French fries,54.420.56,1.590.02,10.78 0.06,3.150.01,3.500.16,26.560.15,216  3
4,Potatoes au gratin,60.320.01,2.340.01,3.68 0.08,5.920.12,2.150.09,25.610.04,1590
5,Collard greens*,85.020.01,0.910.01,6.23  0.20,2.40 0.02,5.440.03,0.00,661
6,"""Cariocabeans*",74.380.59,1.680.01,1.490.04,3.49 0.01,6.130.45,12.830.56,793
7,Feijoada (meat stew w/black beans),69.360.30,2.53  0.01,9.170.01,10.43 0.13,4.14  0.01,4.37  0.20,142 1
8,Macaroni w/Italian sausage,75.010.04,1.100.04,3.370.49,5.370.44,3.000.07,12.150.94,1002
9,Meat roll,66.15 0.26,2.47  0.39,6.200.20,16.630.88,1.440.01,7.111.73,1512
10,Watercress****,95.050.01,0.800.04,0.200.01,2.030.10,1.920.01,0.00,100
11,Lettuce****,97.160.01,0.450.14,0.180.01,0.750.06,1.040.06,0.420.20,60.
12,Beetroot*****,93.430.16,0.710.01,0.590.05,1.310.10,2.720.15,1.240.30,160
13,Legumes*****,92.710.25,0.830.01,0.210.01,1.350.30,2.410.07,2.490.20,171
14,Legumes w/mayonnaise*****,77.470.08,1.820.01,4.07 0.42,2.09 0.12,2.31 0.04,12.240.47,943
15,Passion fruit pie,54.970.66,0.79+0.04,5.890.10,5.180.35,1.080.10,32.09 0.95,202  3
