,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,Cowpea,WPC,RF,,R9oC10,,R8oC1sWo5,,R7oC2oW10,,R6oC2sW15,,R5oC3oW20,
1,,Raw,Raw,Raw,Extruded,Raw,Extruded,Raw,Extruded,Raw,Extruded,Raw,Extruded,Raw,Extruded
2,Essential AA,,,,,,,,,,,,,,
3,Phenylalanine,10.66,17.33,2.89,2.86 ,2.28,3.90 ,3.18,5.27 ,3.84,7.75 ,4.54,7.94 ,5.42,7.65 
4,,0.43,0.17,?,"0.03c,ns",?,0.46bc,?,0.34b,?,0.15a,?,0.72a,,0.24a
5,,,,0.02d,,0.09e,,0.08d,,0.00c,,0.11b,,0.14a,
6,Tyrosine,5.09 ,16.23,2.04,2.00 ,1.69,2.01 ,2.37,3.18 ,2.79,4.85 ,3.26,4.56 ,3.95,4.15 
7,,0.12,0.19,?,0.17d,?,"0.17d,ns",?,0.02c,?,0.17a,,0.24ab,?,"0.01b,ns"
8,,,,0.03de,,0.12e,,0.15,,0.1bc,,0.04b,,0.17a,
9,,,,,,,,ed,,,,,,,
10,Isoleucine,7.55 ,36.89,2.21,2.19 ,1.69,2.86 ,3.11,5.41 ,4.22,8.89 ,5.32,8.81 ,6.85,10.13
11,,0.50,0.92,+,0.01c,?,0.13c,?,0.26b,?,0.15a,?,0.72a,?,0.42a
12,,,,0.02e,,0.06f,,0.17d,,0.09c,,0.08b,,0.14a,
13,Lysine,16.93,68.51,2.89,2.64 ,2.70,4.55 ,5.85,8.72 ,8.22,14.92 ,10.25,16.73 ,11.95,17.85 
14,,0.33,3.97,?,0.10d,,"0.85d,ns",?,"0.90c,ns",?,0.26b,?,0.22ab,?,0.09a
15,,,,0.01de,,0.11e,,0.43,,0.47bc,,0.22ab,,1.73a,
16,,,,,,,,cd,,,,,,,
17,Methionine,2.32 ,12.07,1.25,1.30,1.17,1.49 ,1.68,2.26 ,2.06,3.42 ,2.49,3.33 ,3.01,3.41 
18,,0.06, 0.26,?,0.06c,?,0.08c,,0.13b,?,0.06a,,0.11a,,0.03a
19,,,,0.10e,,0.02e,,0.10d,,0.04c,,0.03b,,0.09a,
20,Threonine,7.45 ,48.79,2.08,2.15 ,1.56,2.85 ,3.03,5.72 ,4.21,9.63 ,5.43,9.98 ,6.90,11.45 
21,,0.00,3.05,?,0.01d,?,0.0od,?,0.11c,?,0.39b,?,0.25b,?,0.23a
22,,,,0.08e,,0.03e,,0.25d,,0.00c,,0.16b,,0.18a,
23,Valine,8.39 ,32.61,3.01,3.04 ,2.15,3.95 ,3.47,5.95 ,4.42,9.25 ,5.36,9.11 ,6.70,10.21 
24,,0.58,1.03,,0.02c,?,0.38c,?,0.16b,?,0.09a,?,0.50a,,0.41a
25,,,,0.04e,,0.02f,,0.18d,,0.08c,,0.08b,,0.14a,
26,Leucine,14.50,64.82,4.51,4.61 ,3.48,6.26 ,6.24,10.50,8.36,16.56 ,10.87,16.76 ,14.18,19.38 
27,,0.41, 1.87,?,0.11e,,0.23d,?,0.24c,,0.31b,,0.77b,,0.24a
28,,,,0.07f,,0.05e,,0.23d,,0.21c,,0.27b,,0.22a,
29,Histidine,7.15 ,10.49,1.41,1.31 ,1.81,2.35 ,2.43,3.23 ,2.79,4.71 ,3.25,4.61 ,3.84,4.46 
30,,0.96,0.30,?,0.13c,?,"0.39bc,ns",,"0.33ab,ns",?,0.24a,,0.63a,?,"0.33a,ns"
31,,,,0.13e,,0.01d,,0.13c,,0.08c,,0.06b,,0.12a,
32,Non-Essential AA,,,,,,,,,,,,,,
33,Arginine,15.69,17.63,5.23,5.16,3.85,6.52,4.79,7.49 ,5.25,10.34 ,5.84,10.49,6.62,10.05
34,,1.01,1.87,,0.21c,,0.38bc,?,0.44b,?,0.21a,,0.06a,?,0.25a
35,,,,0.03c,,0.09e,,0.09d,,0.05c,,0.11b,,0.20,
36,Alanine,8.67 ,32.80,3.40,3.45 ,2.48,4.36 ,3.86,6.45,4.86,9.70 ,5.97,9.99 ,7.29,10.91
37,,0.20,1.06,?,0.07e,?,0.17d,?,0.13c,?,0.20b,,0.00b,?,0.12a
38,,,,0.04d,,0.03e,,0.15d,,0.03c,,0.13b,,0.19a,
39,Glutamic acid,31.99,110.36,9.73,9.96 ,7.27,14.42 ,11.97,21.02,15.10,32.02 ,18.55,32.62 ,22.30,36.54 
40,, 2.25, 2.37,?,0.55c,?,1.09c,?,0.47b,?,0.23a,?,1.19a,?,3.05a
41,,,,0.19e,,0.08f,,0.36d,,0.19c,,0.07b,,0.44a,
