,0,1,2,3,4,5,6,7,8,9
0,Cultivars,,Organs/,Total,Total,Total,Total,Quantity of,Major phenolic,Reference
1,,,tissues,phenolic,flavonoid,flavonol,anthocyanin,identified,compounds,
2,,,,content,content,content,Content,phenolic,,
3,,,,,,,,compounds,,
4,Malus baccata,,pulps,305 g/g FW,,,35 g/g FW,8,Phlorizin,"Rudikovskaya,"
5,,,,,,,,,,"Dudareva,"
6,,,,,,,,,,"Shishparenok,&"
7,,,,,,,,,,"Rudikovskii, 2015"
8,"Malus spp. cv.Red Splendor, Malus","Malus spp. cv.Red Splendor, Malus",Pulps,4.546.6 mg,,,,16,"(-)-Epicatechin,","Han et al.,2019"
9,micromalus and Malus micromalus,micromalus and Malus micromalus,,GAE/g DW,,,,,procyanidin B1,
10,cv.Haihongguo,,,,,,,,,
11,"Malus spp. cv.Indian Magic, cv.",,Pulps,46 to 161,,,,10-16,,"Li et al.,2016"
12,"Donald,cv.Red SplendorMalus","Donald,cv.Red SplendorMalus",,mg/g DW,,,,,,
13,xaojinesis Cheng et Jiang. and Malus,xaojinesis Cheng et Jiang. and Malus,,,,,,,,
14,prunifolia Borkh.,,,,,,,,,
15,"Malus spp. cv.Lijiangshandingzi', cv.","Malus spp. cv.Lijiangshandingzi', cv.",Pulps,0.6312.66,,,,7-11,"Rutin,","Li, Shi, & Wang"
16,Xiaojinhaitang cv.,,,mg GAE/g,,,,,"(-)-epicatechin,",2014
17,"Huaguanhaitang', cv.",,,FW,,,,,phlorizin,
18,"'Donghongguo', cv.",,,,,,,,,
19,"'Sankuaishihaitango1', cv.",,,,,,,,,
20,"'Sankuaishihaitang02', cv.",,,,,,,,,
21,"'Xiaofanshanhaitang', cv.",,,,,,,,,
22,"Balenghaitang, cv.",,,,,,,,,
23,"Pingdinghaitang, cv.",,,,,,,,,
24,Honghaitang,,,,,,,,,
25,Malus baccata,,Peels,,,246.5 g/,126.6g/,,,Rudikovskaya
26,,,,,,cm2,cm2,,,"et al.,2019"
27,Malus spp. cv. Radiant',,Peels,,-,35-40g/,55-80g/g,,,"Lu et al.,2017"
28,,,,,,g FW,FW,,,
29,Malus spp. cv.Royalty' and cv.,,Leaves,,1.8-7 mg/,,,12-14,Quercetin-3-O-,"Qin et al.,2018"
30,'Flame',,,,g FW,,,,"glucoside,",
31,,,,,,,,,Quercetin-3-O-,
32,,,,,,,,,rhamnoside,
33,"Malus spp. cv.Royalty,cv.Radiant","Malus spp. cv.Royalty,cv.Radiant",Leaves,,,0.772.8,0-3.35 mg/g,4,Quercetin,"Lu et al.,2015"
34,cv.Prairfire' and cv.Flame,,,,,mg/g FW,FW,,,
35,Malus spp.cv.Royalty' and cv.,,Leaves,,,,35-200g/g,3,Phlorizin,"Chen, Tian, Wang"
36,'Radiant',,,,,,FW,,,"Song,Yao,2019"
37,Malus spp.cv.Royalty,,Leaves,,,,70-125g/g,4,Quercetin,"LuHao,Geng,"
38,,,,,,,FW,,,"Yao,2018"
39,Malus orientalis,,Flowers,,,,-,15,Chlorogenic acid,"Rehman et al.,"
40,,,,,,,,,,2017
41,Malus profusion,,Flowers,82-135,,6.28.2,1.819.9,16,(-)-Epicatechin,"Rehman et al.,"
42,,,,mol/g FW,,umol/g,mol/g FW,,,2018
43,,,,,,FW,,,,
44,Malus sikkimensis,,Barks,,,-,,1,Phlorizin,"Dixit et al.,2019"
45,"Malus spp. cv.Kerr', cv.Riku, cv.","Malus spp. cv.Kerr', cv.Riku, cv.",Seeds,3.6-59.3,,,,10-13,Phlorizin,"Gornas et al.,2015"
46,"Quaker Beautycv.Ritika,cv.",,and,mg/g DW,,,,,,
47,,/0.24,,,,,,,,
