orkg:P27060,paper:authors,paper:url,paper:doi,orkg:P74029,paper:publication_year,paper:published_in,paper:title,paper:research_field,contribution:research_problem
,Reuben James Buenafe and Anjana Rathnam and Joanne Jerenice Añonuevo and Shanmugasundram Sundar and Nese Sreenivasulu,https://www.sciencedirect.com/science/article/pii/S0889157521003379,10.1016/j.jfca.2021.104137,0889-1575,2021,Journal of Food Composition and Analysis,Application of classification models in screening superior rice grain quality in male sterile and pollen parents,R91,Food components identification
,Jacinto Darias-Martı́n and Antonio Socas-Hernández and Carlos Dı́az-Romero and Eugenio Dı́az-Dı́az,https://www.sciencedirect.com/science/article/pii/S0889157503000322,10.1016/S0889-1575(03)00032-2,0889-1575,2003,Journal of Food Composition and Analysis,Comparative study of methods for determination of titrable acidity in wine,R91,Food components identification
,Jing Li and Md. Shakhawat Hossain and Hongchi Ma and Qinghua Yang and Xiangwei Gong and Pu Yang and Baili Feng,https://www.sciencedirect.com/science/article/pii/S0889157519308610,10.1016/j.jfca.2019.103335,0889-1575,2020,Journal of Food Composition and Analysis,Comparative metabolomics reveals differences in flavonoid metabolites among different coloured buckwheat flowers,R91,Food components identification
,Wei Guo and Xian Lin and Lanlan Jin and Shenghong Hu,https://www.sciencedirect.com/science/article/pii/S0889157519305502,10.1016/j.jfca.2019.103378,0889-1575,2020,Journal of Food Composition and Analysis,Single quadrupole inductively coupled plasma-mass spectrometry for the measurement of fluorine in tea infusions and its health risk assessment,R91,Food components identification
,S. Yurchenko and U. Mölder,https://www.sciencedirect.com/science/article/pii/S0889157505000220,10.1016/j.jfca.2004.11.004,0889-1575,2005,Journal of Food Composition and Analysis,The determination of polycyclic aromatic hydrocarbons in smoked fish by gas chromatography mass spectrometry with positive-ion chemical ionization,R91,Food components identification
,Ziya Aydin and Şeyma Akın and Esma Nur Çenet and Mukaddes Keskinateş and Abdullah Akbulut and Hülya Keleş and Mustafa Keleş,https://www.sciencedirect.com/science/article/pii/S0889157522002927,10.1016/j.jfca.2022.104674,0889-1575,2022,Journal of Food Composition and Analysis,Two novel enzyme-free colorimetric sensors for the detection of glyphosate in real samples,R91,Food components identification
,J.L. Golbach and V.I. Chalova and C.L. Woodward and S.C. Ricke,https://www.sciencedirect.com/science/article/pii/S0889157507000646,10.1016/j.jfca.2007.03.012,0889-1575,2007,Journal of Food Composition and Analysis,Adaptation of Lactobacillus rhamnosus riboflavin assay to microtiter plates,R91,Food components identification
,P.N. Okafor and U.I. Ogbonna,https://www.sciencedirect.com/science/article/pii/S0889157502001679,10.1016/S0889-1575(02)00167-9,0889-1575,2003,Journal of Food Composition and Analysis,Nitrate and nitrite contamination of water sources and fruit juices marketed in South-Eastern Nigeria,R91,Food components identification
,Yu-Ling Lee and Shao-Yu Jian and Pei-Ying Lian and Jeng-Leun Mau,https://www.sciencedirect.com/science/article/pii/S0889157507001330,10.1016/j.jfca.2007.09.005,0889-1575,2008,Journal of Food Composition and Analysis,Antioxidant properties of extracts from a white mutant of the mushroom Hypsizigus marmoreus,R91,Food components identification
,Donya Mahmoodnezhad and Alireza Taheri,https://www.sciencedirect.com/science/article/pii/S0889157522002125,10.1016/j.jfca.2022.104594,0889-1575,2022,Journal of Food Composition and Analysis,"Development of a new methodology for determination of Cd, Ni, and Co at trace levels by mixed ultrasonic-assisted cloud point/solid phase extraction in micro micellar media: Optimization through response surface methodology",R91,Food components identification
,Mei-Ling Wang and Jih-Terng Wang and Youk-Meng Choong,https://www.sciencedirect.com/science/article/pii/S0889157503001261,10.1016/j.jfca.2003.08.006,0889-1575,2004,Journal of Food Composition and Analysis,A rapid and accurate method for determination of methanol in alcoholic beverage by direct injection capillary gas chromatography,R91,Food components identification
