,0,1,2,3,4,5,6,7,8
0,Lab no.,Light coconut milk,,Coconut milk,,Coconut cream,,Coconut milk powder,
1,,No.1,No.5,No.2,No.6,No.3,No.7,No.4,No.8
2,1,6.42(C),7.68(C),15.96,15.81,21.51G,20.81(G),39.09(G),39.29(G)
3,2,4.14(G),4.49(G),12.37(C),16.72(C),21.57,22.43,30.07(G),29.44(G)
4,3,8.04,8.64,16.67,19.40,22.55,23.08,41.83,42.47
5,4,8.24,8.26,16.99,17.17,22.77,23.35,42.24,42.24
6,5,8.35,8.35,17.06,17.22,-,23.35,42.87,42.96
7,6,8.17,8.18,15.79,14.80,22.78,22.87,35.25(C),38.38(C)
8,7,8.28,8.28,16.91,14.05,22.32(C),27.65(C),42.68,42.75
9,8,8.27,8.28,17.61,17.41,23.24,23.39,42.21,42.09
10,9,8.24,8.27,17.19,17.14,23.04,23.17,42.04,42.36
11,10,8.13,8.02,16.69,16.94,22.65,22.59,41.53,41.60
12,11,8.24,8.17,16.66,17.13,23.59,22.84,42.09,42.14
13,12,8.30,8.26,17.06,17.07,23.23,23.20,42.48,42.48
14,13,8.38,8.37,17.59,16.96,23.62,23.59,42.81,42.84
15,14,7.70(G),8.28(G),16.49,17.15,22.62,23.11,42.17,42.06
16,15,7.81(G),7.77(G),16.96,17.18,20.87(G),19.86(G),43.62,43.10
17,16,8.71,8.21,17.46,16.81,23.62,23.50,42.74,42.86
18,17,8.30,8.32,16.97,16.91,23.09,23.14,42.47,42.53
