,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,,,,5SG/5T,,,,,,,16T,16T,,,,,1SG,,,,,,,2SG,,,,,,,,3SG,,,,,,,4SG,,,,
1,,,,Declared,,Found,,% found,% found,% found,,Declared,Declared,Found,% found,,Declared,Declared,Found,Found,,% found,% found,Declared,Declared,,Found,% found,% found,% found,,Declared,Declared,Found,Found,% found,% found,% found,Declared,,Found,% found,% found
2,,,,,,,,,,,,456430,,111000,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,30000,,2630,,9,,,,,,,,,4000,,3.0,,,0.08,,40000,40000,,25,2,,,,40100,,2520,,6,6,,610,,1470, 240,
4,,,,20000,,12300,,62,,,,,,,,,,,,,,,,50000,50000,,25,0.04,0.04,,,,,,,,,,58000,,19100, 240,
5,,,,25000,,,,69,,,,,,,,,3500,,19.6,,,,,,,,35300,,,,,,,,,,,,753,,41300,310,
6,,,,25000,,17400,,113,,,,2500000,2500000,44500,2,,500,,19.6,19.6,,,,50000,50000,,35300,71,71,,,72800,,37700,37700,52,52,,75000,,41300,55,
7,,,,20,,23,,113,113,,,,,,,,,,,,,,,10,,,17,167,167,,,,,,,,,,,,,,
8,,,,10000,,9620,,96,,,,,,,,,1000,,1200,1200,,120,,3600,,,,,,,,1090,,1220,1220,112,112,,180,,800,445,
9,,,,,,,,,,,,,,,,,15000,,1.9,,,0.01,,400,,,57,2,2,,,18000,,10300,10300,,,,11030,,15500,141,
10,,,, 2000,,1870,,,,,,,,,,,2000,,2060,2060,,103,,400,,,476,119,119,,,3130,,2100,,,,,,,,,
11,,,,15000,,14700,,,,,,,,,,,5000,,,,,109,,3000,,,3640,,,,,4020,,4460,,,,,22.33,,625,156,
12,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,15000,,14700,,,,,,,,,,,5000,,5440,5440,,109,,3000,,,3640,121,121,,,4020,,4460,,111,111,,402,,625,156,
