,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,"Energy (kcal, %)",Proteins (%),Saturated fat (%),Sugar (%),Fiber (%),Na%,K %),Ca (%),Mg %,Fe (%),Vit.A (%),Vit.E (%),Vit.C(%
1,Eggs,0.7,0.8,1.3,0.0,0.0,0.3,0.3,0.8,0.2,1.1,1.0,0.7,0.0
2,White meat,1.9,5.2,1.5,0.0,0.0,0.5,2.3,0.6,1.7,1.9,0.0,0.3,0.7
3,Red meat,4.1,7.4,8.6,0.1,0.0,4.6,3.2,0.7,2.5,4.3,0.0,0.4,0.9
4,Fish,3.9,8.9,3.7,0.0,0.0,3.7,4.4,5.1,4.6,9.4,0.8,4.3,0.0
5,Dairy,35.8,45.9,14.3,0.7,0.0,1.9,3.7,22.4,3.0,0.7,2.8,0.5,0.6
6,Cereals,35.8,13.1,38.0,19.2,22.5,22.8,8.4,19.0,22.4,26.1,0.6,11.8,1.3
7,Sweets,5.3,1.3,6.9,17.0,6.5,0.1,2.7,2.6,8.4,6.0,0.1,0.1,0.0
8,Legumes,5.0,5.6,1.2,1.0,12.8,0.4,9.5,6.2,8.7,12.3,0.1,2.3,0.4
9,Vegetable fats,16.0,3.2,21.3,0.2,12.0,53.9,3.8,10.1,17.6,12.3,2.1,57.8,0.0
10,Vegetables,6.6,4.3,1.3,19.7,19.2,5.8,28.2,18.4,13.5,13.4,88.3,13.1,51.0
11,Fruits,10.5,2.5,0.9,40.7,19.9,0.3,15.1,10.8,10.0,6.1,4.0,7.3,32.0
12,Potatoes,5.6,2.5,0.2,1.3,6.2,0.6,18.3,2.7,7.1,6.8,0.0,0.4,13.2
13,Nuts and seeds,0.5,0.1,0.8,0.0,0.9,4.9,0.2,0.7,0.4,0.6,0.2,0.9,0.0
