,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,Cacanska lepotica,Cacanska lepotica,,,,,'President',,,,,
1,,ORG,,,INT,,,ORG,,,INT,,
2,,x,,SE,x,,SE,x,,SE,x,,SE
3,sucrose,30.5,b,0.9,22.6,c,2.9,39.9,a,3.8,39.2,a,1.6
4,glucose,31.5,ab,3.1,33.5,a,3.1,31.1,ab,3.5,29.5,b,2.5
5,fructose,19.2,ab,1.8,20.4,a,3.4,16.6,b,2.6,18.0,ab,1.2
6,sorbitol,29.9,a,3.8,16.7,b,3.5,30.5,a,2.5,31.7,a,1.9
7,SUG,111.1,a,6.3,93.2,b,8.6,118.1,a,7.3,118.4,a,4.4
8,citric acid,1.7,a,0.7,1.0,a,0.4,1.1,a,0.4,0.9,a,0.1
9,malic acid,54.4,a,19.0,46.1,a,14.5,68.1,a,17.6,60.3,a,17.4
10,shikimic acid,0.3,a,0.1,0.2,b,0.1,0.2,ab,0.0,0.2,ab,0.1
11,fumaric acid,0.03,a,0.01,0.01,b,0.01,0.02,b,0.01,0.01,b,0.01
12,ACID,56.3,a,19.8,47.3,a,15.0,69.4,a,19.9,61.4,a,17.6
13,ratio SUG/ACID,2.3,a,1.2,2.2,a,0.9,1.8,a,0.5,2.1,a,0.7
