,0,1,2,3,4,5,6,7,8,9
0,Vegetable,Tocopherols (mg/100 g),Tocopherols (mg/100 g),,Carotenoids (g/100 g,Carotenoids (g/100 g,,,,
1,,Alpha,Gamma,Delta,-carotene,-carotene,-cryptoxanthin,Lutein,Zeaxanthin,Lycopene
2,Bamboo shoot,,,,,,,,,
3,This studyb,0.26,0.42,nde,nd,1.9,nd,35.6,1.9,nd
4,,0.15-0.33,0.26-0.53,,,1.7-3.0,,18.8-58.9,1.1-2.7,
5,USDA (NDB 11026d,,_e,,0,12,0,of,,0
6,Koreang,0.60,,,,3.0,,,,
7,Bracken,,,,,,,,,
8,This study,0.12,0.84,0.02,nd,nd,nd,40.9,nd,nd
9,,0.07-0.14,0.79-0.89,0.02-0.03,,,,33.3-44.8,,
10,USDAh,,,,,,,,,
11,Korean,2.74,,,,41.0,,,,nd
12,Eggplant,,,,,,,,nd,0
13,This study,0.19,0.60,0.10,nd,34.9,nd,121.8,nd,nd
14,,0.11-0.34,0.50-0.70,0.08-0.11,,32.6-38.9,,107.0-132.5,,
15,USDA (NDB 11783),0.41,,,0,22,0,of,,0
16,Korean,0.20,,,,15.0,,,,
17,Pepper leaf,,,,,,,,,
18,This study,1.89,nd,nd,nd,3167.9,nd,8686.3,nd,nd
19,,1.23-2.07,,,,2902.5-3513.5,,8535.6-8987.9,,
20,USDAh,,,,,,,,,
21,Korean,4.0,,,,990.0,,,,
22,Soybean sprout,,,,,,,,,
23,This study,0.17,1.77,0.20,0.7,8.8,nd,89.8,1.8,nd
24,,0.11-0.24,1.62-1.96,0.15-0.29,0-16,7.5-9.9,,57.6-140.4,1.4-2.0,
25,USDA(NDB 11923,0.21,,,12,12,12,of,,0
26,Korean,0.80,,,,0,,,,
27,Spinach,,,,,,,,,
28,This study,3.41,3.46,nd,nd,1377.5,nd,3270.4,nd,nd
29,,1.87-5.90,2.78-4.18,,,954.8-1933.4,,2943.3-3828.8,,
30,USDA (NDB 11854,2.08,,,0,6288,0,11308f,,0
31,Korean,3.1,,,,2920.0,,,,
