,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,Fat,CH,Protein,PCDD/Fs,Total,PCBs,As,Ba,Ca,Cr,Cu,K,Mg,P,Pb,Sn,Sr,Zn
1,,,,,,(WHO-,PCBs,(WHO-,,,,,,,,,,,,
2,,,,,,TEQ),,TEQ),,,,,,,,,,,,
3,Fat,PCC,1.00,0.96,0.43,0.15,-0.14,0.30,0.35,0.36,0.50,0.18,0.38,0.38,0.45,0.37,0.35,0.19,0.43,0.19
4,,P-value,,<0.01,0.08,0.54,0.57,0.23,0.16,0.14,0.04,0.46,0.12,0.12,0.06,0.13,0.15,0.45,0.08,0.45
5,CH,PCC,,1.00,0.49,0.14,0.03,0.25,0.46,-0.24,-0.510,-0.18,0.45,0.40,-0.44,0.37,0.43,0.12,0.56,0.13
6,,p-value,,,0.04,0.58,0.91,0.33,0.06,0.34,0.03,0.48,0.06,0.10,0.07,0.13,0.08,0.63,0.02,0.62
7,Protein,PCC,,,1.00,0.03,0.04,-0.01,0.37,0.04,0.59,0.18,-0.01,0.54,0.45,0.57,0.01,0.22,0.48,0.47
8,,P-value,,,,0.90,0.87,0.98,0.13,0.88,0.01,0.48,0.97,0.02,0.06,0.01,0.98,0.38,0.04,0.05
9,PCDD/Fs,PCC,,,,1.00,0.16,0.27,0.19,0.24,0.03,0.30,-0.16,0.09,0.02,-0.05,-0.17,0.32,0.06,0.03
10,(WHO-TEQ),P-value,,,,,0.51,0.28,0.46,0.34,0.92,0.22,0.51,0.71,0.93,0.85,0.51,0.19,0.81,0.90
11,Total PCBs,PCC,,,,,1.00,0.67,0.07,0.81,0.36,-0.28,0.48,0.25,-0.41,-0.40,0.50,0.05,0.25,-0.24
12,,P-value,,,,,,<0.01,0.79,<0.01,0.14,0.26,0.04,0.32,0.09,0.10,0.04,0.86,0.33,0.34
13,PCBs,,,,,,,,,,,,,,,,,,,
14,(WHO-TEQ),PCC,,,,,,1.00,0.19,0.59,0.25,0.57,0.25,0.08,0.32,-0.48,0.30,0.20,0.36,0.40
15,,p-value,,,,,,,0.46,0.01,0.25,0.01,0.32,0.74,0.20,0.04,0.23,0.43,0.14,0.10
16,As,PCC,,,,,,,1.00,-0.16,-0.57,-0.56,0.21,0.51,0.46,0.58,-0.23,0.46,0.68,-0.37
17,,p-value,,,,,,,,0.52,0.01,0.01,0.39,0.03,0.05,0.01,0.37,0.05,<0.01,0.13
18,Ba,PCC,,,,,,,,1.00,0.46,0.42,0.46,0.26,0.48,0.44,0.47,0.07,0.21,0.33
19,,P-value,,,,,,,,,0.05,0.08,0.05,0.29,0.04,0.07,0.05,0.79,0.40,0.17
20,Ca,PCC,,,,,,,,,1.00,0.49,0.12,0.95,0.95,0.76,0.13,0.35,0.58,0.55
21,,P-value,,,,,,,,,,0.04,0.63,<0.01,<0.01,<0.01,0.60,0.16,0.01,0.02
22,Cr,PCC,,,,,,,,,,1.00,0.35,0.27,0.42,0.65,0.37,0.09,0.44,0.63
23,,P-value,,,,,,,,,,,0.16,0.27,0.09,<0.01,0.13,0.71,0.07,0.01
24,Cu,PCC,,,,,,,,,,,1.00,0.07,0.12,0.35,0.99,0.44,0.00,0.44
25,,P-value,,,,,,,,,,,,0.78,0.64,0.15,<0.01,0.07,0.99,0.07
26,K,PCC,,,,,,,,,,,,1.00,0.93,0.62,0.07,0.38,0.46,0.44
27,,P-value,,,,,,,,,,,,,<0.01,0.01,0.78,0.11,0.05,0.07
28,Mg,PCC,,,,,,,,,,,,,1.00,0.70,0.13,0.25,0.41,0.42
29,,P-value,,,,,,,,,,,,,,<0.01,0.61,0.31,0.09,0.08
30,P,PCC,,,,,,,,,,,,,,1.00,0.40,0.36,-0.66,0.66
31,,P-value,,,,,,,,,,,,,,,0.10,0.14,<0.01,<0.01
32,Pb,PCC,,,,,,,,,,,,,,,1.00,0.44,0.03,0.46
33,,P-value,,,,,,,,,,,,,,,,0.07,0.91,0.05
34,Sn,PCC,,,,,,,,,,,,,,,,1.00,0.38,0.20
35,,p-value,,,,,,,,,,,,,,,,,0.12,0.42
36,Sr,PCC,,,,,,,,,,,,,,,,,1.00,0.41
37,,P-value,,,,,,,,,,,,,,,,,,0.09
