,0,1,2,3,4,5,6,7,8,9,10,11
0,Season fishing ground,Spring,,,Summer,,,Autumn,,,ANOVA(P-value),ANOVA(P-value)
1,,B,I,E,B,I,E,B,I,E,Habitat,Season
2,PUFA,,,,,,,,,,,
3,Saithe,42.6,46.8,37.0,39.2,45.5,n.a.,43.4,40.3,43.3,,
4,Haddock,49.3,62.5,n.a.,38.9,49.0,n.a.,44.5,42.7,n.a.,,
5,Tusk,n.a.,40.0,n.a.,n.a.,39.7,n.a.,n.a.,34.3,n.a.,,
6,Ling,n.a.,38.0,n.a.,n.a.,49.8,n.a.,n.a.,38.6,n.a.,,
7,Cod,41.3,34.9,36.5,41.2,47.2,35.4,41.7,41.4,38.3,n.s.,0.021
8,Habitat effect (cod,,0.08,,,0.04,,,n.s.,,,
9,MUFA,,,,,,,,,,,
10,Saithe,35.4,29.2,32.7,36.2,26.3,n.a.,31.0,27.2,27.7,,
11,Haddock,28.4,20.6,n.a.,28.9,20.8,n.a.,29.6,34.0,n.a.,,
12,Tusk,n.a.,40.0,n.a.,n.a.,31.0,n.a.,n.a.,36.0,n.a.,,
13,Ling,n.a.,40.3,n.a.,n.a.,19.0,n.a.,n.a.,28.3,n.a.,,
14,Cod,38.1,41.3,33.2,35.1,22.3,42.6,31.4,32.8,29.5,n.s.,0.019
15,Habitat effect (cod,,0.000,,,0.000,,,n.s.,,,
16,SFA,,,,,,,,,,,
17,Saithe,22.0,24.1,30.3,24.6,28.2,n.a.,25.6,32.6,29.0,,
18,Haddock,22.3,16.9,n.a.,32.3,30.2,n.a.,25.9,23.3,n.a.,,
19,Tusk,n.a.,20.0,n.a.,n.a.,29.3,n.a.,n.a.,29.7,n.a.,,
20,Ling,n.a.,21.7,n.a.,n.a.,31.3,n.a.,n.a.,33.1,n.a.,,
21,Cod,20.6,23.8,30.3,23.7,30.5,22.0,26.9,25.8,32.1,0.023,n.s.
22,Habitat effect (cod),,0.000,,,0.001,,,n.s.,,,
23,EPA,,,,,,,,,,,
24,Saithe,5.0,9.9,6.2,9.8,10.2,n.a.,9.1,6.8,7.8,,
25,Haddock,9.8,11.8,n.a.,8.0,15.7,n.a.,7.7,15.0,n.a.,,
26,Tusk,n.a.,8.5,n.a.,n.a.,7.1,n.a.,n.a.,5.6,n.a.,,
27,Ling,n.a.,8.4,n.a.,n.a.,9.3,n.a.,n.a.,7.8,n.a.,,
28,Cod,8.2,9.8,7.4,7.7,13.3,7.8,7.9,10.4,8.1,0.000,n.s.
29,Habitat effect (cod,,0.002,,,0.000,,,0.000,,,
30,DHA,,,,,,,,,,,
31,Saithe,5.9,16.9,17.4,11.7,21.9,n.a.,15.1,14.0,14.6,,
32,Haddock,17.7,18.4,n.a.,12.2,20.2,n.a.,15.8,10.3,n.a.,,
33,Tusk,n.a.,12.8,n.a.,n.a.,18.9,n.a.,n.a.,7.2,n.a.,,
34,Ling,n.a.,16.8,n.a.,n.a.,28.1,n.a.,n.a.,8.7,n.a.,,
35,Cod,11.4,11.3,17.5,12.6,22.0,8.5,13.6,10.2,12.9,0.005,n.s.
36,Habitat effect (cod),,0.000,,,0.000,,,0.015,,,
