,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,Varieties,CP,Lysine,LEU,ISO,THR,VAL,MET,HIS,ARG,Total,Chapati,,
1,,,,,,,,,,,,essential,,,
2,,,,,,,,,,,,amino,,,
3,,,,,,,,,,,,acid,,,
4,,,,,,,,,,,,,CP,Lysine,Lysine
5,1.,C518,12.38 bcdef,0.375 abc,0.927 a,0.473,0.372 cdefghijk,0.587,0.139,0.259,0.643 a,3.792,12.46 cdefg,0.262,20.03
6,2.,C591,11.20 lmn,0.332 bcdefgh,0.699 abcdeghi,0.348,0.372 cdefghijk,0.425,0.089,0.196,0.434 abcdefgh,2.898,12.08 efghijkl,0.275,15.89
7,,C 228,11.81 fghijk,0.349 abcde,0.791 abcdef,0.389,0.392 cdefgi,0.475,0.072,0.243,0.480 abcdef,3.194,11.51 lmn,0.296,13.35
8,4.,C217,10.71 nop,0.303efghij,0.773 abcdefg,0.399,0.343 defghijkl,0.446,0.109,0.232,0.480 abcdef,3.119,11.19 mno,0.267,19.65
9,5.,C 250,11.75 ghijkl,0.303efghij,0.588 bcdefghi,0.301,0.328 fghijkl,0.390,0.110,0.175,0.342 abcdefgh,2.539,11.10 no,0.262,18.62
10,6.,C271,10.68 nop,0.279 ijk,0.519 cdefghi,0.303,0.343 defghijkl,0.333,0.094,0.163,0.224 efgh,2.262,11.02 nop,0.240,9.18
11,7.,C 273,11.30 klm,0.297 fghijk,0.490 defghi,0.237,0.379 cdefghij,0.312,0.073,0.138,0.160 gh,2.090,11.02 nop,0.268,9.18
12,8.,Dirk,10.25 pq,0.306 defghij,0.597 bcdefghi,0.326,0.327 fghijkl,0.388,0.124,0.199,0.460 abcdefg,2.731,11.30 mno,0.250,14.69
13,9.,Mexi Pak,10.25 pq,0.288 hijk,0.518 cdefghi,0.264,0.305 jkl,0.337,0.076,0.151,0.353 abcdefgh,2.297,11.30 mno,0.248,16.75
14,10.,Barani 70,11.53 ijkl,0.260 jk,0.542 cdeghi,0.285,0.2771,0.347,0.091,0.161,0.329 bcdefgh,2.294,12.54 cdef,0.196,19.10
15,11.,Chenab 70,10.41 opq,0.289 hijk,0.460 ghi,0.298,0.299 kl,0.325,0.082,0.142,0.191 fgh,2.089,9.75 rs,0.246,10.52
16,12.,SA 42,09.63 r,0.297 fghijk,0.506 defghi,0.246,0.385 cdefghi,0.288,0.081,0.118,0.149 h,2.090,9.68 s,0.247,17.85
17,13.,Blue Silver,10.12 qr,0.306 defghij,0.676 abcdefghi,0.325,0.385 cdefghi,0.360,0.112,0.176,0.279 bcdefgh,2.621,9.97 rs,0.258,13.65
18,14.,Pari 73,11.98 defghij,0.306 defghij,0.661 abcdefghi,0.365,0.316 hijkl,0.380,0.114,0.177,0.395 abcdefgh,2.718,11.82 hijkl,0.231,15.84
19,15.,Lyallpur 73,11.87 efghijk,0.294 ghijk,0.449i,0.224,0.333 fghijkl,0.307,0.078,0.169,0.195 fgh,2.054,12.08 efghijkl,0.241,9.31
20,16.,Sandal 73,12.46 bcde,0.255 k,0.749 abcdefghi,0.354,0.308 ijkl,0.392,0.101,0.142,0.226 efgh,2.531,10.59 Pq,0.182,11.25
21,17.,Pothohar,11.97 defghij,0.304 efghij,0.515 defghi,0.289,0.352 cdefghijkl,0.312,0.084,0.125,0.232 efgh,2.216,11.68 jkim,0.220,19.38
22,18.,Yecora,12.01 defghij,0.324 defghi,0.723 abcdefghi,0.401,0.401 cdefg,0.407,0.121,0.198,0.460 abcdefg,2.965,12.21 efghij,0.280,8.62
