,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,Regions,,Element and no. of samples above standard,,,,,,,,,,,,,,,,Total
1,,Al,,As,B,Ba,Br,CI,F,Fe,Mn,N,Na,NH4,NO3,NO2,Pb,S04,
2,North,,,,,,,,,,,,,,,,,,
3,E,1,,0,0,0,0,6,0,1,0,2,1,2,2,,1,2,18
4,LO,1,,0,1,0,2,5,1,1,0,3,1,1,2,0,0,7,25
5,TAA,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3
6,VE,1,,0,0,0,0,0,0,0,0,1,2,0,0,,0,1,6
7,VA,0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,3
8,PI,2,,0,0,0,0,3,0,1,6,3,2,0,1,0,0,3,21
9,FVG,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
10,LI,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
11,Total,5,,0,,0,2,15,2,4,6,11,6,3,5,1,1,16,78
12,Center,,,,,,,,,,,,,,,,,,
13,MO,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,A,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,T,2,,0,0,1,5,25,1,1,7,3,6,4,,2,0,8,70
16,U,0,,0,0,0,0,5,,0,2,1,0,0,4,0,0,0,7
17,M,1,,0,,0,1,5,,0,0,3,0,1,4,0,1,1,17
18,L,0,,1,0,0,3,10,3,1,,1,1,1,7,0,0,1,34
19,Total,3,,1,0,1,9,41,4,2,14,8,7,6,19,2,1,10,128
20,South and Islands,South and Islands,,,,,,,,,,,,,,,,,
21,CA,0,,0,0,0,0,5,3,1,2,0,0,0,0,0,0,1,12
22,B,1,,0,0,0,2,2,0,0,0,0,1,0,,0,0,0,15
23,P,0,,0,0,0,2,17,0,0,0,0,3,0,23,0,0,0,6
24,SAR,0,,0,0,0,4,17,2,1,0,0,3,0,23,0,0,1,31
25,S,0,,0,0,0,0,9,1,0,0,0,1,0,4,1,0,2,18
26,Total,1,,0,0,0,9,42,6,2,2,0,5,0,14,1,0,4,86
27,Total,9,,1,1,1,20,98,12,8,22,19,18,9,38,4,2,30,292
