,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,Farma,,Li,,B,Al,Cr,Mn,Co,Ni,Cu,Zn,As,,,Sr,Mo,Cd,,TI,,Fe,Mg,Ca,Na,,P,K
1,n=5,,g/kg,g/kg,,,,,,,,,,,,Sr,,,,,,mg/100g,mg/100g,,,,,
2,PDO1,mean,10,,13200,2250,209,1700,48,310,3260,4910,25,,,579,100,5.7,,<LOQ,<LOQ,0.66,35,36,34,,59,841
3,,max,12,,21900,2700,329,2320,74,500,4820,6360,38,,,736,138,9.8,,4.4,4.4,0.81,44,39,45,,71,915
4,,min,5.8,,9790,1630,120,1470,13,225,1780,3300,15,,,353,45,<LOQ,<LOQ,<LOQ,<LOQ,0.57,27,33,28,,45,754
5,PDO 2,mean,18,,9370,2000,227,2490,85,466,4750,14200,15,,,679,70,9.8,,<LOQ,<LOQ,0.80,58,54,17,,70,810
6,,max,20,,10700,2150,356,3220,117,649,5510,17100,20,,,918,108,11,,3.5,3.5,0.96,58,40,22,,82,886
7,,min,16,,8250,1740,126,2070,55,336,3660,11000,10,,,547,58,8.1,,,LOQ,0.71,46,40,14,,57,727
8,PDO 3,mean,44,,12200,1500,227,1750,108,850,5250,6900,12,,,535,57,18,,7.7,7.7,0.76,29,34,15,,65,681
9,,max,110,,15200,1860,347,1960,136,1360,6750,8360,16,,,762,61,23,,11,,0.82,36,46,21,,71,761
10,,min,10,,9860,1100,147,1650,82,406,3910,4970,8.2,,,382,45,11,,<LOQ,<LOQ,0.59,25,30,8.8,,55,596
11,PDO 4,mean,28,,9690,2400,217,3170,30,311,4540,4850,5.9,,,1130,80,8.9,,27,,0.71,37,49,14,,56,939
12,,max,38,,10900,3270,333,3950,34,270,6130,5770,,V,LOQ,1650,89,7.2,,48,,0.85,45,61,9.4,,66,1100
13,,min,19,,7570,1550,141,2330,22,270,3700,3950,<,,LOQ,611,69,7.2,,13,,0.62,32,42,9.4,,47,860
14,PDO5,mean,11,,15100,1290,240,2100,65,326,4970,6110,<,,LOQ,583,70,7.8,,3.5,3.5,0.54,24,38,16,,63,730
15,,max,16,,18800,1670,463,2750,96,445,7040,8070,<,,LOQ,768,103,5.0,,6.3,6.3,0.65,26,48,27,,79,799
16,,min,9.5,,12200,884,134,1320,34,265,3830,5070,,,LOQ,320,39,5.0,,,LOQ,0.47,22,23,9.1,,49,597
17,Fundao 1,mean,25,,7900,895,208,1800,35,169,3650,3440,<LOQ,,<LOQ,953,62,4.1,,28,,0.59,31,23,,LOD,47,735
18,,max,36,,9780,1060,322,2270,55,210,4110,3790,11,,,1200,69,5.9,,49,,0.71,38,27,,LOD,50,798
19,,min,18,,6140,<LOQ,137,1370,23,134,3231,2610,,,LOQ,699,56,<,LOQ,18,,0.45,27,22,,LOD,45,697
20,Fundao 2,mean,12,,13600,1020,216,1580,25,199,3770,4360,,,LOQ,1650,95,15,,33,,0.58,43,47,,LOD,61,744
21,,max,18,,16200,1560,347,1930,30,260,4290,5530,,,LOQ,2320,126,20,,37,,0.70,50,71,<,LOD,68,786
22,,min,6.5,,11600,<LOQ,140,1340,18,144,2980,3310,,,LOQ,1300,79,13,,28,,0.50,38,31,<,LOD,53,706
23,Fundao 3,mean,55,,18000,1240,150,7040,123,318,3880,5890,18,,,820,101,10,,17,,0.65,32,29,<LOD,<LOD,53,852
24,,max,88,,25500,1640,176,11300,266,414,4330,6700,30,,,1120,170,13,,25,,0.86,39,35,<,LOD,63,988
25,,min,24,,10400,925,136,5190,35,237,3080,4880,10,,,526,60,7.5,,7.3,7.3,0.56,26,24,<,LOD,46,692
26,Fundao 4,mean,4.9,,8250,958,144,2060,43,87,3810,4160,,,LOQ,2330,42,3.4,,9.7,9.7,0.68,36,27,,LOD,58,905
27,,max,7.6,,12300,1240,162,2600,57,108,4850,4520,,,LOQ,2980,55,11,,15,,0.80,46,40,,LOD,61,984
28,,min,<,LOQ,5630,LOQ,127,1600,14,64,3400,3850,,,LOQ,2050,22,<,LOQ,3.8,3.8,0.49,29,21,<,LOD,50,779
29,Fundao 5,mean,34,,20600,979,147,2720,29,200,5680,5280,16,,,743,124,11,,73,,0.54,36,28,,LOD,67,1100
30,,max,59,,29600,1120,177,3550,41,292,7540,6410,34,,,898,156,16,,110,110,0.78,45,31,,LOQ,81,1260
31,,min,22,,14500,<LOQ,137,1930,20,139,4710,3750,,,LOQ,622,95,8.0,,43,,0.42,27,26,,LOD,58,890
