,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,,,,,,1,,,,,,,,5,,,,
1,Carrots,5,5.86de,0.,5.,6.,2.43ab,1.,0.24,4.17,0.88a,0.6,0.3,1.,1.2,1.,0.0,4.0
2,,,,40,38,3,cd,51,,,,6,0,:,gab,67,7,2
3,,,,,,5,,,,,,,,1,,,,
4,Coconut,5,6.63d,2.,3.,9.,3.17ab,0.,3.09,3.21,1.19a,0.8,0.0,2.,2.4,1.,0.3,4.8
5,,,,31,98,8,cd,07,,,b,9,5,1,ob,71,1,2
6,,,,,,7,,,,,,,,6,,,,
7,Cucumb,5,3.89ab,1.,2.,5.,2.10ab,0.,2.02,2.23,1.24a,0.4,0.9,1.,0.0,0.,<0,0.2
8,er,,cd,18,58,3,,11,,,,1,5,:,ga,09,.01,2
9,,,,,,7,,,,,,,,5,,,,
10,Dates,5,2.90ab,0.,2.,2.,2.70ab,1.,1.15,4.60,0.57a,0.2,0.3,0.,0.0,0.,<0,0.2
11,,,,07,84,9,cd,51,,,,5,5,8,8a,10,.01,3
12,,,,,,8,,,,,,,,6,,,,
13,Garden,5,3.15ab,0.,2.,4.,4.00bc,2.,1.39,6.49,1.28a,0.7,0.6,2.,0.1,0.,0.0,0.3
14,egg,,,74,27,0,,17,,,b,7,0,3,5a,13,5,
15,,,,,,4,,,,,,,,5,,,,
16,Golden,4,4.97cd,0.,4.,5.,2.29ab,1.,0.42,3.68,1.11a,0.6,0.5,2.,0.2,0.,0.0,0.8
17,melon,,,69,05,6,,41,,,b,7,8,0,7a,36,6,0
18,,,,,,3,,,,,,,,9,,,,
19,Orange,5,1.96a,0.,1.,2.,2.00ab,0.,1.39,2.87,0.88a,0.5,0.3,1.,0.3,0.,<0,0.7
20,,,,32,53,2,,62,,,,7,8,,oa,30,.01,7
21,,,,,,3,,,,,,,,2,,,,
22,Pineappl,5,3.59ab,0.,2,4.,2.96ab,0.,1.78,3.91,1.26a,0.8,0.5,2.,0.7,0.,0.3,1.6
23,,,,67,58,2,cd,90,,,,1,2,4,3ab,60,5,2
24,,,,,,,,,,,,,,9,,,,
25,Tigernut,3,5.70de,2.,3.,8.,2.02ab,1.,0.80,3.20,1.28a,0.6,0.7,1.,1.4,0.,0.7,1.9
26,,,,34,65,2,,20,,,,1,8,9,5ab,60,9,7
27,Walnut,4,4.57bc,1.,2.,6.,4.44d,1.,3.49,6.24,1.58b,0.2,1.3,1.,2.1,1.,0.2,3.3
28,,,,68,70,6,,27,,,,8,1,9,4b,48,2,2
29,,,,,,6,,,,,,,,6,,,,
30,Waterme,5,4.1gbc,1.,2.,5.,3.45ab,1.,1.75,5.11,0.71a,0.2,0.4,1.,0.9,0.,0.3,1.5
31,lon,,,35,63,9,cd,31,,,,7,5,1,7ab,47,6,8
32,,,,,,1,,,,,,,,2,,,,
33,FAO/W,,425,,,,40,,,,500*,,,,1.5,,,
34,HO,,,,,,,,,,,,,,,,,
35,(2001),,,,,,,,,,,,,,,,,
