,0,1,2,3,4,5
0,Animal species,Bal,Ans,Car,Total IDP,His
1,Venison (Round,69.9 ,246  9b,307 ,623 ,4.5
2,,3.8b,,28b,27b,0.8c
3,Beef (Round),6.1 ,71.7 ,236 7c,3144c,5.1
4,,0.3c,11.3c,,,1.0c
5,Pork (Ham),26.2 ,25.3,503,555,9.3
6,,3.7c,0.6c,51a,54b,5.2c
7,Chicken (Thigh),ND,235,111,347,5.4
8,,,24b,31de,51c,1.7c
9,Minke whale,1966,6.3,183,2155,12.7 
10,(Red meat),181a,9.0c,119cd,56a,0.4c
11,Yellowfin tuna,ND,515,58.6 ,574,1003
12,,,165a,28.7e,148b,100b
13,Yellowtail,ND,80.7,ND,80.7,1089
14,,,11.0c,,11.od,45a
15,Salmon,ND,561,5.5,566,4.8
16,,,14a,1.2f,15b,2.6c
17,Cod,ND,58.0,ND,58.0,46.1 
18,,,10.9c,,10.9d,13.5c
