,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,,Fresh piece,Ripening (months),Ripening (months),Ripening (months),,,,,,,,,,,,,,,,,,,
1,,,1,,,,3,,,,6,,,,9,,,,,,,,,
2,Salting (days),,2,,4,,,,4,,2,,4,,21,,4,,,,,,,
3,Temperature(C,,8,12,8,12,8,12,8,12,8,12,8,12,8,12,8,12,,,,,,
4,Fatty acids,,,,,,,,,,,,,,,,,,SEM,R,T,S,RxT,RxS
5,C10:0,0.03,0.02,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.03,0.001,***,n.s.,n.s.,n.s.,***
6,C12:0,0.03,0.03,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.05,0.05,0.04,0.04,0.001,***,n.s.,*,n.s.,**
7,C14:0,0.84,0.83,0.94,0.89,0.80,0.90,0.90,0.89,0.98,0.97,1.06,0.97,1.03,1.11,1.05,1.02,1.02,0.012,***,n.s.,n.s.,*,n.s.
8,C14:1,0.04,0.04,0.04,0.04,0.04,0.06,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.05,0.06,0.06,0.001,***,n.s.,n.s.,***,***
9,C15:0,0.04,0.04,0.03,0.04,0.04,0.03,0.04,0.03,0.04,0.05,0.05,0.06,0.09,0.07,0.16,0.16,0.16,0.006,***,***,***,***,***
10,C15:1,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.03,0.02,0.04,0.04,0.06,0.06,0.09,0.11,0.15,0.005,***,***,***,***,***
11,C16:0,23.9,24.2,23.6,23.8,23.0,24.0,24.9,24.0,24.8,23.7,25.6,24.8,26.3,27.3,27.2,27.2,27.3,0.198,***,n.s.,n.s.,***,***.
12,C16:1n-7,1.21,1.40,1.35,1.31,1.19,1.30,1.50,1.55,1.51,1.52,1.40,1.48,1.37,1.63,1.61,1.26,1.09,0.021,***,**,***,**,***.
13,C17:0,0.28,0.33,0.22,0.29,0.28,0.27,0.32,0.24,0.32,0.35,0.30,0.28,0.31,0.25,0.41,0.31,0.31,0.007,n.s.,n.s.,n.s.,***,n.s.
14,C17:1,0.22,0.29,0.22,0.27,0.27,0.24,0.30,0.24,0.29,0.33,0.24,0.27,0.25,0.21,0.33,0.26,0.25,0.005,n.s.,n.s.,n.s.,***,n.s.
15,C18:0,13.3,12.8,11.3,12.6,12.4,12.6,12.1,11.3,12.1,12.5,13.9,12.3,14.4,13.6,13.4,15.3,15.2,0.167,***,n.s.,n.s.,**,**
16,C18:1n-9,48.4,49.0,51.1,49.9,51.5,50.0,51.3,51.4,50.6,49.2,48.6,51.7,49.0,47.9,49.3,48.6,48.9,0.187,***,n.s.,**,**,n.s.
17,C18:2n-6,9.34,8.83,8.71,8.42,8.29,8.29,6.40,8.18,7.04,8.04,5.73,5.63,4.82,5.14,3.59,3.37,3.33,0.258,***,***,***,***,***
18,C18:3n-6,0.05,0.06,0.05,0.05,0.06,0.05,0.05,0.04,0.05,0.05,0.05,0.04,0.04,0.03,0.04,0.03,0.03,0.001,***,n.s.,n.s.,n.s.,**
19,C18:3n-3,0.47,0.45,0.45,0.44,0.41,0.42,0.29,0.40,0.35,0.40,0.33,0.27,0.26,0.23,0.15,0.14,0.14,0.014,***,***,***,**,**
20,C20:0,0.16,0.13,0.13,0.15,0.15,0.16,0.15,0.14,0.15,0.17,0.19,0.17,0.18,0.17,0.14,0.19,0.18,0.003,***,n.s.,n.s.,*,***
21,C201n-9,0.77,0.70,0.90,0.77,0.82,0.81,0.89,0.76,0.90,0.83,1.04,1.12,1.08,0.80,0.78,0.87,0.88,0.015,***,***,***,*,***
22,C20:2n-6,0.37,0.34,0.39,0.35,0.37,0.34,0.28,0.33,0.29,0.37,0.30,0.28,0.22,0.25,0.23,0.18,0.17,0.009,***,***,***,**,***
23,C20:3n-6,0.04,0.04,0.04,0.04,0.05,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.002,***,n.s.,***,**,***
24,C20:4n-6,0.09,0.09,0.10,0.08,0.08,0.08,0.06,0.09,0.06,0.08,0.05,0.05,0.03,0.03,0.03,0.02,0.02,0.003,***,***,***,**,***
25,C20:3n-3,0.09,0.08,0.10,0.09,0.09,0.08,0.07,0.08,0.07,0.10,0.07,0.07,0.07,0.07,0.06,0.04,0.05,0.002,***,*,***,***,***
26,C20:5n-3,0.01,0.01,0.01,0.03,0.02,0.01,0.01,0.03,0.04,0.03,0.04,0.02,0.03,0.07,0.07,0.02,0.02,0.003,***,**,***,n.s.,***
27,C22:2n-6,0.29,0.15,0.23,0.35,0.13,0.16,0.22,0.08,0.19,1.00,0.98,0.17,0.24,1.85,1.54,0.67,0.65,0.062,***,n.s.,***,n.s.,***
