,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,Element,Region,,,,,,Variety,Variety,,,,,,,Season,Season,,,
1,,Qingdao,,Hefei,Hefei,Hangzhou,Hangzhou,Anjibai,Anjibai,Wuniuzao,Wuniuzao,Wuniuzao,Longjing 43,Longjing 43,Longjing 43,Spring,Spring,Summer,,Autumn
2,Na,468129b,468129b,317140a,317140a,339155a,339155a,396156,396156,358146,358146,358146,371  166,371  166,371  166,25287a,25287a,321115b,321115b,55152c
3,Mg,2.28,0.39b,2.86,0.63 c,1.93,0.35a,2.56  0.54 b,484b,2.42 ,2.42 ,0.60 b,2.10,2.10,0.59 a,2.23,0.65a,2.15 ,0.32 a,21767 a
4,Al,262,94 a,488,438 b,395,319ab,607,484b,2447,2447,75a,294,+,97a,441,314 b,486,428 b,21767 a
5,V,61b,61b,542,72b,490,50 a,554,72 b,525,,64 ab,500,+,52a,487,65a,518 51 b,518 51 b,57351c
6,Ni,10.6,3.2b,13.3,3.0c,4.59,1.27 a,8.31 3.30,8.31 3.30,9.75,,5.24,10.4, 4.6, 4.6,9.01,4.05,8.633.67,8.633.67,10.85.4
7,Cu,+,2.88 a,11.4,1.8 b,11.4,2.9 b,8.70  3.26 a,8.70  3.26 a,10.4,,2.1 b,12.3,1.8c,1.8c,10.7, 2.4, 3.2, 3.2,10.6  3.0
8,As,+,97 b,218,89a,209,90 a,237, 85,228,228,98,235,+,105,151,18 a,213,93 b,336 24 c
9,Se,95,95,582,61,581  68,581  68,559,78,583,,90,567,61,61,621,54b,50b,50b,492  56 a
10,Rb,3.06  1.68 a,3.06  1.68 a,18.7,4.1b,25.7,11.6 c,14.2  11.2,14.2  11.2,13.1,9.3,9.3,20.2  13.8,20.2  13.8,20.2  13.8,12.4,7.0a,14.8  11.6 ab,14.8  11.6 ab,20.2 14.7 b
11,Sr,14.3  5.3 b,14.3  5.3 b,21.4,7.9c,4.38,2.71 a,16.3  11.3,16.3  11.3,10.5  6.6,10.5  6.6,10.5  6.6,13.2  7.7,13.2  7.7,13.2  7.7,14.0, 9.2,12.6  8.3,12.6  8.3,13.4  9.8
12,Cd,63.4 ,17.6 c,28.1,8.5a,40.3,25.9 b,49.0  21.3,49.0  21.3,40.3,,23.2,42.4,#,26.3,45.6,27.0,41.3  19.0,41.3  19.0,44.8  25.1
13,Sn,849,382b,555,321 a,568  333 a,568  333 a,658, 362,652,,378,662  378,662  378,662  378,344,38 a,575 363 b,575 363 b,1053115c
14,Cs,18.1,5.8a,62.0,21.8 b,93.3,44.4c,56.1,33.0ab,42.2,,32.0 a,75.2,#,52.5 b,40.4,20.0 a,55.341.4 a,55.341.4 a,50.9 b
15,Ba,15.8,5.6 a,37.9,19.5b,14.7,13.0 a,32.1,24.3b,18.6,,10.2 a,17.7,17.7,10.3 a,23.3,16.4, 22.1, 22.1,19.4  12.5
16,Pb,191,42 a,389,174c,307128b,307128b,376 211 b,376 211 b,246,+,68 a,265,,99 a,341,114b,337 204 b,337 204 b,209  53 a
17,U,3.08  0.74 a,3.08  0.74 a,4.46  1.82 b,4.46  1.82 b,3.48  0.92 a,3.48  0.92 a,4.50  1.79 c,4.50  1.79 c,2.86  0.70 a,2.86  0.70 a,2.86  0.70 a,3.67,#,0.82 b,3.75  1.40,3.75  1.40,3.81  1.67,3.81  1.67,3.47  0.97
