,0,1,2,3,4,5,6,7
0,,,TLPE Result (mg L-1),,,Recovery (%),,
1,Sample,Added (mg L-1),Cu,Mg,Zn,Cu,Mg,Zn
2,Bottled water,-,0.72  0.0044,6.92  0.24,0.0502  0.0011,,-,-
3,,0.5,1.22  0.07,7.41  0.10,0.529  0.013,99.6  0.9,98.0  1.2,95.8  1.3
4,,1.0,1.68  0.07,7.93  0.10,1.05 0.016,96.0  1.9,100.8  0.6,100.1  0.2
5,Mineral water,-,1.20  0.06,44.3  0.53,0.0723  0.0020,-,,-
6,,0.5,1.70  0.08,44.8  1.2,0.575  0.0075,101.2  0.1,96.0  1.8,100.6  0.5
7,,1.0,2.16  0.09,45.3  1.1,1.07  0.013,96.5  1.5,97.0  1.1,99.9  0.3
8,River water,,3.72  0.11,15.00.4,0.0994  0.0025,,,
9,,1.0,4.21  0.24,15.5  0.58,0.599  0.0060,99.2  0.9,100.1  0.5,99.9  0.5
10,,1.0,4.70  0.27,16.1  0.69,1.10  0.018,98.1  0.5,98.0  1.6,99.7  0.6
