,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,,,Calibration,Calibration,,,Cross - Validation,Cross - Validation,,External validation,External validation,,,
1,Trait,Treatment,FPLS,,R2c,,,R2cv,RMSECV,,,R2p,,RPDp,
2,,,,n,R2c,RMSEC,RPDc,R2cv,RMSECV,RPDcV,n,R2p,RMSEP,RPDp,RER
3,L*,MSC + I deriv.,3,222,0.77,1.89,1.6,0.65,2.00,1.5,55,0.68,1.36,1.5,5.3
4,a*,MSC + I deriv.,3,230,0.79,1.27,1.6,0.66,1.55,1.3,57,0.70,1.65,1.5,4.5
5,b*,MSC + I deriv.,3,214,0.80,0.73,1.7,0.69,0.93,1.3,53,0.73,0.82,1.5,5.7
6,Myoglobin (mg g-1),MSC+ II deriv.,3,225,0.71,0.15,1.7,0.61,0.31,0.8,56,0.67,0.18,1.2,2.9
7,CFL (%),MSC + II deriv.,4,230,0.78,2.55,1.6,0.67,2.78,1.4,57,0.69,2.14,1.4,6.8
8,Shear Force (kg cm2),MSC + II deriv.,3,198,0.73,0.45,1.6,0.68,0.97,0.8,50,0.67,0.34,1.2,4.0
9,Hardness (N),MSC + II deriv.,4,226,0.88,1.28,2.1,0.66,2.00,1.3,56,0.80,1.00,1.6,5.6
10,Cohesiveness,MSC + II deriv.,3,195,0.68,0.03,1.5,0.53,0.04,0.9,49,0.61,0.03,1.0,3.4
11,Springiness (mm),MSC + II deriv.,4,207,0.68,0.16,1.3,0.58,0.24,0.9,52,0.60,0.17,1.2,5.5
12,Chewiness (N x mm),MSC + II deriv.,4,215,0.79,0.94,1.7,0.65,1.36,1.1,54,0.69,0.97,1.0,3.4
