,0,1,2,3,4,5,6,7,8,9
0,Region,c,N,N,K,Ca,,Mg,S,P
1,Region,%,,,g kg~1,,,,,
2,Basalt,,,,,,,,,
3,AR,45.91.38,,2.490.34,11.8  1.4b,6.52  1.75b,,5.92  1.73b,1.280.16,1.010.15
4,PY,45.8 1.99,,2.2  0.35,15.5  1.8a,8.61  1.29a,,6.85  1.16a,1.38  0.21,1.41 0.38
5,RS-BR,45.9 1.73,,2.47  0.36,15.0  2.2a,7.36  1.82a,,7.091.76a,1.41 0.20,1.15  0.25
6,SC-BR,45.52.56,,2.62 0.59,15.0  2.5a,7.24  2.31a,,6.37  1.89a,1.5.0  0.18,1.39  0.97
7,PR-BR,47.1  1.90,,2.69  0.3,14.8  2.9a,6.32  1.60b,,5.49  1.72b,1.37 0.20,1.09  0.26
8,MS-BR,46.7  2.08,,2.47  0.25,12.6  4.6b,5.93 1.08b,,7.63  2.25a,1.2.0  0.20,0.90  0.10
9,Rhyolite/Rhyodacite,Rhyolite/Rhyodacite,,,,,,,,
10,RS-BR,46.21.59,,2.36 0.44,15.5  2.7a,7.39  1.76a,,6.59 1.69a,1.370.17,1.21  0.46
11,PR-BR,46.5  2.12,,2.45  0.35,12.1  0.1b,6.00  2.69b,,5.75  2.62b,1.200.14,1.00  0.28
12,Sedimentary,,,,,,,,,
13,SC-BR,47.5  2.07,,2.67  0.35,17.4  1.22a,5.70  1.35b,,4.40  1.16b,1.430.15,1.08 0.31
14,PR-BR,47.2  1.70,,2.72  0.46,15.3  1.96a,6.03  1.09b,,5.50 1.51b,1.37 0.26,1.25  0.64
15,MS-BR,46.70.58,,2.23  0.67,12.3  2.80b,6.17  0.45b,,6.601.30,1.27  0.38,1.37  0.47
16,p-value,0.08,,0.2,<0.01,0.01,,0.02,0.06,0.41
17,Region,mg kg~1,Al,,,,Ba,,Cu,Ni
18,Basalt,,,,,,,,,
19,AR,3175 655a,524 88a,524 88a,129 46a,53  28b,68  26a,6315b,10.7  3.6a,4.7 1.3a
20,PY,1878  804b,454 146a,454 146a,18258a,191154a,65  22a,105  27a,8.8  1.0b,5.1  2.8a
21,RS-BR,2616  968a,403 110b,403 110b,182113a,102116,56 23a,5123c,10.4  2.9a,3.9  1.9a
22,SC-BR,1949  964b,502 216a,502 216a,201130,86  75a,64  28a,35 12d,10.3  3.3a,3.5  2.1a
23,PR-BR,25351134a,353 88b,353 88b,100  32b,57  42b,49  21b,35  9d,11.4 2.3a,4.0  1.3a
24,MS-BR,2611936a,483 83a,483 83a,183 46a,173c,5820a,688b,9.0  1.3b,3.7  2.2a
25,Rhyolite/Rhyodacite,Rhyolite/Rhyodacite,,,,,,,,
26,RS-BR,2378 1253a,399 130b,399 130b,14346a,4531b,6122,3713d,9.3  1.6b,2.4  1.5b
27,PR-BR,1514460b,276  77b,276  77b,726c,47  43b,39 25b,29  3e,9.4  2.0b,1.4  0.7b
28,Sedimentary,,,,,,,,,
29,SC-BR,2423  1780a,383117b,383117b,122109b,46  37.0b,35  6.26b,23  4.97e,11.03.5a,3.1  1.1a
30,PR-BR,1880959b,350105b,350105b,82 17c,45.3  43.2b,44 17.5b,28  11.3e,12.0  3.4a,3.9  2.2a
31,MS-BR,1332705b,400  128b,400  128b,145 7a,29.3  19.7,37  13.0b,34  4.9d,8.3  1.5b,1.4  0.3b
32,p-value,0.03,0.01,0.01,<0.01,<0.01,<0.01,<0.01,0.05,<0.01
