,0,1,2,3,4
0,Breakfast cereals,Fibre contenta,Polyphenol content,Polyphenol content,FRAP
1,,g/100g,GAEb(g/g),FAE(g/g),M
2,Asda Ready Oats,7.9,1514.39.4,420.7 18.0,1800.5  46.3
3,Asda Scottish Porridge Oats,9.0,1511.716.8,415.732.4,1839.129.6
4,Asda Simply Porridge,6.0,1558.114.3,504.827.5,1682.330.2
5,Morrison's Organic Oats,13.9,1575.416.9,538.2  32.6,1777.9 47.6
6,Morrison's Instant Hot Oats,7.9,1591.814.6,569.8  28.2,1949.5 72.0
7,Morrison's Ouick & Easv Porridge Oats,8.5,1595.726.1,577.3 50.3,1904.4  47.4
8,Waitrose Organic Jumbo Oats,8.5,1710.926.0,799.050.0,1873.973.3
9,Essential Waitrose Porridge Oats,8.5,1637.324.2,657.3 46.6,1846.030.4
10,M&sScottish Oats Porridge,12.5,1591.825.1,569.8 48.2,1974.9  32.4
11,M&S Quick Oat Porridge,8.2,1524.78.6,440.7  16.6,1734.6 43.0
12,Tesco Value Porridge Oats,8.5,1596.2  18.7,578.235.9,2335.4  47.4
13,Tesco Organic Porridge Oats,8.5,1506.18.1,404.815.6,1808.4  35.5
14,Tesco Scottish Porridge Oats,9.0,1563.722.9,515.7 44.0,2046.3  52.8
15,Tesco Instant Hot Oats,7.9,1599.623.9,584.8  46.1,1922.739.8
16,Tesco Finest Scottish Porridge Oats,8.5,1562.4  24.2,513.2  46.6,2055.0  36.9
17,Sainsbury's Taste The Difference Scottish Jumbo Porridge Oats,9.0,1575.021.4,537.341.1,1997.618.1
18,Sainsbury's SO Organic Porridge Oats,9.0,1600.116.7,585.732.1,2399.967.1
19,Sainsbury's Original Easy Porridge Oats,8.5,1699.228.2,776.554.3,2819.6  46.5
20,Flahavan's,6.1,1613.5  22.5,611.5  43.4,2129.9  36.4
21,Flahavan's Quick Oats,8.0,1628.2  20.8,639.8  40.0,2213.5  41.5
22,Quaker Oats Original,9.0,1674.114.8,728.228.5,1990.6  25.7
23,Quaker Oats Golden Syrup,6.8,1853.335.0,1073.267.3,3542.3  57.2
24,Quaker Oats Sweet Cinnamon,7.4,1647.7  24.5,677.3  47.1,2149.3  36.4
25,Quaker Oats Apple & Blueberry,7.0,1657.0 21.1,695.3  49.6,2230.9  81.1
26,The Oatmeal of Alford,7.5,1813.927.8,997.353.4,2060.369.5
27,White's Only Oats,8.2,1548.1  23.8,485.7  45.8,1853.0 46.9
28,Scott's Porage oats,9.0,1524.725.2,440.748.6,1964.549.3
29,Mornflake Organic Oats,9.0,1677.5  13.2,734.825.4,2014.1  50.7
30,Ready Brek Porridge Oats,7.9,1553.710.5,496.520.2,2589.7 39.0
31,Oatibix,7.3,1804.032.6,978.2  62.8,2668.5  68.0
