,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,Monoterpenic oxides and diols (15),,,,,,,,81.6,,18.4,,,13.6,,,
1,trans-Furan linalool oxide,63,a,1436,13.7,2.4,29.1,3.3,81.6,,18.4,1.2,0.5,13.6,5.8,36.8,4.7
2,cis-Furan linalool oxide,64,a,1464,3.2,0.9,11.5,0.1,33.1,,9.6,0.6,0.0,3.6,0.9,12.7,1.4
3,Neroloxide,65,"b,c",1467,9.1,2.7,16.3,0.6,38.0,,9.9,6.5,0.8,11.6,1.7,26.8,0.3
4,trans-Pyran linalool oxide,66,a,1732,92.5,29.0,73.3,7.8,93.3,,48.9,7.0,3.5,7.0,1.1,12.2,2.1
5,cis-Pyran linalool oxide,67,a,1756,16.6,3.2,17.9,2.8,15.6,,9.7,tr,,0.5,0.2,tr,
6,"Exo-2-hydroxy-1,8-cineole",68,a,1857,2.0,0.9,0.9,0.5,2.1,,2.2,,,,,189.7,
7,"3,7-Dimethylocta-1,5-dien-3,7-diol",69,a,1935,223.4,48.4,297.7,32.4,63.9,,21.7,64.9,31.7,15.1,17.3,189.7,32.0
8,Linalool hydrate,70,a,1967,3.0,1.6,47.6,5.3,63.9,,21.7,0.6,1.0,15.1,5.9,41.7,0.9
9,Terpin hydrate,71,a,2087,,,11.0,3.5,53.6,,41.8,,,3.2,1.1,13.3,1.6
10,"3,7-Dimethylocta-1,7-dien-3,6-diol",72,a,2121,58.7,12.9,64.4,7.2,55.1,,25.0,3.9,1.1,12.3,6.0,14.3,3.9
11,Citronellol hydrate,73,a,2196,,,1.0,0.2,3.1,,1.5,,,0.7,0.4,2.4,1.0
12,"8-Hydroxy-6,7-dihydro-linalool",74,a,2197,0.7,0.8,1.1,0.6,1.0,,0.7,0.6,0.5,1.9,0.9,1.2,0.7
13,(E)-8-hydroxy-linalool,75,a,2265,?,,?,,tr,,,?,,?,,3.4,2.5
14,Z)-8-hydroxy-linalool,76,a,2302,0.5,1.3,2.0,0.4,2.0,,2.0,2.0,1.0,15.8,4.2,30.0,3.7
15,"p-1-Menthen-7,8-diol",77,a,2517,tr,,1.4,0.6,tr,,,,,,,,
16,Total,,,,423.4,,575.2,,652.5,,,87.3,,302.4,,384.5,
17,C13-norisoprenoids (13),,,,,,,,,,,,,,,,
18,Vitispirane I,78,a,1524,,,1.4,0.7,4.0,,0.2,-,,2.1,0.5,9.0,0.5
19,Vitispirane II,79,,1527,-,,0.8,0.3,2.5,,0.4,-,,1.8,1.1,7.3,0.9
20,"1,1,6-Trimethyl-1,2-dihydronaphtalene",80,"b,c",1741,tr,,tr,,0.8,,0.2,,,,,0.6,0.3
21,-Damascenone,81,,1816,4.3,0.7,1.3,0.3,0.7,,0.1,5.3,0.8,3.4,0.2,1.1,0.3
22,3-Hydroxy--damascone,82,a,2529,1.0,0.8,tr,,tr,,,0.9,0.1,0.7,0.2,-,
23,"3-Hydroxy-7,8-dihydro--ionone",83,a,2533,,,tr,,,,,-,,,,,
