,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Cultivar,Predicted group,,,,,,,,,,,,,,,,
1,,Colorado Plaganudo Marsello Morisco,Colorado Plaganudo Marsello Morisco,Colorado Plaganudo Marsello Morisco,Barbilla,Raposo,Jallado,De alto,Isla de,Del pais,tierra,Espanol,Alto,velloso,Arisnegro Vitron,Raspinegro Arisnegro,Raspinegro Arisnegro,Pelon
2,,,,,Barbilla,,,,Fuerteventura,,tierra,,,velloso,,canario,de Tenerife,
3,,,,,,,,,,,,,,blanco,,,,
4,Colorado,5 (100%)0,,..,....,....,000.,0,0,,,,0000000000,,,,0,0
5,Marsello,0,5 (100%),0,....,....,000.,00000,0,,,,,,,,..,
6,Morisco,4 (26.7%) 0,5 (100%),11 (73.3%),....,....,000.,00000,0,,,,0000000000,,,,0.000,
7,Barbilla,0,,2 (4.4%),36 (80.0%),6 (13.3%) 1 (2.2%),,00000,....,,,,0000000000,,,,0.000,
8,Marrueco,...,1 (6.7%),3 (20.0%),1 (6.7%),10 (66.7%) 0,0,00000,....,,,,0000000000,,,,0.000,
9,Jallado,...,,..,,...,5 (100%) 0,5 (100%) 0,....,,,,0000000000,,..,,0.000,
10,De alto,,..,..,,...,..,5 (100%) 0,,,,,0000000000,..,..,,,..
11,Fuerteventura,,,,,,,,5 (100%),,,,..,,0,,,
12,De la tierra,0,....0,,,0..00,....0,,0,0,5 (100%) 0,5 (100%) 0,..,,0,.....,0,0
13,Espanol,...,....0,0,,0..00,....0,,0,,...,5 (100%),0,,0,.....,...,
14,Alto,...,....0,..,,0..00,....0,,..,,...,5 (100%),10 (100%) 0,10 (100%) 0,0,.....,...,
15,Arisnegro,...,....0,..,,0..00,....0,,..,,...,,0,5 (100%),0,.....,...,
16,velloso,,,,,,,,,,,,,,,,,
17,blanco,,,,,,,,,,,,,,,,,
18,Vitron,..,,..,..,..,,,..,,,..,..,..,0,5 (100%),0,..
19,Raspinegro,..,,..,..,..,,,..,,,..,..,..,0,5 (100%),0,..
20,canario,,,,,,,,,,,,,,0,,5 (100%),
21,Arisnegro,0,0,0,0,0,0,0,0,,0,0,,,0,0,5 (100%),0
22,Pelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 (100%)
