,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,,,,(ZI0Z) -Te 17 zad91,,,,,,,,,,,,,,,,,1000,,
1,(1/3W0T,,,,00.0,,,,,,,,100-0000,,10-10,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,1111117,80-10,
3,1/upuds /uds /8yd /8 /8u8v,,,,,,,,,,,,,8I-p,I'I-'p,Io-p,,,,,,I0-b,
4,,,,,,"""p'u",,,,b-u,b-u,-bu,,,,,1,,,,,to-p,b.u
5,,,,,,"""pu",,"""p.u",,1,1,1,"""p.u","""p'u",,,,,'p'u,L,,Io-pu,
6,,,,,,"""p'u","""p.u",,,0.2,,bu,,8I-p,Io-p,Io-p,,,,,,pu,'p'u
7,,,'p'u,,,,,,,,,,,,,,,,,,,"""p'u",'p'u
8,,b-u,,,,,,,,,,,,'p'u,I'I-'p,,,,p'u,,,I0-b,b.u
9,(1/3)pu T/3und T/8wXLT/8usH,,'p'u,,,11-0,,11110,,I0,,00,,11115,,,1-10,,,,,I0-p,00-pu
10,(1/3)pu T/3und T/8wXLT/8usH,,,,,,,,,15,,,,,,,,,,,,,I0-bu
11,(1/3)pu T/3und T/8wXLT/8usH,,,80-10,111111,8'8I-'p'u,89-pu,,,,1,1,,pu,,,,11-14,,60-80,20-90,b-u,'p'u
12,,,,,,,,,,,,111,,pu,,0-p,,,pu,p'u,,,b'u
13,,,/0,,,,,,Snmm,,,,,,,200m,,,,,,,
14,,OPA,,,,,,,,,,,,,,,,,,,,,
