,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,,SFA,MUFA,n6,n3,n3/n6,PUFA,PUFA/SFA,PI,BAs,PHE,PUT,CAD,HIS,TYR,SPD
1,SFA,,,,,,,,,,,,,,,
2,MUFA,0.743,,,,,,,,,,,,,,
3,n-6,0.577,0.864,,,,,,,,,,,,,
4,n-3,0.655,0.932,0.849,,,,,,,,,,,,
5,n-3/n-6,0.467,0.612,0.293,0.753,,,,,,,,,,,
6,PUFA,0.722,0.990,0.893,0.887,0.496,,,,,,,,,,
7,PUFA/SFA,0.000604,0.653,0.7696,0.593,0.209,0.692,,,,,,,,,
8,PI,0.156,0.595,0.779,0.791,0.462,0.571,0.660,,,,,,,,
9,BAS,0.774,0.959,0.905,0.925,0.548,0.896,0.498,0.615,,,,,,,
10,PHE,0.809,0.875,0.959,0.840,0.548,-0.951,-0.495,0.643,0.961,,,,,,
11,PUT,-0.744,0.964,0.938,0.963,0.577,0.953,-0.601,0.729,0.986,0.949,,,,,
12,CAD,-0.801,0.974,0.845,0.967,0.699,0.942,-0.512,0.632,0.980,0.890,0.978,,,,
13,HIS,0.721,0.980,0.875,0.985,0.694,0.952,0.618,0.708,0.964,0.880,0.984,0.990,,,
14,TYR,0.877,0.927,0.895,0.872,0.464,0.929,0.430,0.549,0.991,0.974,0.961,0.950,0.922,,
15,SPD,0.936,0.708,0.685,0.568,0.174,0.735,0.0947,-0.167,0.830,0.854,0.830,0.736,0.660,0.893,
16,SPM,0.936,0.708,0.685,0.568,-0.174,0.735,0.0947,-0.167,0.830,0.854,0.734,0.736,0.660,0.893,0.999
