,0,1,2,3,4,5,6,7,8,9,10
0,,,,Phenolic compounds (mg/100 g dm),,,,,,,
1,No.,Fractions and,Flavonols,,,,,,,,
2,No.,cultivars,,,,Phenolic,Flavan-3-ols,Flavan-3-ols,Polymeric,DP,Total phenolic
3,,cultivars,Quercetin,Isorhamnetin,Kaempferol,acids,Flavan-3-ols,Flavan-3-ols,procyanidins,DP,compounds
4,,,derivatives,derivatives,derivatives,,,,,,
5,7,Tatiana,7.411.42 z,0.71  0.21 xy,nd,nd,1493.52 ,1493.52 ,7778.49  63.5 c,2.3,9280.13  38.2 c
6,,,,,,,6.08 g,,,,
7,Leaves,,,,,,,,,,
8,1,Bot.-Ljubitel.,574.90  5.03 f,118.86  3.51 m,19.41  1.64 e,5.69  0.78,85.00  3.47 n,85.00  3.47 n,324.60  5.43 rs,2.9,1128.46  6.63 m
9,,,,,,b,,,,,
10,2,Golden Rain,632.45  6.22 e,157.83  3.69 jk,26.56  1.83 b,4.44  0.45,116.63  3.66,116.63  3.66,921.46  8.05 n,2.5,1859.37  8.21 i
11,,,,,,c-e,lm,,,,
12,3,Luczistaja,786.94  6.40 c,193.99  3.53 g,25.01  1.95 c,5.35  1.12,186.97  3.94,186.97  3.94,1040.88  14.0 m,2.7,2239.15  11.5 h
13,,,,,,be,hi,,,,
14,4,Maryja,1035.21  7.60,238.28  4.20 e,31.81  1.49 a,4.16  0.83,119.66  2.50,119.66  2.50,1721.07  12.5 g,2.2,3150.19  13.5 f
15,,,a,,,d-f,lm,,,,
16,5,Podarok Sadu,805.22  6.34 b,167.70  3.47 hi,14.50  0.48 h,8.12  0.94,91.54  2.07 n,91.54  2.07 n,927.20  8.93 n,2.6,2014.28  9.61 i
17,,,,,,a,,,,,
18,6,Prozrocznaja,463.30  5.09 h,161.88  3.74 ij,5.98  0.35 k,5.93  0.56,112.39  2.54,112.39  2.54,345.97  5.35 r,3.3,1095.45  6.56 m
19,,,,,,b,m,,,,
20,7,Tatiana,805.47  6.37 b,175.24  4.02 h,11.64  0.82 i,4.12  0.54,160.87  2.87,160.87  2.87,1540.35  12.6 i,2.3,2697.69  11.7 g
21,,,,,,d-f,k,,,,
22,,,Tukey's multiple comparison,Tukey's multiple comparison,,,,,,,
23,Skins,,397.09 B,307.97 A,16.09 B,3.05 B,,65.68 D,503.42 D,,1293.30 D
24,Flesh,,186.58 C,114.08 C,9.58 C,2.38 B,,53.29 E,141.25 F,141.25 F,507.16 F
25,Endocarp,Endocarp,58.15 D,72.69 D,7.09 D,nd,,137.04 B,424.88 E,424.88 E,669.85 E
26,Seeds,,65.73 D,112.84 C,1.23 E,nd,,41.57 F,1266.79 B,1266.79 B,1488.15 C
27,Branches,Branches,38.07 E,3.27 E,nd,nd,,2021.31 A,7275.98 A,7275.98 A,9318.65 A
28,Leaves,,729.07 A,173.40 B,19.27 A,5.40 A,,124.72 C,974.50 C,974.50 C,2026.37 B
