,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Sample,n,Water,Fe,Cu,Mn,Zn,Co,Ni,Se,Al,Cd,Pb
1,,,%,mg/100g dry matter,mg/100g dry matter,mg/100g dry matter,,,,,,,
2,Strawberry.Fragaria x ananassa,2,91.0,2.5,0.5,4.2,1.0,0.011,0.024,0.001,0.9,0.004,0.00
3,"Blackcurrant, Ribes sp.",1,83.3,3.3,0.4,1.4,0.7,0.006,0.022,0.001,1.1,<0.001,0.012
4,"Redcurrant, Ribes sp.",1,85.6,4.8,0.4,1.8,0.8,0.003,0.024,0.001,0.6,0.002,0.01
5,"Raspberry,Rubus idaeus",1,86.3,3.1,05,4.1,2.0,0.005,0.088,0.001,0.5,0.003,0.014
6,"Bilberry,Vaccinium myrtillus",1,88.7,3.1,0.5,28.9,0.8,0.002,0.041,<0.001,2.3,<0.001,0.00
7,"Lingonberry, Vaccinium vitis-idaea",1,86.0,1.7,0.4,17.5,0.8,0.002,0.027,<0.001,2.8,<0.001,0.009
8,"Cranberry, Vaccinium oxycoccus",1,87.1,1.7,0.5,18.4,1.1,0.002,0.038,<0.001,0.7,0.004,0.01
9,"Sea buckthorn, Hippophae rhamnoides",1,83.7,2.2,0.5,1.2,1.3,0.002,0.038,<0.001,1.1,0.003,0.004
10,"Apple, Malus sp.",2,88.6,1.1,0.3,0.2,0.1,0.002,0.007,<0.001,0.7,<0.001,0.013
11,Apple peel,2,86.4,1.9,0.5,0.4,0.2,0.003,0.026,<0.001,1.7,<0.001,0.01
12,"Peach, Prunus persica",1,89.1,2.3,1.0,0.6,1.0,0.006,0.075,0.001,0.9,<0.001,0.012
13,"Rosehip, Rosa sp.",1,78.8,4.8,0.4,2.6,1.6,0.004,0.038,<0.001,3.2,0.001,0.00
14,Orange juice,1,ND,1.1,0.4,0.3,0.2,0.003,<0.001,<0.001,0.5,<0.001,0.008
15,Apple juice,1,ND,2.2,<0.1,0.4,0.1,0.003,0.014,<0.001,2.0,<0.001,0.014
16,Strawberry jam,1,46.7,0.9,<0.1,0.5,0.1,0.002,0.018,<0.001,1.0,0.002,0.008
17,"Raspberry, jam",1,48.8,1.0,<0.1,1.3,0.3,0.004,0.005,<0.001,1.3,0.002,0.00
18,Tomato ketchup,1,75.6,1.9,0.4,0.5,0.6,0.006,0.023,0.001,0.8,0.005,0.01
