,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,Species,K/Fa,nb,LVc,Sensitivity,Sensitivity,,Specificity,Specificity,,Accuracy,,,false classifiedd,false classifiedd,,MCCe,,
1,,,,,M,CV,EVf,M,CV,EVf,M,CV,EVf,M,CV,EVf,M,CV,EVf
2,Durum,K,60,6,100,100,100,100,100,100,100,100,100,0,0,0,1,1,1
3,Emmer,,60,,100,100,100,100,100,100,100,100,100,,,,,,
4,Bread wheat,K,60,6,100,100,90.0,98.3,93.3,100,99.2,96.7,95.0,1,4,2,0.983,0.935,0.905
5,Spelt,,60,,98.3,93.3,100,100,100,90.0,99.2,96.7,95.0,,,,,,
6,Bread wheat,K,450,4,100,100,100,100,100,100,100,100,100,0,0,0,1,1,1
7,Spelt,,450,,100,100,100,100,100,100,100,100,100,,,,,,
8,Bread wheat,,58,6,100,91.4,94.4,100,93.3,90.0,100,92.4,92.1,0,9,3,1,0.847,0.843
9,Spelt,,60,,100,93.3,90.0,100,91.4,94.4,100,92.4,92.1,,,,,,
