,0,1
0,Compound,mob
1,3-O-4'-O-caffeoyl glycosyl)-quinic acid c,2.250.19
2,cis-3-O-caffeoylquinic acid d,175
3,5-O-4'-O-caffeoyl glycosyl)-quinic acid ,4.30.5
4,trans-3-O-caffeoylquinic acid,26050
5,(neochlorogenic acid d,
6,cis-3-O-coumaroylquinic acid d,14020
7,trans-3-O-coumaroylquinic acid d,830100
8,trans-5-O-caffeoylquinic acid,15040
9,(chlorogenic acid) d,
10,trans-4-O-caffeoylquinic acid,516
11,(cryptochlorogenic acid) d,
12,4-O-(4'-O-caffeoyl glycosyl)-quinic acid c,1.960.15
13,methyl 3-O-caffeoylquinate d,11030
14,cis-4-O-coumaroylquinic acid d,718
15,cis-5-O-caffeoylquinic acid d,634
16,trans-4-O-coumaroylquinic acid d,329
17,methyl coumaroylquinate I d,237
18,methyl coumaroylquinate II d,5611
19,methyl 4-O-caffeoylquinate d,4212
20,methyl coumaroylquinate III d,185
21,methyl 5-O-caffeoylquinate d,244
22,methyl coumaroylquinate IV d,6.10.5
23,"trans,trans-3,5-di-O-caffeoylquinic acid c",405
24,"cis,trans-3,5-di-O-caffeoylquinic acid c",497
25,3-O-coumaroyl-5-O-caffeoylquinic acid c,4.70.3
26,3-O-caffeoyl-5-O-coumaroylquinic acid c,1.370.18
27,3-O-coumaroyl-4-O-caffeoylquinic acid c,2.90.3
