,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,,%,,69,,,99,089,,117,,,240,,089,,1.06,717,,,,,,88
1,,,00/n,,3110,3170,1770,1110,088,1120,066,480,830,,550,140,0,006,280,,240,,,290
2,,001/,,,,,,,,,,,,,,,,,,,0,,0,
3,,,,,,,,,,,,,,,,,,,,,,,,
4,,001/,,,,,110,09,150,260,230,08,,,,,,,,2,,41>,2,230
5,,001n,,8308,400,,019,100,06,210,,,081,,,220,,087,,,0,,0,
6,,00/,,2770,1220,2200,,110,220,676,099,620,440,270,330,340,240,300,220,08,150,06,150,30
7,N,,,4,,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
8,,,,RaW,,,,,RaW,,RaW,,,RaN,RaWN,RaW,,RaW,,,,RaW,,
9,J0 1000l,,,,,,,,,,,,,,,,,,,,,,,
10,Ssoore,,,,Pprpprr,,,Pprpphr,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,T,?,,,,
12,,,,,,,,,,,,,,,qPlM bunMIn1 usn,,,,,,,,,pfpfny usn
13,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,S,,,S,5,S,,,,,,
