,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Level,Series 1 TEAC values (T),Series 1 TEAC values (T),Series 1 TEAC values (T),,,Series 2 TEAC values (Tr),Series 2 TEAC values (Tr),Series 2 TEAC values (Tr),,,Series 3 TEAC values (Tr),Series 3 TEAC values (Tr),Series 3 TEAC values (Tr),,,Series 4 TEAC values (Tr),Series 4 TEAC values (Tr),Series 4 TEAC values (Tr),,
1,,Count,Min,Max,Mean,SD,Count,Min,Max,Mean,SD,Count,Min,Max,Mean,SD,Count,Min,Max,Mean,SD
2,Temperature (p<0.001),,,,,,,,,,,,,,,,,,,,
3,70Ca,60,467.86,1715.01,1169.75,277.25,60,465.28,1712.24,938.21,278.95,60,469.66,1900.01,953.84,466.61,60,470.86,1718.10,939.20,462.18
4,80Cb,60,467.86,2159.61,1169.75,461.77,60,464.22,2157.13,1166.60,462.16,60,469.66,2200.06,1176.21,466.61,60,469.23,2160.41,1168.48,462.18
5,90Ca,60,369.51,1608.81,882.24,319.05,60,358.58,1607.48,880.07,320.13,60,372.69,1708.81,890.65,327.38,60,363.26,1610.72,881.05,320.02
6,Timep<0.001,,,,,,,,,,,,,,,,,,,,
7,1min (c),60,369.51,1608.81,768.62,241.31,60,358.58,1607.48,763.65,241.53,60,372.69,1708.81,775.41,251.14,60,363.26,1610.72,1031.02,241.98
8,3 min (d),60,"418,69",2159.61,1032.95,387.41,60,425.96,2157.13,1029.58,388.16,60,431.15,2200.06,1040.23,391.38,60,430.16,2160.41,1031.02,388.27
9,5mine,60,"418,69",2021.91,1194.04,369.30,60,410.69,2000.91,1191.65,369.54,60,423.34,2050.91,1205.06,377.01,60,412.72,2001.69,1192.79,369.56
10,Temperature  time (p<0.001),,,,,,,,,,,,,,,,,,,,
11,70C1 min f,20,469.86,1169.20,722.32,141.58,20,465.28,1100.20,712.44,134.33,20,471.95,1255.28,729.28,155.61,20,470.86,1102.36,712.89,230.34
12,"70C3min(f,k)",20,507.21,1574.30,1210.01,230.49,20,506.11,1572.36,894.55,230.84,20,509.55,1579.82,904.16,229.94,20,511.21,1578.96,896.14,230.34
13,"70C5ming.l,o)",20,786.61,1715.01,1210.01,192.72,20,770.61,1712.24,1207.63,195.50,20,788.92,1900.01,1228.07,216.05,20,772.83,1718.10,1208.58,180.95
14,"80C1minf,k,q,v,z",20,467.86,1026.50,722.19,177.63,20,464.22,1025.55,720.01,178.63,20,469.66,1050.50,726.04,181.86,20,469.23,1050.50,722.26,180.95
15,"80C3min (i,n,o,u,)",20,664.58,2159.61,1337.95,428.44,20,650.58,2157.13,1333.76,430.92,20,667.90,2200.06,1345.25,432.75,20,653.27,2160.41,1335.60,430.93
16,"80C5minh,m,p,u)",20,733.43,2021.91,1449.12,352.49,20,729.33,2000.91,1446.04,352.28,20,372.69,2050.91,1457.36,359.38,20,731.33,2001.69,1447.57,351.97
17,"90C1min f,k,r,w,z,&, )",20,369.51,1608.81,861.36,340.06,20,358.58,1607.48,858.50,342.00,20,372.69,1708.81,870.90,352.37,20,363.26,1610.72,859.59,341.92
18,"90C3min f,k,s,x,z,X, ,)",20,428.52,1522.29,862.35,285.99,20,425.96,1519.35,860.42,286.68,20,431.15,1592.77,871.29,296.71,20,430.16,1525.36,861.33,286.82
19,"90C5mini,kt,y$,",20,418.69,1461.28,923.01,340.65,20,410.69,1460.72,921.28,341.18,20,423.34,1499.28,929.75,343.81,20,412.72,1465.41,922.21,340.82
