,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,these genotypes may be candidate varieties as the quality values of,"ability and high protein yields under dryland conditions. Additionally,","types under irrigated conditions. Therefore, it was determined that PI","dryland conditions compared to irrigated conditions. Overall, geno-","Based on our experimental results, all fenugreek genotypes and",(24.44%) and PI 173820 (25.84%) genotypes under dryland conditions.,(29.37%) genotypes and the lowest values observed from PI 302448,originating from India; this genotype was found to be similar to PI,crude protein content (19.16%) was revealed by genotype PI 302448, maximum crude protein content was obtained from the Berkem cultivar,The ranges for the crude protein content were 19.16-28.01% for irri-,"As can be seen in Table 4, significant differences were observed",3.3. Crude protein content of fenugreek genotypes and cultivars,"2021b, c; Tan et al., 2021).","explained based on the growing conditions, biotic and abiotic stress",2002. The differences can also be," or hybridization (Giridhar et al., 2016), and additionally, geographical",effected by genetic properties and crop development such as selection,"harvest time for the fenugreek (BMGD, 2021).",vegetative growth periods as there was sufficient rainfall from sowing to,"irrigated and dryland conditions, which can be related to rainfall in",was found in the diosgenin content of fenugreek genotypes grown in,content of fenugreek under an optimal irrigation regime (35%,The results of the current study differed from those reported by,genotypes was within the ranges reported in these previous studies,"1.5%. In the current study, the diosgenin content of different fenugreek",report which determined that diosgenin amount ranged from 1.3% to,"the diosgenin content varied from 0.43% to 0.52%. By contrast, our",(2021) conducted a study to determine the effect of different doses of,"content changed between 0.28% and 0.92%, which was in partial","ported by Saxena et al. (2017), who determined that diosgenin content",The results of the current study were closely related to those re-,notypes are very important for the pharmaceutical industry and,"diosgenin contents under dryland conditions. Additionally, these ge-"
1,Table 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Correlation analysis in different fenugreek genotypes and cultivars among the properties.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,IC-Gum,IC-,,,,,,,,,,,DC-Gum,DC-Gum,DC-Gum,,DC-,,,,,,,DC-EC,,,,,IC-Crude,IC-Crude,DC-Crude,DC-Crude
4,,,yield,Diosgenin,IC-EC,IC-EC,IC-EC,IC-EC,IC-EC,,IC-ES,IC-ES,IC-ES,,ratio,DC-Gum,yield,,Diosgenincontent,Diosgenincontent,Diosgenincontent,Diosgenincontent,DC-EC,DC-EC,,DC-EC,,DC-ES,DC-ES,DC-ES,protein,,protein,protein
5,,,(kg/ha),content(%),,0.5%,0.5%,0.25%,(0.1%,,0.5%,0.25%,(0.1%),,(%),,(kg/ha),(kg/ha),%,,,,0.5%,0.25%,0.25%,0.1%,,0.5%,0.25%,(0.1%,(%),,(%),content
6,IC-Gum ratio (%),,0.496*,0.109,0.254,0.254,0.254,-0.083,0.312,,0.100,0.015,0.105,,0.349,,0.132,,0.050,,,,0.306,0.356,,-0.185,,0.001,0.243,0.276,-0.107,,0.276,
7,IC-Diosgenin content (%),,,0.245,,0.561**,0.561**,0.159,0.229,,0.472,0.048,0.174,,0.057,,0.688*,,0.154,,,,0.167,0.215,,-0.654**,-0.654**,0.015,0.108,0.025,0.132,,0.312,
8,IC-Diosgenin content (%),,,,,0.217,0.217,0.111,0.080,,-0.131,0.049,0.000,,0.115,,0.194,,-0.260,,,,0.048,0.113,,0.298,,-0.019,0.360,0.368,0.006,,-0.022,-0.022
9,IC-EC (0.5%),,,,,,,0.052,0.371,,0.359,0.499*,0.199,,-0.065,,0.194,,0.111,,,,0.048,-0.081,,-0.068,,-0.131,0.447*,0.201,0.154,,0.093,
10,IC-EC (0.1%),,,,,,,,0.181,,-0.048,0.453*,0.363,,-0.441,,0.298,,0.254,,,,-0.346,0.199,,0.150,,0.136,0.034,0.145,0.277,,0.397,0.397
11,IC-EC (0.1%),,,,,,,,,,0.025,0.295,0.332,,-0.243,,0.061,,0.031,,,,-0.024,0.277,,-0.354,,-0.055,0.288,-0.204,0.205,,0.123,0.123
12,IC-ES (0.5%),,,,,,,,,,,0.295,0.325,,-0.051,,0.323,,0.185,,,,0.150,0.392,,-0.458*,,0.002,0.073,-0.204,0.205,,-0.012,-0.012
13,IC-ES (0.1%),,,,,,,,,,,,0.616**,0.616**,-0.207,,-0.084,,-0.218,,,,0.068,0.170,,0.042,,0.077,0.046,0.090,0.103,,0.164,0.164
14,IC-ES (0.1%),,,,,,,,,,,,,,-0.143,,0.117,,-0.107,,,,0.179,0.189,,0.261,,0.508*,0.062,-0.229,-0.092,,0.184,-0.351
15,DC-Gum ratio (%),,,,,,,,,,,,,,,,0.504*,,0.068,,,,-0.143,0.257,,-0.151,,-0.115,0.237,-0.022,0.047,,0.184,
16,DC-Gum yield (kg/ha),,,,,,,,,,,,,,,,,,-0.130,,,,0.192,0.042,,0.644**,0.644**,-0.154,0.083,0.034,0.183,,0.285,
17,DC-Diosgenin content,,,,,,,,,,,,,,,,,,,,,,-0.067,-0.010,,-0.152,,0.174,-0.012,0.342,0.043,,0.396,
18,(%),,,,,,,,,,,,,,,,,,,,,,-0.067,-0.010,,-0.152,,0.174,-0.012,0.342,0.043,,0.422,
19,DC-EC (0.5%),,,,,,,,,,,,,,,,,,,,,,,0.169,,0.042,,0.326,-0.078,0.266,0.152,,0.422,
20,DC-EC (0.25%),,,,,,,,,,,,,,,,,,,,,,,,,0.010,,-0.304,-0.078,-0.140,-0.117,,-0.038,
21,DC-ES (0.5%),,,,,,,,,,,,,,,,,,,,,,,,,,,-0.149,0.058,0.224,0.001,,0.003,
22,DC-ES (0.25%),,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.047,-0.074,0.057,,-0.111,
23,DC-ES (0.25%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.331,0.182,,-0.111,
24,DC-ES (0.1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166,,0.462*,0.462*
25,IC-Crude protein content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037,
