,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,Synthetic com-,Concentration (g in 25 l CH2Cl2),Concentration (g in 25 l CH2Cl2),Concentration (g in 25 l CH2Cl2),Concentration (g in 25 l CH2Cl2),Concentration (g in 25 l CH2Cl2),,,,,,,,,,,,,,,,,,
1,pounds,0.15,0.20,0.30,0.40,0.60,0.70,0.80,1.00,1.40,1.60,2.00,3.00,3.20,4.00,5.00,6.00,8.00,10.00,12.00,16.00,20.00,30.00,60.00
2,2-(Z)-Penten-1-ol,,,,,,,,,,0.010,,,0.001,,,,,,,,,,
3,2-Octanol,,,,,,,,,,,0.020,,,0.001,,,,,-,,,-,
4,1-Nonanol,,,-,,-,,,,,,0.039,,,0.001,,,,,,,-,-,
5,Nerol,0.039,,0.005,,0.001,,,,,,1,,-,,,,,,-,,,1,
6,Geraniol,,,-,,,,,,,,,,-,,0.020,,,0.001,,,-,-,
7,Geranyl acetone,,,,0.010,,,0.001,,,,,,-,,,,,,-,,,-,
8,Limonene,,,,,,,,,,,,,,,,,0.002,,,0.001,-,,
9,Dodecane,,,,,,,,0.002,,,0.001,,,,,,,,,,,,
10,1-Hexadecene,,-,1,,,,,,,,,0.020,-,,,0.001,,,-,,,,
11,Decanal,,-,,,,,,,,,,,,,,0.010,,,0.001,,,,
12,"2,6-(E,Z)-Nona-",,,,,,,,,,,,,,0.020,,-,0.001,,,,,,
13,dienal,,,,,,,,,,,,,,,,,,,,,,,
14,"l,3-Diethylbenzene",,,,,,,,,,,,,,,,,,,,,,0.005,0.001
15,3-Octanone,-,,,,,0.020,,-,0.001,,,,,,,-,,,,,,,
16,Acetophenone,,,,,1,,,-,,,,-,,,,,,0.039,-,,0.001,,
17,4-Ethylacetophe-,,-,-,,,-,,-,,,,,-,,-,-,,0.005,,,0.001,,
18,none,,,,,,,,,,,,,,,,,,,,,,,
19,3-Caryophyllene,,0.020,,0.001,,,,-,,,-,,,-,,-,,-,,,,,
20,Methyl jasmonate,,,-,,,-,,,-,,0.020,,-,0.001,-,-,,-,,-,-,,
