,0,1,2,3,4,5,6,7,8,9,10
0,,,,,,Hazard ratio (95% confidence interval),Hazard ratio (95% confidence interval),,,,
1,,,Model 1,,Model 2,,Model 3,,Model 4,,Model 5
2,Age (vs 49-59 years),,,,,,,,,,
3,60-69 years,2.11,(0.68-6.54),2.34(0.75-7.28),2.34(0.75-7.28),2.07,(0.656.56),1.56,(0.485.04),1.56,0.48-5.08
4,70 years,4.98,1.52-16.35**,6.56,1.92-22.43**,5.06,1.42-17.94)*,2.87,(0.75-10.93),3.33,(0.86-12.97)
5,Region of residence,0.71,(0.27-1.85),0.71,0.27-1.87,0.76,(0.29-1.98),0.75,(0.29-1.97),0.64,(0.241.72)
6,(Western vs Eastern Japan),,,,,,,,,,
7,Height(per1SD increase),,,1.400.83-2.33,1.400.83-2.33,,,,,,
8,Weight(perlSD increase),,,1.10(0.69-1.76),1.10(0.69-1.76),,,,,,
9,BMI (kg/m2),,,,,,,,,,
10,<20,2.30,0.51-10.31,,,2.22,0.49-10.11),1.95,(0.43-8.87),2.05,0.45-9.33)
11,2022.4,2.29,(0.57-9.14,,,2.21,(0.55-8.87),2.09,(0.528.43),2.34,0.56-9.72
12,22.5-24.9,,Reference),,,,(Reference),1,(Reference),1,(Reference)
13,25,3.54,(0.91-13.69),,,3.53,(0.91-13.72),3.52,(0.9113.66),3.73,(0.93-14.93)
14,Current smoking,,,,,1.59,(0.65-3.90),1.51,0.62-3.71),1.65,(0.66-4.15)
15,Current alcohol intake,,,,,0.94,(0.38-2.31),0.99,(0.37-2.64),1.06,0.42-2.62
16,Current regular exercise,,,,,1.03,(0.37-2.56),1.01,(0.38-2.70),0.99,(0.36-2.63
17,Serum albumin,,,,,0.98,(0.56-1.73),,,,
18,Total energy intake,,,,,,,0.57,(0.33-0.98*,0.61,0.35-1.05
19,Protein intaket,,,,,,,0.82,(0.50-1.35,,
20,Calcium intake,,,,,,,1.15,(0.73-1.82),,
21,Meats intake,,,,,,,,,0.89,(0.53-1.49)
22,Fish and shellfish intake,,,,,,,,,0.96,0.61-1.50
23,Vegetable intaket,,,,,,,,,0.90,(0.56-1.46)
24,Milk and dairy products intaket,,,,,,,,,1.44,1.00-2.05
25,Fruits intaket,,,,,,,,,0.86,0.53-1.40
26,Cerealst,,,,,,,,,1.13,0.70-1.82)
27,Ricet,,,,,,,,,0.86,0.53-1.42
28,Soybeant,,,,,,,,,1.42,1.00-2.02
29,Mushroomst,,,,,,,,,1.25,0.85-1.84
