,0,1,2,3,4,5,6,7,8,9,10,11
0,,,,,,,,,,,Mann-WhitneyUTest,Mann-WhitneyUTest
1,,,Isotretinoin (I),,Wilcoxon,,Primrose Oil(IOW),,Wilcoxon,,Groups,
2,,,n=25,,Test,,n=25,,Test,,I and IOW,
3,,,,,,,,,,,p,
4,Analyzed,,,,,,,,,,,
5,Parameters,,after9,,,,after9,,,before,after,before
6,,,,,,,,,,,,
7,,Treatment,Months of,,p,Treatment,Months of,,p,Treat-,Treat-,and after
8,,Treatment,Treatment,,,Treatment,Treatment,,,ment,ment,Treat-
9,,,,,,,,,,,,ment
10,,MeQ,MeQ,MeQ,,MeQ,MeQ,MeQ,,,,
11,AST(IU/I,24.01.00,28.02.00,4.70 4.20,<0.001,23.04.50,22.05.00,0.703.80,0.036,0.278,0.001,<0.001
12,ALTIU/I,21.0  2.00,24.0  2.50,3.20 1.30,<0.001,23.0  6.00,22.0  6.00,0.403.80,0.151,0.675,0.217,<0.001
13,TCH(mg/dL),1633.50,1985.00,35.9  16.5,<0.001,1716.50,1619.00,8.70 16.1,0.025,0.065,<0.001,<0.001
14,HDL (mg/dL),52.0  2.50,51.0  3.00,0.306.30,0.013,43.0  3.50,48.0  5.00,6.4010.6,<0.001,<0.001,0.366,<0.001
15,LDL (mg/dL),70.2  6.80,95.9  6.20,25.9  12.6,<0.001,90.317.1,60.2 11.6,13.919.5,0.003,0.035,<0.001,<0.001
16,TG (mg/dL),92.01.00,1148.00,22.89.50,<0.001,92.0  9.00,95.013.5,5.0015.7,0.025,0.892,<0.001,<0.001
