,0,1,2,3,4,5,6,7,8
0,Micronutrient,Age(year),Gender,AI,EAR,Non-users,,Users,
1,,,,,,Evaluation risk inad-,%<EAR,Evaluation risk inad-,%<EARa
2,,,,,, equate intake for each,,equate intake for each,
3,,,,,,age(year,,ageyear,
4,Vitamin A,1-17,Boys,300/350/400/,600c,1-9:LR,64.4 (55.669.3),"1-9,11-13:LR",42.6 (37.647.7)
5,(ug RAE),,,600b,,10-13:NSP,,10:NSP,
6,,,Girls,,500c,10-13:NSP,53.1 (48.561.5),10-13:NSP,48.7 (44.054.3)
7,,1879,Men,,615,,49.4 (43.154.1),,23.3 (19.627.0)
8,,,Women,,525,,47.6 (42.552.7),,29.2 (25.733.5)
9,Vitamin D (g),1-17,Boys,10/3d,,NSP/,,1:LR,
10,,,,,,,,217:NSps,
11,,,Girls,,,NSP/,,NSP/,
12,,,,,,NSPS,,NSP5,
13,,1879,Men,10/3d,10g,NSP/,99.9 (99.5100.0),LRd,99.6 (99.0100.0)
14,,,,,,NSPd,,LRd,
15,,,Women,,,NSP/,99.8 (99.6-100.0),NSP/,99.9 (99.9100.0)
16,,,Women,,,NSpd,,NSpd,
17,Vitamin B1 (mg),117,Boys,0.3/0.5/0.8/1.1,,1-13: LR,,14-15:NSP,
18,,,,,,14-17:NSP,,14-15:NSP,
19,,,Girls,,,18: LR,,1-13:LR,
20,,1879,Men,-,0.072,,,,
21,,,Women,,,,,,
22,Vitamin B2 (mg),1-17,Boys,0.5/0.7/1/1.5,-,1-13:LR,,1-13:LR,
23,,,Boys,,,14-17:NSP,,14-17:NSP,
24,,,Girls,0.5/0.7/1/1.1,,"19,11:LR",,"1-13,15:LR",
25,,,,,,"10,12-17:NSP",,"14,16-17:NSP",
26,,1879,Men,,1.3,-,29.9 (27.135.1),-,13.4 (9.818.3)
27,,,Women,,,,59.4 (56.062.7),,45.6 (40.751.2)
28,Vitamin B3 (mg),1-17,Boys,4/7/11/17,,"1-13,15-17:LR",,"1-13,15-17:LR",
29,,,,,,14:NSP,,14: NSP,
30,,,Girls,4/7/11/13,,"1-13,15-17:LR",,"1-13,15-17:LR",
31,,,,,,14:NSP,,14:NSP,
32,,1879,Men,,1.3,,,-,
33,,,Women,,,,,,
34,Vitamin B6 (mg),1-17,Boys,0.4/0.7/1.1/1.5,,1-13:LR,,"1-13,15-17:LR",
35,,,,,,14-17:NSP,,14:NSP,
36,,,Girls,,,14-17:NSP,,1-13:LR,
37,,,,,,14-17:NSP,,14-17:NSP,
38,,1879,Men,,1.1,-,9.4 (7.512.7),,0.7 (0.21.7)
39,,,Women,,,,23.1 (19.428.1),,9.5 (5.415.3)
40,Folate equivalents g1-17,Folate equivalents g1-17,Boys,85/150/225/300,,18: LR,,1-8: LR,
41,Folate equivalents g1-17,,Boys,,,9-17:NSP,,9-17:NSP,
42,,,Girls,,,9-17:NSP,,"13, 58: LR",
43,,,Girls,,,9-17:NSP,,"4,9-17:NSP",
44,,1879,Men,,200,,16.3 (13.819.1),=,0.8 (01.8)
45,,,Women,,,-,38.6 (34.642.6),-,11.2 (6.815.0)
46,Vitamin B12 (g),1-17,Boys,0.7/1.3/2/2.8,,"1-13, 1517: LR",,LR,
47,,,Boys,,,14:NSP,,,
48,,,Girls,,,"113, 17: LR",,14:NSP,
49,,1879,Men,,2,-,2.0 (1.12.9),-,0.4 (01.3)
50,,,Women,,,,6.3 (4.99.3),,3.9 (2.3-5.8)
51,Vitamin E (mg),1-17,Boys,4/5/6/8b,6c,LR,3.3 (1.25.3),LR,0.5 (0.11.0
52,,,Girls,4/5/6/7b,5c,LR,3.9 (2.0-6.4),LR,1.3 (0.3-2.5)
53,,1879,Men,13,,"2631, 3341, 4348,",,1865: LR,
54,,,,,,51:LR,,66-79:NSP,
55,,,,,,"1825, 32, 42, 4950,",,,
56,,,,,,52-79: NSP,,,
57,,,Women,11,,"70-73,78-79:LR",,79:LR,
58,,,,,,"1869, 7477: NSP",,18-78:NSP,
