,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,,,,,,,,,District,,,,,,,,,
1,Level,Mastitis,Haripur,Haripur,Haripur,Abbottabad,Abbottabad,Mansehra,Mansehra,Battagram,Battagram,,Torghar,Kohistan,Kohistan,Kohistan,Kohistan,Kohistan,Kolai Palas,Kolai Palas
2,,,,,,,,,,,,,,,Upper,,,Lower,,
3,,,No.,,%,No.,%,No.,%,No.,%,No.,%,No.,,%,No.,%,No.,%
4,Animal,Overall,12,14.81,14.81,10,12.35,13,16.05,10,12.35,12,14.81,14,17.28,17.28,8,9.88,2,2.47
5,,clinical,4,20,,3,15,2,10,2,10,3,15,3,15,15,2,10,1,5
6,,sub-clinical,8,13.11,13.11,7,11.8,11,18.03,8,13.11,9,14.75,11,18.03,18.03,6,9.84,1,1.64
7,Quarter,Overall,17,16.67,16.67,15,14.71,15,14.71,12,11.76,14,13.73,17,16.67,16.67,10,9.80,2,1.96
8,,clinical,8,,25,6,18.76,3,9.38,3,9.38,4,12.5,5,15.63,15.63,2,6.25,1,3.13
9,,sub-clinical,9,12.86,12.86,9,12.86,12,17.14,9,12.86,10,14.29,12,17.14,17.14,8,11.43,1,1.43
