,0,1,2,3,4,5,6
0,,,,IHC,VIP,CPI,PCP
1,Acer caesium Wall. ex Brandis,Ace cae,Sapindaceae,0.00,0.00,0.26,0.56
2,Achyranthes aspera L.,Ach asp,Amaranthaceae,0.00,0.00,0.00,0.34
3,Achyranthes bidentata Blume,Ach bid,Amaranthaceae,0.00,0.00,0.00,0.32
4,Achillea millefolium L.,Ach mil,Asteraceae,0.87,0.50,0.00,0.00
5,Adiantum capillus-veneris L,Adi cap-ven,Adiantaceae,0.00,0.00,0.67,1.75
6,Adiantum indicum J.Ghatak,Adi ind,Adiantaceae,0.00,0.00,0.96,1.84
7,Adiantum venustum D.Don,Adi ven,Adiantaceae,0.00,0.00,0.49,1.30
8,Aegopodium burttii Nasir,Aeg bur,Apiaceae,0.00,0.00,0.15,0.34
9,Ainsliaea aptera DC.,Ain apt,Asteraceae,0.00,0.00,0.00,0.26
10,Ajuga integrifolia Buch.- Ham,Aju int,Lamiaceae,0.00,0.00,0.00,0.27
11,Alchemilla cashmeriana Rothum.,Alc cas,Rosaceae,0.43,0.00,0.51,0.12
12,Alcea rosea L.,Alc ros,Malvaceae,0.05,0.00,0.15,0.00
13,Alnus nitida(Spach)Endl.,Aln nit,Betulaceae,0.45,0.00,0.00,0.29
14,Amaranthus viridis L.,Ama vir,Amaranthaceae,0.00,0.00,0.00,0.24
15,Anagallis arvensis L.,Ana arv,Primulaceae,0.00,0.00,0.08,1.15
16,Anaphalis busua (Buch.-Ham.) DC.,Ana bus,Asteraceae,0.00,0.00,0.20,0.07
17,Androsace hazarica R.R. Stewart ex Y.Nasir,And haz,Primulaceae,0.00,0.00,0.30,0.39
18,Androsace rotundifolia Hardw.,And rot,Primulaceae,0.00,0.00,0.06,0.54
19,Arisaema flavum (Forssk.) Schott,Ari fla,Araceae,0.00,0.00,0.00,0.91
20,Arisaema jacquemontii Blume,Arijac,Araceae,0.00,4.24,0.00,0.91
21,Artemisia absinthium L.,Art abs,Asteraceae,0.36,0.13,0.96,2.25
22,Asplenium adiantum-nigrum L.,Asp adi-nig,Adiantaceae,0.00,0.00,0.20,0.41
23,Asparagus fiicinus Buch.-Ham. ex D.Don,Asp fii,Asparagaceae,0.00,0.00,0.00,0.16
24,Avena sativa L.,Ave sat,Poaceae,0.04,0.09,0.00,0.00
25,Bauhinia variegata L.,Bau var,Caesalpiniaceae,0.05,0.00,0.00,0.00
26,Bergenia ciliata (Haw.) Sternb,Ber cil,Saxifragaceae,0.00,0.00,0.09,0.12
27,Berberis lycium Royle,Ber lyc,Berberidaceae,0.00,1.42,1.55,0.49
28,Berberis parkeriana C.K.Schneid,Ber pac,Berberidaceae,0.00,0.00,0.00,0.24
29,Bistorta amplexicaulis(D.DonGreene,Bis amp,Polygonaceae,5.17,1.64,0.00,0.00
30,Brassica compestris L.,Bra com,Brassicaceae,0.52,0.00,0.00,0.00
31,Bromus diandrus Roth,Bro dia,Poaceae,2.00,1.64,0.39,0.19
32,Bromus secalinus L.,Bro sec,Poaceae,1.83,1.49,0.67,0.59
33,Bromus tectorum L.,Bro tec,Poaceae,2.20,1.29,0.00,0.06
34,Bupleurum longicaule Wall. ex DC.,Bup lon,Apiaceae,0.00,0.00,0.10,0.32
35,Bupleurum nigrescens E. Nasir,Bup nig,Apiaceae,0.51,1.22,0.15,1.48
36,Caltha palustris var.alba (Cambess Hook.f.& Thomson,Cal pal,Ranunculaceae,0.00,0.00,0.04,0.46
37,Calamintha umbrosa (M.Bieb. Hedge,Cal umb,Lamiaceae,1.11,1.03,1.08,0.61
38,Campylotropis meeboldii (Schindl.) Schindl,Cam mee,Papilionaceae,0.00,0.00,0.32,0.04
39,Cannabis sativa L.,Can sat,Cannabaceae,0.00,0.00,0.00,0.07
40,Capsella bursa-pastoris(L.)Medik,Cap bur-pas,Brassicaceae,0.18,0.97,0.53,1.47
41,Castanea sativa Mill.,Cas sat,Fagaceae,0.00,0.00,0.12,0.14
42,Cedrus deodara(Roxb.ex Lamb.)G.Don,Ced deo,Pinaceae,0.00,5.16,22.50,16.07
43,Celosia argentea L.,Cel arg,Amaranthaceae,0.61,0.00,0.00,0.00
44,Chenopodium album L.,Che alb,Chenopodiaceae,0.75,0.41,0.00,0.24
45,Chrysanthemum indicum L.,Chr ind,Asteraceae,0.00,0.00,0.00,0.64
