,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,,,Initial,,Chick,Yellow,"Alternative composition when discarding an ingredient constituting the initial composition, by discarded ingredient a.b",All,Dried,Dried,Wheat,Wheat,,Rapeseed,Sunflower,,Sweet,Potato,Thyme
1,,,sition,Navy bean,pea,sweet,mushrooms,sweet,shitake,mushrooms,bran,germ,Couscous,oil,oil,Flaxseed,potato,starch,Thyme
2,,"Navy bean, cooked",41.59,,47.40,peper,,,21.62,28.34,52.50,25.16,22.53,47.27,18.24,32.99,39.81,40.43,48.84
3,Pulses,"Chick pea, cooked",5.77,14.93,47.40,12.64,,14.38,25.43,18.34,..,21.56,24.01,47.27,29.43,13.51,9.99,7.48,
4,,"Lentil, blond, cooked",,14.93,,,,,25.43,18.34,..,21.56,24.01,,,13.51,9.99,,-
5,,"Sweet pepper,green,cooked",15.00,15.00,15.00,15.00,,,15.00,19.50,..,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00
6,"Vegetables,cooked",Olives.black,...,,,..,,15.00,,,1.60,..,,,,,,,
7,,"Shitake mushroom, dried",5.00,5.00,5.00,3.27,,2.38,5.00,,4.39,5.00,5.00,5.00,5.00,5.00,5.00,5.00,3.52
8,"Vegetables and fruits,dried","Chinese black mushroom, dried",,5.00,,1.73,,2.62,5.00,0.50,0.61,,..,,:,,:,:,1.48
9,,"Chestnut, cooked",,,6.57,,,,5.00,0.50,,,..,,:,,:,:,
10,>10g/100g of protein,Wheat germ,,10.00,6.57,10.00,,10.00,10.00,10.00,10.00,10.00,10.00,,10.00,10.00,4.08,3.67,10.00
11,Whole & fragmented cereals,"Durum wheat, cooked, unsalted",5.00,2.8,5.00,5.00,,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
12,,Rapeseed oil,3.60,4.33,3.47,3.64,,3.74,1.05,3.80,3.83,3.87,3.94,,4.63,3.57,3.70,3.64,1.66
13,Vegetable oils,Sunflower oil,1.40,0.67,1.53,1.36,,1.26,1.05,1.20,1.17,1.13,1.06,5.00,0.37,1.43,1.30,1.36,1.66
14,,Flaxseed,5.00,5.00,5.00,3.26,,1.33,2.69,1.52,4.67,2.32,1.77,5.00,5.00,5.00,5.00,5.00,5.00
15,,"Fenugreek, seed",,,..,3.26,,1.33,3.09,1.52,0.33,2.32,1.77,2.84,,5.00,,,
16,Tubers and garden peas,"Sweet potato, cooked",2.74,2.01,2.80,4.15,,4.49,3.09,2.32,1.00,2.95,2.96,2.84,2.16,3.21,1.00,2.49,1.70
17,Starch,Maize/com starch,3.89,5.00,3.80,4.84,,3.56,3.85,5.00,0.50,4.33,4.50,3.89,4.17,4.29,3.20,3.60,3.46
18,"Herbs,spices and salt","Basil, dried",1.00,1.00,1.00,1.00,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
19,,,,0.00,0.00,0.02,,0.02,0.01,0.06,0.05,0.00,0.00,0.12,0.05,0.00,0.01,0.00,0.15
20,,,(PANDiet),,+0.04,-0.62,,0.28,0.04,-0.27,-0.17,0.00,-0.01,0.28,-0.03,0.00,-0.02,-0.01,-0.24
21,,,(MS),+0.26,0.04,+0.16,,+0.24,+0.12,-0.12,0.29,+0.09,+0.13,-0.19,-0.26,0.00,+0.07,+0.04,+0.11
