,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,,
1,,,,,,,,,,,,49.08,,,,0'81)+S,,(0'91)8t,,,,,,,,,,90,,
2,,,,,,,,,,,[Z0'06-LL'+8],,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,(488)197,,,,,,,,
4,,,,,,,,,[1Z'ZL-ZL'V9],,[ZI'68-LL'18],,,,,(L'0Z) z9,,(02)19,,,(119)11,,,,,,,,,
5,,,,,,,,,,,,,,,011)10,,,,,,,(0'06) 0LZ,00100,,(LZZ) 89,,,800,,
6,,,**1168,,**2006,][Z606-77'88],**4788,,,,,**ZI'68,**0'S)I,**09)81,**1II,**(0'9) SI,**L)+1,**(19)61,,,**(49) 691,(118) 097,,,,,**(LIZ) S9,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,
8,,6S0->)LL,,,,,1447,,,,,1210,,,,,(002)09,,,,011,(E'06) 1LZ,,,,L19)181,,090,[L'0-910],
9,006=uIIV,,,[01'18-11'18],,,,1801,[001111],64'98,,,,,,,,,,,,888)66L,111111,,,,,,,(L'8)8L
10,,,,,,,,,,,,,,,,,,,K,Mie,,,,EES,MOT,,,,,
