,0,1,2,3,4,5,6,7
0,,,,Quintiles of Dietary Indices,,,P trend,HR (95%CI)
1,,Q1,Q2,Q3,Q4,Q5,P trend,Per 1-SD Increment
2,,,,,Sodium Intakes,,,
3,Median,898,1095,1231,1373,1605,,
4,Cases,679,705,766,888,1052,,
5,Model 1,1.0 (ref.),5.66,6.16,7.12,8.45,,
6,Model 1,1.0 (ref.),"0.98 (0.88, 1.09)","1.02 (0.92, 1.14)","1.15 (1.04, 1.27)","1.33 (1.21, 1.46)",<0.0001,"1.16 (1.11, 1.21)"
7,Model 2,1.0 (ref.),"0.97 (0.88, 1.08)","1.00 (0.90, 1.11)","1.10 (0.99, 1.21)","1.19 (1.07, 1.31)",<0.0001,"1.10 (1.05, 1.14)"
8,Model 3,1.0 (ref.),"0.97 (0.87, 1.08)","0.99 (0.90, 1.10)","1.08 (0.98, 1.20)","1.17 (1.05, 1.29)",0.0001,"1.09 (1.04, 1.13)"
9,Model 4,1.0 (ref.),"0.96 (0.86, 1.06)","0.97 (0.88, 1.08)","1.04 (0.94, 1.16)","1.09 (0.99, 1.21)",0.01,"1.06 (1.01, 1.10)"
10,,1920,,,Potassium Intakes,,,
11,Median,1920,2306,2575,2854,3299,,
12,Cases,830,808,767,833,852,,
13,IR (/103 PYs),6.85,6.62,6.21,6.60,6.59,,
14,Model 1,1.0 (ref.),"0.90 (0.82, 1.00)","0.81 (0.74, 0.90)","0.84 (0.76, 0.93)","0.83 (0.75, 0.91)",<0.0001,"0.93 (0.90, 0.96)"
15,Model 2,1.0 (ref.),"0.97 (0.88, 1.07)","0.89 (0.81, 0.99)","0.93 (0.85, 1.03)","0.90 (0.82, 0.99)",0.03,"0.96 (0.93, 1.00)"
16,Model 3,1.0 (ref.),"0.96 (0.87, 1.06)","0.89 (0.80, 0.98)","0.92 (0.84, 1.02)","0.89 (0.81, 0.98)",0.02,"0.96 (0.92, 0.99)"
17,Model 4,1.0 (ref.),"0.95 (0.86, 1.05)","0.87 (0.79, 0.96)","0.90 (0.82, 1.00)","0.87 (0.79, 0.96)",0.005,"0.95 (0.91, 0.98)"
