,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,,,as,400,,220,45.0,000,000,000,133,00.2,000,000,000,000,000,1,000,000,22.00,000,10,100,000,000,000
1,,AVO DH,,,,,,100,610,,10,110,002,000,00,11'18,606,,000,000,12200,,012,004,000,000,000
2,,as,,022,,000,600,000,002,100,000,002,100,000,000,q 000,q 000,104,000,000,100,000,00,100,000,q 000,000
3,,,,1811,1118,145,,002,,012,,,800,000,100,00,100,,002,000,90'0,00.2,110,004,000,100,100
4,,,as,,122,,1000,000,100,,,100,000,00'0,000,000,000,,000,000,000,000,+00,000,000,000,000
5,,AVO DH,AVY,,,,00'98,000,000,,,000,000,000,10,,000,,200,200,10400,,020,100,000,000,000
6,,AVO DH,,q,,,020,100,,q,q,,,,,,000,810,q,q,q,,,,000,000,000
7,[OL-IL]V,as,,,222,,020,100,10'0,98'0,114,100,000,000,000,000,000,810,110,000,000,000,100,000,000,000,000
8,[OL-IL]V,,,,,,172,002,000,096,,00'0,800,000,100,0003,000,,122,100,000,10'0,,100,000,000,100
9,,,,,,,,,,,,,,,J'N,,,J'N,,,JN,J'N,,,,,J'N
10,,,,,,000'5,00.2,,07'1,,000,,5,SO0'0,100,,1100'0,,100,,00000,,,-,,,
11,,,,,,,,,10-87,,,,,,,,,,,,1111122,,,,,,
