,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
0,,,Baseline',,,,,,,4 weeks2,,,,,,,,,,8 weeks2,8 weeks2,,,,,,,,,12 weeks2,12 weeks2,,,,
1,,Placebo group (n,Placebo group (n,Intervention,Intervention,,Placebo groupn=95,Placebo groupn=95,Placebo groupn=95,,,,,Intervention group (n=94),,,,Placebo groupn=95,Placebo groupn=95,,,Intervention group (n =94),Intervention group (n =94),,,,,,,,,,Intervention group(n=94),Intervention group(n=94),
2,Parameter (Unit),=95,,group (n =94),group (n =94),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Mean,SE,Mean,SE,Mean,SE,EMM3,95%,95%,Mean,SE,EMM3,,95%,Mean,SE,EMM3,95%,95%,Mean,SE,EMM3,95%,95%,Mean,SE,EMM 3,95%,95%,Mean,SE,EMM 3,95%,95%
4,,Mean,SE,Mean,SE,Mean,SE,EMM3,Cr,CI+,Mean,SE,EMM3,CI-,CI+,Mean,SE,EMM3,CI,CI+,Mean,SE,EMM3,CI-,CI+,Mean,SE,EMM 3,CF,C+,Mean,SE,EMM 3,CF,CI+
5,Body weight (kg),69.6,1.0,69.6,0.9,69.4,0.9,69.4,69.0,69.9,69.3,0.9,69.3,68.8,69.7,69.3,1.0,69.3,68.9,69.8,69.0,0.9,69.0,68.6,69.5,69.0,1.0,69.0,68.6,69.5,68.3,1.0,68.3,67.8,68.7
6,Body weight (kg),,,,,0.2,0.2,0.2,0.7,0.3,0.4,0.2,0.4,0.8,0.1,0.3,0.2,0.3,0.8,0.2,0.6,0.2,0.6,1.1,0.2,0.6,0.2,0.6,1.0,0.1,1.3,0.4,1.3,1.8,0.9
7,BMI (kg/m2),25.6,0.2,25.7,0.2,25.6,0.2,25.6,25.4,25.8,25.5,0.2,25.5,25.3,25.7,25.5,0.2,25.5,25.4,25.7,25.4,0.2,25.4,25.2,25.6,25.4,0.2,25.4,25.3,25.6,25.2,0.2,25.1,25.0,25.3
8,BMI (kg/m2),,,,,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.3,0.0,0.1,0.1,0.1,0.3,0.1,0.2,0.1,0.2,0.4,0.1,0.2,0.1,0.2,0.4,0.0,0.5,0.2,0.5,0.7,0.3
9,Abdominal circumference (cm),92.1,0.6,92.0,0.7,91.7,0.6,91.7,90.9,92.5,91.6,0.7,91.6,90.8,92.3,92.0,0.7,91.9,91.2,92.7,91.5,0.7,91.5,90.7,92.3,91.4,0.7 ,91.4,90.6,92.2,91.3,0.7,91.3,90.5,92.0
10,Abdominal circumference (cm),,,,,84.5,0.4,0.4,-1.1,0.4,0.5,0.4,0.5,1.2,0.3,0.1,0.4,0.1,0.9,,0.6,0.4,0.6 ,1.3,0.2,0.6,0.4 ,0.7,-1.4,0.1,0.8,0.4,0.8,1.6,0.0
11,Waist circumference3 (cm),84.0,0.6,84.7,0.7,84.5,0.7,84.7,84.0,85.4,84.7,0.7,84.4,83.7,85.1,84.7,0.6,84.9,84.2,85.7,84.1,0.7,83.8,83.1,84.5,84.0,0.6 ,84.3,83.6,85.0,84.1,0.7,83.8,83.1,84.5
12,Waist circumference (cm),,,,,0.4,0.3,0.4,0.3,1.1,0.0,0.4,0.0,0.7,0.7 ,0.6 ,0.3,0.6,0.1,1.3,0.6,0.4,0.6,1.3,0.1,0.0,0.3,0.1,0.8,0.6 ,0.6,0.4,0.5,1.3,0.2
13,Body fat ratio (%),30.9,0.8,31.4,0.7.,30.3,0.8,30.5,30.1,30.9,30.4,0.8,30.2,29.8,30.6,29.8,0.8,30.0,29.6,30.4,30.5,0.7,30.3,29.9,30.7,29.6,0.8,29.8,29.4,30.2,30.1,0.7,29.9,29.5,30.3
14,Fat mass (kg),,,,,0.6,0.2,0.7,1.0,0.3,-1.0,0.2,1.0,1.4,0.6,,0.2,,,0.7,0.9,0.2,,1.3,0.5 ,,0.2,1.3,1.7,0.9,,0.2,1.3,1.7,0.9
15,Fat mass (kg),21.3,0.5,21.6,0.5 ,20.8,0.5,21.0,20.6,21.3,20.9,0.5,20.7,20.3,21.0,20.4,0.5 ,20.6,20.2,20.9,20.8,0.5 ,20.6,20.3,21.0,20.2,0.5 ,20.4,20.1,20.8,20.7,0.5,20.5,20.1,20.8
16,Fat mass (kg),,,,,0.5,0.1,0.5,0.9,0.2,0.8,0.2,0.8,1.1,0.4,0.9,0.2,0.9,1.2,0.5,-0.8,0.2,0.8,-1.2,0.5 ,1.0,0.2,-1.0,,0.7,-1.0,0.2,-1.0,1.3,0.6
17,Lean mass (kg),48.3,1.0,48.0,0.9,48.6,1.0,48.5,48.1,48.8,48.7,1.0,48.9,48.6,49.3,48.9,1.0,18.7,48.3,49.1,48.2,0.9,48.4,48.1,48.8,48.8,1.0,48.6,48.3,49.0,48.1,0.9,48.3,47.9,48.7
18,Lean mass (kg),,,,,0.3,0.1,0.3,0.1,0.6,0.7 ,0.4,0.7,0.4,1.1,0.5,0.1,0.5,0.2,0.9,0.3,0.1,0.3,0.1,0.6,0.5,0.1,0.5,0.1,0.8,0.1,0.1,0.1,0.2,0.5
19,Muscle mass (kg),45.6,1.0,45.2,0.9,45.9,1.0,45.7,45.2,46.1,45.6,0.9,45.8,45.3,46.2,46.1,1.0,45.9,45.4,16.3,45.4,0.9,45.6,45.2,46.1,46.0,1.0,45.8,45.4,46.3,44.8,1.0,45.0,44.6,45.5
20,Muscle mass (kg),,,,,0.3,0.1,0.3 ,0.2,0.7,0.4,0.1,0.4,0.0,0.8,0.5 ,0.1,0.5,0.1,0.9,,0.1,0.3,0.2,0.7,0.4,0.1,0.5 ,0.0,0.9,0.3,0.5,0.4,0.8,0.1
21,T-Cho (mg/dL),223.7,3.8,228.3,3.6,226.5,3.9,228.4,224.1,232.8,226.3,3.6,224.4,220.0,228.7,223.0,4.1,224.9,220.6,229.2,224.7,3.6,222.7,218.3,227.0,220.5,3.9,222.3,218.0,226.6,220.8,3.5,219.0,214.7,223.4
22,T-Cho (mg/dL),,,,,2.8,2.2,2.4,1.9,6.7,2.0,2.3,1.7,6.0,2.7,0.8,2.0,-1.1,5.4,3.2,,2.3,-3.3,,1.0,3.2,2.7,-3.7,8.1,0.6,-7.5,2.2,7.0,11.3,2.6
23,HDL-Cho (mg/dL),61.6,1.6,63.8,1.9,62.6,1.5 ,63.6,62.2,65.0,63.9,1.9,62.9,61.5,64.3,61.7,1.5,62.7,61.3,64.1,62.9,1.8,61.9,60.5,63.3,60.3,1.4,61.3,59.9,62.7,62.4,1.9,61.4,60.0,62.8
24,HDL-Cho (mg/dL),,,,,1.0,0.7,0.9,0.5,2.3,0.1,0.7,0.2,1.2, 1.6,0.1,0.8,0.0,-1.4,1.4,0.9,0.8,-0.8,2.2,0.6,-1.2,0.8,-1.4,-2.8,0.0,-1.4,0.8,-1.3,-2.7,0.1
25,LDL-Cho (mg/dL),136.8,3.3,140.3,3.4,139.5,3.6,140.9,136.9,144.9,135.9,3.3,134.5,130.5,138.5,136.6,3.6,138.1,134.1,142.1,135.6,3.5,134.1,130.1,138.1,135.9,3.4,137.2,133.2,141.2,134.2,3.2,132.8,128.8,136.8
26,TG(mg/dL),,,,,2.7,2.0,2.4,1.6,6.4,4.3,2.3,4.0,8.0,0.0,0.2,1.7,0.4,4.4,3.6,4.6,2.3,4.4,8.4,0.4,0.9,2.3,1.3,5.3,2.7,6.1,2.0,5.7,9.7,1.7
27,TG(mg/dL),127.0,7.8,127.2,9.2,128.6,8.0,128.7,112.0,145.4,144.6,15.9,14.5,127.7,161.3,125.6,6.9,125.7,109.0,142.4,133.9,11.9,133.9,117.1,150.7,123.5,6.7,123.6,106.8,140.3,126.6,8.2,126.6,109.8,143.c
28,TG(mg/dL),,,,,1.6,5.6,1.6,15.1,18.3,17.4,14.0,17.4,0.6,34.2,1.4,6.6,1.4,18.1,15.3,6.8,10.9,6.8,10.0,23.6,3.5,5.7 ,3.5,20.2,13.2,0.5,9.1,0.5,17.3,16.3
