,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,Baseline,,,,,,4 weeks,,,,,,8 weeks,,,,,12 weeks,,,
1,Paraneter,Criteria,Placebo group,n=96,Placebo group,Intervention group,n=98,Intervention group,P value,Placebo group,,,(n =98),,P.value,Placebo group,,Intervention group,Intervention group,P value,Placebo group,,Intervention group,n=95,Intervention group,P value
2,,,Mean,Mean,SD,Mean,Mean,SD,,Mean,SD,Mean,,SD,,Mean,SD,Mean,SD,,Mean,SD,Mean,,SD,
3,WBC(/L),3009000,6006.3,1336.4,1336.4,5857.1,1475.6,1475.6,0.462,6126.0,1436.1,5766.3,1453.1,1453.1,0.085,6107.4,1502.6,5652.6,1231.4,0.023b,5914.7,1399.5,5686.3,1321.4,1321.4,0.249
4,RBL10/L,"Female, 380500",482.9,,44.4,477.6,477.6,38.7,0.377,480.9,45.0,471.5,,37.7,0.118,475.0,46.1,468.0,40.9,0.264,472.1,46.1,467.4,467.4,38.1,0.448
5,Hb g/dL,"Female, 11.515.0",14.5,,1.4,14.5,,1.3,0.843,14.3,1.4,14.3,,1.3,0.809,14.2,1.4,14.2,14,0.916,14.1,1.4,14.2,,1.3,0.786
6,Ht (%,"Female, 34.845.0",45.1,,3.6,45.0,,3.5,0.974,45.0,3.7,44.7,,3.5,0.569,44.7,3.8,44.6,3.8,0.868,44.1,3.9,44.2,,3.5,0.818
7,PLT (10/L),14.034.0,27.0,,5.2,27.1,,5.1,0.862,27.2,4.9,26.6,,5.3,0.430,26.4,5.2,26.0,5.2,0.573,26.7,5.2,26.3,,5.3,0.557
8,MCV(fL),85102,93.5,,5.0,94.4,,4.0,0.197,93.9,4.9,95.0,,4.2,0.100,94.3,4.8,95.4,4.1,0.089,93.6,4.7,94.6,,4.2,0.122
9,MCH (Pg),28.034.0,30.1,,1.9,30.5,,1.7,0.129,29.8,1.9,30.3,,1.7,0.067,30.0,1.9,30.4,1.7,0.165,29.9,1.9,30.3,,1.8,0.153
10,MCHC(%),30.235.1,32.2,,1.0,32.3,,1.0,0.458,31.8,1.1,31.9,,1.0,0.410,31.8,1.1,31.8,1.1,0.896,32.0,1.1,32.0,,1.0,0.816
11,NEUT (%),40.075.0,59.4,,8.2,57.9,,7.5,0.178,59.2,8.2,57.6,,8.1,0.178,59.1,8.8,57.2,7.8,0.114,58.7,8.1,57.4,,7.8,0.241
12,LYMP (%),18.049.0,31.2,,7.9,32.9,,6.9,0.117,31.8,8.0,33.2,,7.5,0.226,32.0,8.3,33.5,7.4,0.168,32.2,7.6,33.5,,7.5,0.236
13,MONO (%),2.010.0,5.5,,1.3,5.6,,1.3,0.665,5.5,1.2,5.6,,1.5,0.343,5.5,1.4,5.7,1.3,0.292,5.6,1.3,5.6,,1.4,0.956
14,EOS (%),08.0,3.0,,2.2,2.8,,1.9,0.551,2.8,1.8,2.9,,2.1,0.736,2.6,1.6,2.7,1.8,0.602,2.7,1.8,2.8,,1.7,0.731
15,BASO (%),02.0,0.9,,0.4,0.8,,0.3,0.346,0.8,0.4,0.8,,0.3,0.310,0.8,0.3,0.8,0.3,0.922,0.8,0.4,0.8,,0.4,0.768
16,AST (U/L),1040,23.3,,7.2,22.9,,8.6,0.691,23.0,7.3,22.3,,7.6,0.494,21.8,5.9,22.1,9.2,0.780,23.1,8.4,21.9,,8.0,0.281
17,ALT(U/L),545,26.4,,14.4,25.6,,15.7,0.689,26.0,17.2,24.2,,15.1,0.440,23.4,12.5,23.3,15.5,0.936,23.4,12.4,22.5,,14.8,0.656
