,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,,Factor,,,,,,,,,Phenols (mg kg-1),Phenols (mg kg-1),,,,,,
1,,,,HYT,TYR,VAC,VAN,PCM,FER,DMOdA,OAgl-A,OA-dA,DMLdA,LAgl-A,TOS,PIN,LUT,API
2,,,1.,3.82 d,1.25 e,1.28 a,0.44 c,0.58 c,0.26 bc,81.0 d,28.0 d,1.40 c,67.5 f,3.02 f,180.3 f,5.39 e,2.68 ef,0.58 e
3,,,3.,3.03 ef,1.08 ef,0.78 c,0.22 c,0.58 c,0.11 d,60.6 e,15.4 e,0.90 c,83.9 e,2.06 g,200.1 e,11.94 b,3.59 c,1.87 a
4,,,4.,1.18 g,0.81 f,0.35 d,0.22 c,0.58 c,0.11 d,60.6 e,15.4 e,0.90 c,42.9 g,2.06 g,124.5 h,13.20 a,3.59 c,1.87 a
5,2011,,1.,8.90 a,11.39 b,0.30 d,1.18 ab,1.50 a,0.61 a,137.5 c,135.0 b,5.52 b,133.6 b,11.80 a,426.9 c,4.73 e,2.23 fg,0.91 d
6,,,2.,4.62 c,7.02 c,0.25 d,0.90 b,1.28 b,0.27 b,186.5 a,170.6 a,7.13 a,142.7 a,8.80 c,495.1 b,6.41 d,5.18 a,1.45 bc
7,,,4.,2.48 f,5.48 d,0.12 e,0.88 b,0.28 e,0.27 b,138.1 c,84.4 c,2.12 c,93.3 d,8.07 d,495.1 b,6.83 d,3.06 de,1.64 ab
8,,,4.,2.48 f,5.48 d,0.12 e,0.88 b,0.28 e,0.13 cd,138.1 c,84.4 c,2.12 c,93.3 d,8.07 d,329.4 d,7.28 d,3.06 de,1.01 d
9,,,2.,3.03 c,6.40 ab,0.81 b,0.74 b,0.36 e,0.18 cd,116.2 g,24.3 f,1.14 d,72.0 c,9.64 cd,224.9 g,10.83 ab,3.15 bc,1.44 d
10,,,3.,2.33 d,4.78 d,0.63 c,0.27 c,0.73 cd,0.14 de,183.9 e,20.3 g,1.85 d,66.1 d,8.18 e,283.1 e,10.68 b,2.88 bc,1.85 a
11,2012,,4.,2.33 d,4.78 d,0.43 d,0.27 c,0.73 cd,0.12 e,160.4 f,15.5 h,1.44 d,58.6 e,8.18 e,245.6 f,10.68 b,2.88 bc,1.55 b
12,2012,,1.,4.09 b,7.28 a,0.25 e,1.73 a,0.75 cd,0.27 a,276.3 d,40.1 d,6.50 a,73.4 c,12.31 a,409.7 d,6.39 c,3.44 ab,0.46 d
13,,,2.,5.72 a,6.00 bc,0.23 ef,0.64 b,1.67 a,0.23 abc,347.9 a,90.6 a,5.46 ab,109.4 a,11.14 b,566.4 a,6.46 c,2.55 bc,0.59 d
14,,,3.,5.50 a,5.29 cd,0.23 ef,0.61 b,0.81 c,0.24 ab,291.6 c,67.2 b,4.69 b,92.2 b,10.52 bc,464.9 c,6.46 c,2.55 bc,0.56 d
15,,,4.,4.00 b,5.06 cd,0.21 f,0.62 b.,0.81 c,0.18 cde,291.6 c,62.8 c,3.11c,93.1 b,9.44 d,464.9 c,6.37 c,2.25 c,0.71 d
16,GSn,2012,,4.13 a,5.74 a,0.47 b,0.75,0.87 a,0.20 b,223.2 a,43.6 b,3.1,81.9 b,9.56 a,363.7 a,8.75 a,3.05 b,1.04 b
17,,2012,,3.9 b,5.74 a,0.47 b,0.75,0.87 a,0.20 b,223.2 a,7356.45,3.23,81.9 b,9.56 a,363.7 a,40.65,3.05 b,1.04 b
18,,2012,,***,**,***,2.946,***,61.143,***,7356.45,1.209,****,1465.47,8109.68,40.65,***,17.363
19,GS,Kastela,Kastela,3.00 b,3.65 b,0.79 a,0.47 b,0.65 b,0.16 b,108.4 b,23.3 b,1.35 b,64.3 b,5.80 b,204.7 b,10.61 a,3.04 b,1.26 a
20,,Sestanovac,Sestanovac,5.13 a,7.54 a,0.23 b,1.00 a,0.94 a,0.30 a,232.7 a,31271.33,4.99 a,107.7 a,10.39 a,461.8 a,6.42 b,3.30 a,0.91 b
21,,F,,1247.55,3036.17,4708.69,474.411,335.724,219.021,57410.5,31271.33,934.354,8455.3,3595.34,144401.88,3258.46,13.201,204.240
22,,,,5.19 a,***,***,***,***,***,***,***,***,***,***,***,***,***,***
23,HP,,,5.19 a,6.76 a,0.66 a,1.01 a,0.84 b,0.34 a,149.3 c,57.3 c,3.71 a,82.7 c,9.02 a,304.0 c,6.86 c,2.46 d,0.71 b
24,HP,23,,3.99 c,6.61 a,0.47 c,0.61 c,0.99 a,0.19 c,187.7 a,71.7 b,3.73 a,91.5 b,7.74 c,365.5 b,9.17 a,3.89 a.,1.34 a
25,,23,,3.99 c,4.99 b,0.47 c,0.61 c,0.99 a,0.19 c,187.7 a,71.7 b,3.73 a,71.9 d,7.74 c,291.1 d,9.38 a,2.95 c,1.34 a
26,,F,,366.57,349.79,495.37,85.885,102.889,88.614,1187.4,1123.37,***,****,152.07,3792.02,244.49,68.907,141.453
27,,p,,***,***,****,***,***,***,***,***,***,****,***,***,***,***,****
