,0,1,2,3,4,5,6
0,,,Group1,,,Group 2,
1,Nutrient,Conventional,Sustainable,p,Conventional,Sustainable,
2,,Conventional,Sustainable,Value,Conventional,Sustainable,
3,"Energy, kcal",1115.65 [897.49; 1171.88],1146.15 [986.72; 1184.79],0.754,713.47 [625.4; 748.58],587.11 [524.64; 644.34],0.117
4,g/1000 kcal,146.87 [123.85; 157.35],144.94 [143.33; 161.72],0.754,135.12 [115.16; 140.47],151 [140.52; 175.65],0.175
5,"Total fat,",32.55 [28.49; 42.14],29.37 [26.16; 30.04],0.175,37.02 [34.74; 43.11],29.76 [29.06; 34.07],0.117
6,g/1000 kcal,29.46 [28.51; 39.72],38.54 [32.17; 38.85],0.465,37.58 [31.24; 45.63],30.99 [30; 38.03],0.602
7,g/1000 kcal,12.6 [10.87; 16.44],11.58 [8.87; 12.56],0.347,11.74 [10.99; 15.46],13.13 [8.38; 14.19],0.602
8,mg/1000 kcal,110.71 [102.64; 284.07],0 [0; 0],0.005,92.53 [76.17; 107.92],0 [0; 0],0.007
9,"Added sugar,",11.28 [8.99; 13.2],15.26 [13.61; 16.28],0.076,8.47 [3.69; 10.22],10.81 [10.15; 21.67],0.175
10,g/1000 kcal,25.6 [22.28; 40.34],34.9 [29.54; 36.79],0.754,23.98 [20.04; 24.92],36.16 [0; 41.43],0.916
11,"Sodium,",1908.22 [1612.69; 1912.33],1830.43 [1723.08; 2087.48],0.917,1930.95 [1764.69; 2037.05],1069.16 [1065.83; 2002.03],0.602
12,mg/1000 kcal,1908.22 [1612.69; 1912.33],1830.43 [1723.08; 2087.48],0.917,1930.95 [1764.69; 2037.05],1069.16 [1065.83; 2002.03],0.602
13,mg/1000'kcal,342.92 [311.32; 478.6],182.04 [180.87; 191.27],0.009,461.94 [437.42; 533.8],192.68 [171.79; 314.31],0.009
14,"Iron, mg/1000 kcal",6.24 [6.22; 6.85],8.46 [7.74; 9.09],0.047,7.31 [3.65; 8.31],7.82 [7.37; 11.38],0.295
15,mg/1000 kcal,111.32 [104.89; 126.39],162.15 [152.4; 184.71],0.076,112.48 [112.09; 126.22],142.12 [130.45; 172.09],0.047
16,"Vitamin A,",4.47 [4.2; 5.06],2.71 [2.59; 3.16],0.175,5.17 [3.18; 5.66],2.04 [1.96; 2.27],0.117
17,mcg/1000 kcal,580.36 [560.69; 667.56],1338.17 [1291.71; 1584.11],0.076,214.14 [213.86; 272.96],1841.13 [1188.3; 2167.75],0.175
18,mg/1000 kcal,118.61 [59.71; 180.11],113.51 [95.84; 140.21],0.754,45.91 [43.01; 74.5],197.91 [84.23; 239.22],0.347
19,mcg/1000 kcal,2.15 [1.58; 3.3],1.15 [1.08; 1.53],0.076,1.94 [1.6; 1.98],1.63 [0.81; 2.98],0.917
