,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,,,,Other,,,,,Livestock,,Fish and,,Water,Edible,
1,Characteristics,Rice,Wheat,Cereals,Tubers,Vegetables,Fruits,Legumes,Meat,Poultry,Seafood,Eggs,and,Oil,Salt
2,,,,Cereals,,,,,Meat,,Seafood,Eggs,Beverage,Oil,
3,Gender,,,,,,,,,,,,,,
4,Male,120.3,60.0,7.4,16.7,164.3,30.0,6.4,30.9,6.7,6.7,30.1,900.0,26.7,6.7
5,Female,120.0,51.4,7.5,16.8,171.1,35.2,6.6,28.6,6.7,6.7,30.0,800.0,25.1,6.7
6,p-Value,0.007,<0.001,0.861,0.932,0.145,<0.001,0.711,<0.001,0.120,0.670,0.429,<0.001,0.007,0.399
7,Age group (years) 2,,,,,,,,,,,,,,
8,5564,140.0 a,57.1 a,7.1,17.0,171.4 a,34.7 a,6.6,31.3 a,6.7a,6.7 a,30.0,900.0 a,26.7 a,6.7
9,65-74,120.0 a,57.1,8.0,17.1,174.6 a,34.3a,6.7a,29.0 a,6.7b,6.7 a,30.2,800.0 b,26.7,6.7
10,75,120.0 b,51.4 b,7.1,15.7,153.6 b,28.6 b,6.4 b,27.3 b,4.7c,5.6 b,29.8,800.0 b,25.0 b,6.7
11,p-Value,0.006,0.012,0.049,0.062,<0.001,<0.001,0.041,<0.001,<0.001,<0.001,0.594,<0.001,0.026,0.073
12,Residential area,,,,,,,,,,,,,,
13,Rural,100.0,75.0,8.2,14.8,166.9,30.1,6.4,30.0,5.7,4.0,29.7,800.0,26.7,6.8
14,Urban,150.0,50.0,7.1,18.0,169.3,36.4,7.7,28.6,6.7,8.8,30.4,880.0,25.3,6.7
15,p-Value,<0.001,<0.001,0.034,<0.001,0.762,<0.001,<0.001,<0.001,<0.001,<0.001,0.038,0.124,<0.001,<0.001
16,Education level 2,,,,,,,,,,,,,,
17,Illiteracy,100.0 a,60.0 a,7.6 bc,16.0 a,154.1 a,26.8 a,6.4 a,23.1 a,5.0a,3.3 a,28.6 a,720.3 a,30.8c,7.2 c
18,Primary school and,150.0 b,50.0 b,6.7b,15.3 a,170.9 b,30.7b,6.4 b,29.1 b.,5.8 b,6.7 b,28.6 a,800.0 b.,25.8 b,6.7 b
19,below,150.0 b,50.0 b,6.7b,15.3 a,170.9 b,30.7b,6.4 b,29.1 b.,5.8 b,6.7 b,28.6 a,800.0 b.,25.8 b,6.7 b
20,Middle school,100.0 a,71.4 a,10.0 a,18.0 b,182.3 c,39.8 c,7.2 c,30.2 bc,6.7b,6.7b,34.3 b,1000.0c,25.0 ab,6.7 ab
21,High school and above,140.0 b,57.1 b,8.6 ac,18.7,157.3 ab,45.7 d,8.8 d,33.5 c,7.1 c,10.5c,42.9 c,1000.0 c,23.3 a,6.5 a
22,p-Value,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001
23,<1000,42.9 a,100.0 a,13.3 a,18.0 a,155.8 a,26.7 a,6.4 a,21.4 a,4.0 a,1.6 a,40.5 a,800.0,30.0 a,7.7a
24,1000~3999,142.9 b,57.1 b,6.7 b,16.3,178.8 b,34.3 b,6.9 b,30.7 b,6.7b,6.7b,29.7 b,810.0,25.0 b,6.3 b
25,4000,200.0 c,34.3 c,6.7 c,17.0 b,151.4 a,36.8 b,6.9 b,30.7 b,7.1 c,14.3 c,28.6 c,807.1,25.0 c,7.2 c
26,p-Value,<0.001,<0.001,<0.001,0.073,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001,0.043,<0.001,<0.001
