,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Variable,Control,,,1.535% BCAA,1.535% BCAA,,3.07% BCAA,3.07% BCAA,,Pooled,P-value,,
1,,d 3,d 15,d 29,d3,d 15,d 29,d3,d 15,d 29,SEM,Treatment,Day,TxD1
2,Ala,636,649,649,760,687,685,764,692,702,24,0.001,0.002,0.036
3,Arg,216,136,127,238,171,173,272,179,183,12,<0.001,<0.001,0.881
4,Asn,78,89,101,106,110,117,119,120,124,4.8,<0.001,<0.001,0.132
5,Asp,14,19,20,18,21,22,19,23,25,1.2,<0.001,<0.001,0.754
6,3-Ala,26,26,27,28,28,26,28,26,27,1.0,0.504,0.336,0.011
7,Cit,132,76,81,164,82,90,178,107,109,5.4,<0.001,<0.001,0.149
8,cys2,166,165,158,166,169,162,172,171,162,7.1,0.510,0.130,0.973
9,GIn,709,542,538,748,605,602,809,646,688,32,0.001,<0.001,0.190
10,Glu,83,83,85,101,107,103,112,116,118,10,<0.001,0.240,0.906
11,Gly,1080,1091,1093,1152,1047,1060,1060,1160,1188,32,<0.001,0.647,0.968
12,His,98,95,108,97,95,112,97,95,114,4.6,0.854,<0.001,0.885
13,le,126,128,127,169,179,188,185,198,201,11,<0.001,0.132,0.732
14,_eu,198,178,186,223,227,233,240,242,247,18,<0.001,0.674,0.596
15,-ys,202,234,232,215,251,243,220,251,242,15,0.206,0.001,0.990
16,Met,78,80,77,83,85,79,86,89,91,3.4,0.001,0.413,0.485
17,Orn,136,95,109,141,103,110,148,98,113,6.1,0.193,<0.001,0.613
18,Phe,93,93,96,95,96,98,96,96,97,3.1,0.014,0.794,0.022
19,Pro,500,509,510,526,534,540,541,568,573,14,<0.001,0.060,0.783
20,Ser,251,294,301,269,294,299,269,291,302,12,0.703,<0.001,0.617
21,Tau,113,128,123,141,137,157,143,170,167,8.0,<0.001,0.001,0.039
22,Thr,261,241,243,273,249,253,296,260,269,14,0.004,<0.001,0.962
23,Trp,42,46,48,43,48,59,44,51,59.,2.2,0.029,<0.001,<0.00
24,yr,128,136,135,141,139,136,146,143,140,6.8,<0.001,0.532,0.002
25,/al,226,232,231,321,329,330,351,349,352,16,<0.001,0.787,0.547
26,TBARS,4.90,4.06,3.61,5.03,3.96,3.04,5.11,4.15,3.14,0.48,0.804,<0.001,0.829
