,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,,,,,%9,,%11nJ%Z,,,,,,,,,%9sn,,,(%8) s1onpo.rd Kos (%6),,,,,%,pr (%tt) stij tnn,%ID,,,
1,,,,,,q0'I,,,,11011,,01-8001,,,,,,,,e(I0)70,,,90I-09)08,,r(9'Z) 8'Z,,01-1111,,
2,,,,%9,,VIVN%OOS,%L,,%90VVW,,%VLVW%8,,%VIVW%SI,pIIV,,,,,,pIIV,,ONId%LZ,,,,,pIIV,,%VIVW
3,,,,,,,,,,,,,,,,,,,,,,BP,,,,,,,
4,,,,,,DHO,,,,DHO,,HO,,,,,,,,YAH-tZX9R,,,DHO,,DHO,,DHO,DHO,
5,,,,,,,,11,,17115,,,,,,,S9<,,,,(8)09,,,,8I<,,81<,81<,
6,,SeX,,,,,,,,%99,,,,,,,,,,,,,,,,,,,
7,,N,999,,,1111,,,,300,,570,,,,,1228,,,,142,,,,1497,,198,300,
8,Couooy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,[66],,,[001],,,,,[85] sjunod,,[c01] sopop,,,,
