,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,(T/Ou)INI,,8,,1111,,,96,,,qS'6I,,,1I'8I,1998,q8'EI,q9'9I,,,q&'9I,,,,,q6'0I,,,1113,6'8,,qZ'9I,,qI'8I,q4'LI
1,,q0 I,,60,,,-,,,,,,,,,,,,,,,,,,,-,,,,e9'0,,,,q80
2,,,,,,,,,,,TR-IA,TI-IA,,,,TRFIA,,,,TI-IA,TRT-IA,,,,,,LS-IS,,LC-S,,,,,
3,,,,,,,,,,,,Snrn,Stern,,,,,,,,,,P4ia,,,,,,,,,,,
4, Kpms Jo adKL,OON,,,NON,,,,,S-S,5,POC,NON,,CT,C-S,,,PCC,OON,OON,Corort,OON,,,OON,C-S,PCC,OON,,PCC,PPC,OON,
5,Aie,'09,,,,,,0'09,,79-47,,,,,,,,,879,,,,,,+9-0S,,,,,,,,,
6,SeX,H/W,%15,,,,,,,,H/W,,,,,,,,,,,H,,,%0,,,,,,,,,
7,,,1144,2,,,,,514,,,15,,120,00,8911,1112,688,1110,,,13,,,,,,,,,,,818,LL8
8,Coonry,,,,,UK,,,Seeeen,,,,,,,,,,Seeeen,Seeden,Seeeen,Sdeden,Seeeen,,,,,,,,,UR,UR,
9,,,,,,,1661-1861,,,,,S66I0661,2005,666I-9861,661,L66,,,,96611661,1007,,,,,,,,,,,66611661,,
10,Rrrrerrre,,,,[89] o7.100-2.19d,,,,,,,,,,,,,,,,,,,[+1] dn.nsa.re,,,[69] uus[,[t],,,,,,
