,0,1,2,3,4,5,6,7,8,9,10
0,,,,meansd,meansd,min,,max,,'source of','high in'
1,Calcium (mg),adult,3,24  2,24  2,,23,,27,120,240
2,,larva,20,150150,150150,,13,,472,,
3,,pupa,1,43,,,,,,,
4,Chloride (mg),adult,1,191,,,,,,,
5,,larva,2,181  8,181  8,,175,,187,,
6,Iron (mg),adult,3,2.87  0.64,2.87  0.64,,2.18,,3.46,2.1,4.2
7,,larva,8,1.89  0.93,1.89  0.93,,1.08,,4,,
8,,pupa,1,1.68,,,,,,,
9,lodine (ug),adult,1,22,,,,,,22.5,45
10,,larva,1,17,,,,,,,
11,Potassium,adult,3,36836,36836,,340,,408,,
12,(mg),,,,,,,,,,
13,,larva,4,337 27,337 27,,297,,359,,
14,,pupa,1,355,,,,,,,
15,Magnesium,adult,3,69  7,69  7,,61,,74,45,90
16,(mg),,,,,,,,,,
17,,larva,7,92  8,92  8,80,80,,104,,
18,,pupa,1,86,,,,,,,
19,Manganese,adult,3,0.456,0.456,,0.368,,0.582,,
20,(mg),,,0.1096,0.1096,,,,,,
21,,larva,8,0.287 ,0.287 ,,0.004,,0.52,,
22,,,,0.158,0.158,,,,,,
23,,pupa,1,0.546,0.546,,,,,,
24,Molybdaenum,adult,1,39,,,,,,,
25,(ug),,,,,,,,,,
26,Sodium (mg),adult,3,667,667,,62,,74,,
27,,larva,4,50  7,50  7,,40,,56,,
28,,pupa,1,55,,,,,,,
29,Phosphorus,adult,3,295  16,295  16,,277,,307,,
30,(mg),,,,,,,,,,
31,,larva,20,368  98,368  98,,227,,530,,
32,,pupa,1,300,,,,,,,
33,Selenium (ug),adult,2,13.6  3.4,13.6  3.4,,11.19,,16,,
34,,larva,3,16.3 7.61,16.3 7.61,,10.9,,25,,
35,,pupa,1,12.09,12.09,,,,,,
36,Zinc (mg),adult,3,4.86  0.65,4.86  0.65,,4.36,,5.59,2.25,4.5
37,,larva,8,4.33  0.72,4.33  0.72,,3.45,,5.2,,
38,,pupa,1,3.9,,,,,,,
39,Vitamin A (IU),larva,2,,29,,28,,30,120,240
40,a-Tocopherol,larva,2,,1.9,,1.6,,2.2,,
41,(mg),,,,,,,,,,
42,Vitamin E (IU),larva,,0.99  0.25,0.99  0.25,,0.63,,1.17,,
43,Pyridoxin (mg),larva,2,,0.70,,0.58,,0.81,0.3,0.6
44,Thiamin (mg),larva,2,,0.18,,0.12,,0.24,0.21,0.42
