,0,1,2,3,4,5,6,7,8,9
0,(Table 2 continued),,,,,,,,,
1,Vitamin B2,mg,1.14,0.51,1.16,0.51,0.02,1.8,101.8,**
2,Niacin,mg,14.4,7.1,15.8,7.7,1.4,9.7,109.7,**
3,Vitamin B6,mg,1.11,0.48,1.18,0.51,0.07,6.3,106.3,**
4,Vitamin B12,ug,6.0,6.6,6.3,6.9,0.3,5.0,105.0,**
5,Folate,ug,278,146,289,161,11,4.0,104.0,**
6,Pantothenic acid,mg,5.43,2.02,5.6,2.13,0.17,3.1,103.1,**
7,Vitamin C,mg,90,69,96,73,6,6.7,106.7,**
8,Sodium,mg,3784,1543,3863,1567,79,2.1,102.1,**
9,Sodium (salt equivalent) ,g,9.6,3.9,9.8,4.0,0.2,2.1,102.1,**
10,Potassium,mg,2230,894,2316,920,86,3.9,103.9,**
11,Calcium,mg,506,259,502,255,-4,-0.8,99.2,**
12,Magnesium,mg,239,92,264,111,25,10.5,110.5,**
13,Phosphate,mg,977,340,998,348,21,2.1,102.1,**
14,Iron,mg,7.5,3.1,7.4,3.0,-0.1,-1.3,98.7,**
15,Zinc,mg,7.9,2.8,8.1,3.0,0.2,2.5,102.5,**
16,Copper,mg,1.12,0.42,1.13,0.43,0.01,0.9,100.9,**
