,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,,,,,,ACCEPTED,,ACCEPTED,,,MANUSCBIPT,,,,,,,,
1,,(Table 3 continued),,,,,,,,,,,,,,,,,,
2,Vitamin B6,mg,0.07,0,0,0,0,0,0.01,,0,0,0.01,0.02,,0,0,0,0.01,
3,Vitamin B12,g,0.3,,0,,0,0,0,0,0,,0.3,0.1,,0,,0,0,
4,Folate,g,11,,1,0,0,,4,-1,0,0,0,3,2,0,0,,1,
5,Pantothenic acid,mg,0.17,-0.01,0.01,0,,0,0.01,-0.02,-0.01,0,0.01,0.14,0.03,0,0,0.01,0,
6,Vitamin C,mg,6,0,1,,,0,3,,,0,0,,0,0,0,,2,
7,Sodium,mg,79,19,0,0,10,0,-2,,0,-7,7,13,3,0,0,0,-1,3
8,equivalent) f,,0.2,0.1,0,,0.1,0,0,,0,0,0,0.1,0,0,,0,0,
9,Potassium,mg,86,-2,6,,2,-1,7,3,,,4,60,,0,,,4,
10,Calcium,mg,-4,-1,-1,,-4,0,-4,,0,-2,0,0,,0,,0,3,
11,Magnesium,mg,25,-1,,,20,0,0,,0,-1,0,3,0,0,,0,0,
12,Phosphate,mg,21,-5,1,,4,-1,0,,,,-1,21,,0,0,-1,0,
13,Iron,mg,-0.1,0,0,,0,0,-0.1,0,0,0.1,0,0.1,0,0,0,0,0,
14,Zinc,mg,0.2,0,0,,,0,0.1,,,0,0.1,0.2,0,0,0,0,0,
15,Copper,mg,0.01,-0.01,0,0,0,0,0.01,0,0,0,-0.01,0.01,0,0,0,0,0,0.0
